sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionWizard;0;0;1;1;1;1;48;5;38;0.7870371;0;3;173;18;FeLm
dbeaver;org.jkiss.dbeaver.erd.model.ERDContentProviderDefault;0;0;1;1;1;1;31;6;21;0.8333333;0;1;97;6;FeLm
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsImportWizard;0;0;1;1;1;1;27;4;18;0.75;0;2;141;6;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.syntax.SQLReconcilingStrategy;0;0;1;1;2;1;58;3;20;0.76470584;0;5;269;17;FeLm
dbeaver;org.jkiss.dbeaver.model.sql.parser.rules.SQLDelimiterSetRule;0;0;1;1;1;1;23;3;6;0.0;0;1;59;2;FeLm
dbeaver;org.jkiss.dbeaver.ext.ui.tipoftheday.ShowTipOfTheDayDialog;0;0;1;1;1;1;28;4;18;0.8173077;0;2;163;13;FeLm
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer;0;0;1;1;1;2;175;6;49;0.8759935;2;2;621;37;FeLm
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericExecutionContext;0;0;1;1;4;2;88;7;16;0.5714286;0;2;300;14;FeLm
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant;0;0;1;1;1;1;50;5;20;0.7222222;0;1;181;9;FeLm
dbeaver;org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor;0;0;1;1;1;3;153;4;18;0.89646465;0;2;719;88;FeLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreRole;0;0;1;1;1;1;63;8;37;0.9355556;0;2;305;45;FeLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizardPageConfig;0;0;1;1;1;1;35;6;24;0.72727275;0;2;211;7;FeLm
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer;0;0;1;1;1;6;327;7;50;0.79423875;0;1;939;27;FeLm
dbeaver;org.jkiss.dbeaver.ui.dashboard.histogram.DashboardRendererTimeseries;0;0;1;1;1;2;54;6;32;0.8333333;0;2;228;6;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryContent;0;0;1;1;2;2;201;4;5;0.8481483;0;1;612;45;FeLm
dbeaver;org.jkiss.dbeaver.tasks.ui.DataSourceToolsContributor;0;0;1;1;1;1;41;7;36;0.8;0;3;196;5;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryEditor;0;0;1;1;1;1;52;2;38;0.7875;1;3;288;20;FeLm
dbeaver;org.jkiss.dbeaver.tasks.ui.sql.SQLToolTaskWizardPageSettings;0;0;1;1;1;1;23;2;27;0.7532468;0;2;212;11;FeLm
dbeaver;org.jkiss.dbeaver.registry.maven.versioning.VersionRange;0;0;1;1;2;2;95;5;5;0.33333334;0;1;299;15;FeLm
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTable;0;0;1;1;1;1;87;8;40;0.90109885;0;4;482;26;FeLm
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.importer.DataImporterCSV;0;0;1;1;1;2;48;7;23;0.85714287;0;2;201;7;FeLm
gson;com.google.gson.internal.LinkedTreeMap;0;0;1;1;2;2;86;3;4;0.8630952;0;6;428;21;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.particles.values.RectangleSpawnShapeValue;0;0;1;1;1;1;19;3;5;0.0;0;3;61;4;FeLm
libgdx;com.badlogic.gdx.math.Quaternion;0;0;1;1;2;1;100;1;7;0.62473345;2;1;443;67;FeLm
libgdx;com.badlogic.gdx.graphics.g2d.RepeatablePolygonSprite;0;0;1;1;1;1;30;3;12;0.65178573;0;1;133;8;FeLm
libgdx;com.badlogic.gdx.InputEventQueue;0;0;1;1;1;1;37;2;6;0.7083333;0;1;176;12;FeLm
libgdx;com.badlogic.gdx.tiledmappacker.TiledMapPacker;0;0;1;1;1;2;69;7;29;0.8663101;0;1;377;17;FeLm
libgdx;com.badlogic.gdx.math.ConvexHull;0;0;1;1;2;1;65;3;7;0.8;0;1;213;11;FeLm
libgdx;com.badlogic.gdx.assets.AssetManager;0;0;1;1;1;1;176;6;51;0.86813176;0;1;487;52;FeLm
libgdx;com.badlogic.gdx.utils.compression.lzma.Decoder;0;0;1;1;1;1;32;8;10;0.627451;0;1;228;6;FeLm
libgdx;com.badlogic.gdx.maps.tiled.AtlasTmxMapLoader;0;0;1;1;1;1;29;4;27;0.75;0;5;144;10;FeLm
libgdx;com.badlogic.gdx.graphics.Colors;0;0;1;1;1;1;6;0;3;0.2;0;1;54;5;FeLm
libgdx;com.badlogic.gdx.scenes.scene2d.utils.TiledDrawable;0;0;1;1;1;1;16;2;7;0.6666667;0;3;78;9;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.Model;0;0;1;1;1;1;110;5;34;0.8511905;0;1;278;24;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.RenderableShapeBuilder;0;0;1;1;1;1;28;2;13;0.74285716;0;4;111;7;FeLm
