sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource;1;0;1;0;1;0;166;5;49;0.91787446;0;1;518;46;LcFe
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource;1;0;1;0;2;0;128;5;63;0.91581637;0;4;502;49;LcFe
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleSchema;1;0;1;0;1;0;81;5;59;0.9310019;0;17;727;46;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid;1;0;1;0;2;0;830;6;50;0.97440344;0;4;2993;169;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer;1;0;1;0;2;0;788;8;184;0.97138405;0;21;3526;186;LcFe
dbeaver;org.jkiss.dbeaver.ui.editors.binary.ActionHistory;1;0;1;0;1;0;82;2;4;0.83142865;0;1;237;25;LcFe
dbeaver;org.jkiss.dbeaver.ext.import_config.wizards.ConfigImportWizard;1;0;1;0;3;0;49;7;18;0.75;4;2;208;8;LcFe
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.StreamConsumerSettings;1;0;1;0;1;0;54;7;18;0.8972433;0;1;242;38;LcFe
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardDescriptor;1;0;1;0;1;0;81;5;23;0.89252;0;2;421;51;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel;1;0;1;0;2;0;276;8;41;0.9244792;0;1;863;64;LcFe
dbeaver;org.jkiss.dbeaver.model.sql.SQLUtils;1;0;1;0;1;0;339;8;40;0.97632056;0;1;1000;61;LcFe
dbeaver;org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor;1;0;1;0;1;0;58;4;37;0.80672264;0;13;379;17;LcFe
fastjson;com.alibaba.fastjson.JSONPath;1;0;1;0;1;0;409;6;35;0.87431693;0;15;3522;61;LcFe
fastjson;com.alibaba.fastjson.parser.ParserConfig;1;0;1;0;1;0;321;5;44;0.9485294;1;1;997;48;LcFe
fastjson;com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer;1;0;1;0;1;0;484;11;30;0.888889;1;1;1546;27;LcFe
fastjson;com.alibaba.fastjson.parser.DefaultJSONParser;1;0;1;0;3;0;398;7;33;0.9216782;1;1;1515;65;LcFe
fastjson;com.alibaba.fastjson.serializer.JSONSerializer;1;0;1;0;1;0;106;4;11;0.8822315;0;2;338;44;LcFe
fastjson;com.alibaba.fastjson.util.TypeUtils;1;0;1;0;1;0;951;7;34;0.98783267;0;1;2810;99;LcFe
fastjson;com.alibaba.fastjson.JSON;1;0;1;0;1;0;226;4;33;0.955045;2;1;863;91;LcFe
fastjson;com.alibaba.fastjson.serializer.SerializeWriter;1;0;1;0;1;0;579;6;8;0.9088888;0;2;2022;75;LcFe
fastjson;com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory;1;0;1;0;2;0;157;4;28;0.7708334;0;1;1544;24;LcFe
jsoup;org.jsoup.parser.Tokeniser;1;0;1;0;1;0;78;5;18;0.90646255;0;1;242;28;LcFe
jsoup;org.jsoup.safety.Safelist;1;0;1;0;1;0;58;3;12;0.6857143;3;5;302;21;LcFe
libgdx;com.badlogic.gdx.math.Intersector;1;0;1;0;7;0;323;5;17;0.9424241;0;1;990;55;LcFe
libgdx;com.badlogic.gdx.graphics.glutils.ShapeRenderer;1;0;1;0;9;0;118;3;12;0.8299999;0;1;913;60;LcFe
libgdx;com.badlogic.gdx.graphics.glutils.ShaderProgram;1;0;1;0;1;0;122;3;15;0.9716235;0;1;523;87;LcFe
