sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource;1;0;0;1;0;2;128;2;66;0.94148135;0;2;466;75;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.SQLTokensParser;1;0;0;1;0;1;99;4;4;0.75;0;1;261;8;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.CustomSashForm;1;0;0;1;0;3;129;5;21;0.9307632;0;2;674;41;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.finder.AdvancedList;1;0;0;1;0;1;76;3;29;0.9083333;0;2;350;30;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionProposalBase;1;0;0;1;0;1;48;6;15;0.8750001;0;1;203;19;LcLm
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderDescriptor;1;0;0;1;0;1;110;5;22;0.9174963;0;2;424;37;LcLm
dbeaver;org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart;1;0;0;1;0;2;114;4;97;0.9572328;2;7;702;53;LcLm
dbeaver;org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel;1;0;0;1;0;2;171;8;44;0.96818185;10;1;479;55;LcLm
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter;1;0;0;1;0;2;64;6;18;0.7625;0;1;334;8;LcLm
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareObjectsExecutor;1;0;0;1;0;2;69;6;25;0.81818193;0;1;281;11;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.CustomFormEditor;1;0;0;1;0;3;100;6;28;0.8472222;0;1;333;16;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage;1;0;0;1;0;4;165;8;57;0.9254425;0;4;811;37;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob;1;0;0;1;0;3;163;7;44;0.86834306;0;2;641;26;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.pref.HexPreferencesManager;1;0;0;1;0;1;64;4;12;0.84362155;0;1;312;18;LcLm
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataSource;1;0;0;1;0;1;134;5;61;0.94842106;0;8;657;50;LcLm
dbeaver;org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageTask;1;0;0;1;0;1;61;3;27;0.82211536;0;2;264;16;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter;1;0;0;1;0;2;160;4;8;0.82589275;0;1;437;14;LcLm
