sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferSettings;1;0;1;1;1;1;159;5;25;0.9;0;1;538;41;LcLmFe
dbeaver;org.jkiss.dbeaver.ui.properties.PropertyTreeViewer;1;0;1;1;1;3;126;7;58;0.9551282;1;5;925;39;LcLmFe
dbeaver;org.jkiss.dbeaver.ui.editors.binary.HexEditControl;1;0;1;1;1;2;306;4;46;0.9493672;0;5;1369;79;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifactVersion;1;0;1;1;2;2;123;6;20;0.89889705;0;1;425;32;LcLmFe
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseConsumerSettings;1;0;1;1;1;1;76;6;25;0.86160713;0;1;275;32;LcLmFe
dbeaver;org.jkiss.dbeaver.model.DBUtils;1;0;1;1;2;4;569;6;99;0.94186044;0;1;1636;129;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.DataSourceDescriptor;1;0;1;1;2;2;278;7;71;0.95560634;0;1;1026;115;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerModern;1;0;1;1;2;3;173;7;48;0.8308824;0;1;811;16;LcLmFe
gson;com.google.gson.internal.LinkedHashTreeMap;1;0;1;1;3;2;101;3;6;0.875;0;6;582;24;LcLmFe
gson;com.google.gson.Gson;1;0;1;1;2;1;76;3;28;0.953153;0;2;509;37;LcLmFe
libgdx;com.badlogic.gdx.physics.box2d.Box2DDebugRenderer;1;0;1;1;2;1;63;4;20;0.8942857;0;1;274;28;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.Actor;1;0;1;1;2;1;266;4;19;0.92685187;2;1;652;108;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.Group;1;0;1;1;1;1;116;4;14;0.84942085;1;2;344;37;LcLmFe
libgdx;com.badlogic.gdx.graphics.Mesh;1;0;1;1;1;1;219;7;28;0.85526323;0;1;693;76;LcLmFe
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglCanvas;1;0;1;1;1;2;68;3;27;0.9529676;0;1;354;47;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Skin;1;0;1;1;1;1;120;4;49;0.87567556;0;1;431;37;LcLmFe
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglApplication;1;0;1;1;1;1;87;4;30;0.921875;2;1;309;40;LcLmFe
