sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreSettings;0;1;1;0;1;0;19;6;12;0.65999997;0;3;80;10;RbFe
dbeaver;org.jkiss.dbeaver.ui.search.data.SearchDataPage;0;1;1;0;1;0;34;3;24;0.74615395;0;3;218;10;RbFe
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl;0;1;1;0;2;0;120;3;18;0.95246476;0;2;469;71;RbFe
dbeaver;org.jkiss.dbeaver.ext.postgresql.edit.PostgreViewManager;0;1;1;0;1;0;24;2;23;0.9285714;1;3;74;14;RbFe
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler;0;1;1;0;2;0;120;5;17;0.7916666;0;3;391;12;RbFe
fastjson;com.alibaba.fastjson.parser.deserializer.MapDeserializer;0;1;1;0;2;0;89;6;15;1.0;0;2;333;9;RbFe
junit4;org.junit.experimental.theories.internal.AllMembersSupplier;0;1;1;0;1;0;39;4;10;0.6666667;1;3;147;15;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Touchpad;0;1;1;0;1;0;38;3;13;0.8187134;0;3;158;19;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageButton;0;1;1;0;1;0;33;3;12;0.6428572;0;7;104;14;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageTextButton;0;1;1;0;2;0;55;3;17;0.60784316;0;8;145;17;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Tree;0;1;1;0;1;0;132;3;20;0.9144386;0;4;666;55;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.actions.ParallelAction;0;1;1;0;1;0;24;3;5;0.65384614;1;2;82;13;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btSolveProjectedGaussSeidel;0;1;1;0;1;0;18;2;6;0.23076923;0;3;53;13;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.WidgetGroup;0;1;1;0;1;0;37;3;8;0.8833334;8;3;104;20;RbFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.EllipseShapeBuilder;0;1;1;0;1;0;34;3;8;0.0;0;2;124;20;RbFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.CameraInputController;0;1;1;0;1;0;52;4;7;0.8046875;0;4;164;12;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btDantzigSolver;0;1;1;0;1;0;14;2;6;0.33333334;0;3;41;9;RbFe
libgdx;com.badlogic.gdx.physics.bullet.collision.btTriangleIndexVertexArray;0;1;1;0;2;0;54;3;11;0.75;2;3;159;36;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btLemkeSolver;0;1;1;0;1;0;22;2;6;0.1764706;0;3;65;17;RbFe
libgdx;com.badlogic.gdx.graphics.Cubemap;0;1;1;0;1;0;40;3;15;0.74603176;0;2;158;21;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.TextButton;0;1;1;0;1;0;38;3;14;0.5;1;7;112;13;RbFe
