sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardRegistry;0;0;1;0;2;0;46;3;16;0.7375;0;1;159;16;AggFE
dbeaver;org.jkiss.dbeaver.ui.gis.panel.TilesManagementDialog;0;0;1;0;2;0;29;3;17;0.7818182;0;3;334;10;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageMetaData;0;0;1;0;3;0;10;1;7;0.675;0;2;60;8;AggFE
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerLegacy;0;0;1;0;3;0;68;6;28;0.7083333;0;1;631;8;AggFE
dbeaver;org.jkiss.utils.xml.XMLUtils;0;0;1;0;2;0;72;4;9;0.0;0;1;189;20;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageTransactions;0;0;1;0;2;0;10;1;9;0.6666667;0;2;73;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel;0;0;1;0;2;0;88;4;62;0.87719303;0;18;927;19;AggFE
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseProducerSettings;0;0;1;0;2;0;19;1;6;0.7901235;0;1;85;18;AggFE
dbeaver;org.jkiss.dbeaver.model.data.DBDAttributeConstraint;0;0;1;0;2;0;28;1;8;0.5740741;0;2;76;18;AggFE
dbeaver;org.jkiss.dbeaver.utils.PrefUtils;0;0;1;0;2;0;47;2;3;0.6;0;1;105;5;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetCellEditor;0;0;1;0;2;0;43;2;8;0.5740741;0;2;132;9;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageConnectionClient;0;0;1;0;2;0;11;1;14;0.7037037;0;2;80;9;AggFE
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCBasicDataTypeCache;0;0;1;0;2;0;15;2;13;0.61904764;0;3;46;7;AggFE
dbeaver;org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageResultSetPresentationPlainText;0;0;1;0;2;0;10;1;11;0.6666667;0;2;76;8;AggFE
dbeaver;org.jkiss.dbeaver.ext.firebird.model.plan.FireBirdPlanParser;0;0;1;0;6;0;36;4;6;0.61538464;0;1;203;13;AggFE
dbeaver;org.jkiss.dbeaver.ext.exasol.manager.ExasolScriptManager;0;0;1;0;2;0;16;1;18;0.0;0;2;50;10;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.valuefilter.FilterValueEditDialog;0;0;1;0;2;0;17;2;22;0.6388889;0;2;125;9;AggFE
dbeaver;org.jkiss.dbeaver.model.task.DBTaskUtils;0;0;1;0;2;0;23;3;13;0.7619047;0;1;91;7;AggFE
dbeaver;org.jkiss.dbeaver.ext.oracle.ui.views.PrefPageOracle;0;0;1;0;2;0;8;1;11;0.6666667;0;2;64;8;AggFE
dbeaver;org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugSession;0;0;1;0;3;0;100;4;29;0.9341461;0;2;603;41;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageErrorHandle;0;0;1;0;2;0;10;1;8;0.65625;0;2;81;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageResultSetPresentationGrid;0;0;1;0;2;0;10;1;15;0.65909094;0;2;96;8;AggFE
fastjson;com.alibaba.fastjson.serializer.ASMSerializerFactory;0;0;1;0;4;0;227;6;27;0.8149351;0;1;1677;28;AggFE
fastjson;com.alibaba.fastjson.asm.MethodWriter;0;0;1;0;2;0;39;2;8;0.74000007;0;1;153;15;AggFE
fastjson;com.alibaba.fastjson.serializer.AwtCodec;0;0;1;0;7;0;67;3;11;1.0;0;1;303;10;AggFE
fastjson;com.alibaba.fastjson.util.AntiCollisionHashMap;0;0;1;0;5;0;121;3;4;0.89423066;0;10;463;39;AggFE
jsoup;org.jsoup.parser.HtmlTreeBuilder;0;0;1;0;2;0;197;6;30;0.96188945;0;2;576;81;AggFE
jsoup;org.jsoup.nodes.FormElement;0;0;1;0;2;0;23;4;13;0.42857143;0;3;61;7;AggFE
jsoup;org.jsoup.select.QueryParser;0;0;1;0;3;0;98;28;51;0.7077922;0;1;265;22;AggFE
