sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ui.dialogs.MultiPageWizardDialog;0;0;0;1;0;2;68;5;31;0.88571435;0;2;281;25;AggLM
dbeaver;org.jkiss.dbeaver.ui.dashboard.view.DashboardUpdater;0;0;0;1;0;3;81;7;25;0.8181818;0;1;342;11;AggLM
dbeaver;org.jkiss.dbeaver.ext.hana.model.HANAStructureAssistant;0;0;0;1;0;5;85;4;20;0.25;0;2;264;12;AggLM
dbeaver;org.jkiss.dbeaver.ext.db2.editors.DB2StructureAssistant;0;0;0;1;0;2;54;5;19;0.80519485;0;2;281;11;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverDependenciesTree;0;0;0;1;0;2;38;3;21;0.7125;0;1;200;10;AggLM
dbeaver;org.jkiss.dbeaver.ui.editors.binary.dialogs.FindReplaceDialog;0;0;0;1;0;4;41;3;24;0.8627451;0;2;541;16;AggLM
dbeaver;org.jkiss.dbeaver.data.office.export.DataExporterXLSX;0;0;0;1;0;2;78;4;27;0.80779225;0;2;406;11;AggLM
dbeaver;org.jkiss.dbeaver.data.console.ConsoleTextPresentation;0;0;0;1;0;4;135;4;41;0.8956522;0;2;521;23;AggLM
dbeaver;org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor;0;0;0;1;0;2;58;5;39;0.7555555;0;4;393;9;AggLM
dbeaver;org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy;0;0;0;1;0;2;120;5;9;0.8095238;0;2;439;21;AggLM
dbeaver;org.jkiss.dbeaver.ui.controls.CSmartCombo;0;0;0;1;0;4;184;3;36;0.87127376;0;2;818;41;AggLM
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareReportRenderer;0;0;0;1;0;2;36;6;10;0.11111111;0;1;183;3;AggLM
dbeaver;org.jkiss.dbeaver.ui.ActionUtils;0;0;0;1;0;2;81;7;33;0.7;0;1;264;20;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageNetwork;0;0;0;1;0;2;26;3;21;0.6111111;0;3;143;6;AggLM
dbeaver;org.jkiss.dbeaver.registry.DataSourceRegistry;0;0;0;1;0;2;168;6;48;0.93787754;0;2;677;61;AggLM
dbeaver;org.jkiss.dbeaver.tools.project.ProjectImportWizard;0;0;0;1;0;2;79;8;27;0.7;0;2;349;10;AggLM
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageProjectNetworkProfiles;0;0;0;1;0;2;37;4;31;0.76851845;0;2;280;12;AggLM
dbeaver;org.jkiss.dbeaver.model.sql.parser.SQLScriptParser;0;0;0;1;0;4;207;10;27;0.5;0;1;610;12;AggLM
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferUtils;0;0;0;1;0;2;70;6;39;0.8730159;0;2;292;9;AggLM
dbeaver;org.jkiss.dbeaver.erd.ui.model.DiagramLoader;0;0;0;1;0;2;114;8;42;0.6666667;0;2;486;6;AggLM
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolStructureAssistant;0;0;0;1;0;2;38;4;20;0.84090906;0;2;229;11;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverDownloadAutoPage;0;0;0;1;0;2;26;3;21;0.71428573;0;5;168;7;AggLM
fastjson;com.alibaba.fastjson.asm.ClassReader;0;0;0;1;0;2;64;4;6;0.6875;0;1;283;8;AggLM
gson;com.google.gson.internal.bind.util.ISO8601Utils;0;0;0;1;0;2;57;6;1;0.8125;0;1;205;8;AggLM
gson;com.google.gson.stream.JsonReader;0;0;0;1;0;2;363;4;6;0.84335846;1;1;1128;38;AggLM
libgdx;com.badlogic.gdx.backends.lwjgl.DefaultLwjglInput;0;0;0;1;0;2;207;5;13;0.9622927;0;2;570;51;AggLM
libgdx;com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator;0;0;0;1;0;3;131;6;32;0.8636364;0;2;512;22;AggLM
retrofit;retrofit.RestMethodInfo;0;0;0;1;0;2;99;5;26;0.8583334;0;1;352;12;AggLM
