sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferSettings;1;0;1;1;1;1;159;5;25;0.9;0;1;538;41;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionWizard;0;0;1;1;1;1;48;5;38;0.7870371;0;3;173;18;HetAgg
dbeaver;org.jkiss.dbeaver.erd.model.ERDContentProviderDefault;0;0;1;1;1;1;31;6;21;0.8333333;0;1;97;6;HetAgg
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource;1;0;0;1;0;2;128;2;66;0.94148135;0;2;466;75;HetAgg
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsImportWizard;0;0;1;1;1;1;27;4;18;0.75;0;2;141;6;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource;1;0;1;0;1;0;166;5;49;0.91787446;0;1;518;46;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.SQLTokensParser;1;0;0;1;0;1;99;4;4;0.75;0;1;261;8;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource;1;0;1;0;2;0;128;5;63;0.91581637;0;4;502;49;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.syntax.SQLReconcilingStrategy;0;0;1;1;2;1;58;3;20;0.76470584;0;5;269;17;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.parser.rules.SQLDelimiterSetRule;0;0;1;1;1;1;23;3;6;0.0;0;1;59;2;HetAgg
dbeaver;org.jkiss.dbeaver.ext.ui.tipoftheday.ShowTipOfTheDayDialog;0;0;1;1;1;1;28;4;18;0.8173077;0;2;163;13;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.CustomSashForm;1;0;0;1;0;3;129;5;21;0.9307632;0;2;674;41;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.finder.AdvancedList;1;0;0;1;0;1;76;3;29;0.9083333;0;2;350;30;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer;0;0;1;1;1;2;175;6;49;0.8759935;2;2;621;37;HetAgg
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericExecutionContext;0;0;1;1;4;2;88;7;16;0.5714286;0;2;300;14;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleSchema;1;0;1;0;1;0;81;5;59;0.9310019;0;17;727;46;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant;0;0;1;1;1;1;50;5;20;0.7222222;0;1;181;9;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionProposalBase;1;0;0;1;0;1;48;6;15;0.8750001;0;1;203;19;HetAgg
dbeaver;org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor;0;0;1;1;1;3;153;4;18;0.89646465;0;2;719;88;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderDescriptor;1;0;0;1;0;1;110;5;22;0.9174963;0;2;424;37;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreSettings;0;1;1;0;1;0;19;6;12;0.65999997;0;3;80;10;HetAgg
dbeaver;org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart;1;0;0;1;0;2;114;4;97;0.9572328;2;7;702;53;HetAgg
dbeaver;org.jkiss.dbeaver.ui.properties.PropertyTreeViewer;1;0;1;1;1;3;126;7;58;0.9551282;1;5;925;39;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid;1;0;1;0;2;0;830;6;50;0.97440344;0;4;2993;169;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer;1;0;1;0;2;0;788;8;184;0.97138405;0;21;3526;186;HetAgg
dbeaver;org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel;1;0;0;1;0;2;171;8;44;0.96818185;10;1;479;55;HetAgg
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter;1;0;0;1;0;2;64;6;18;0.7625;0;1;334;8;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreRole;0;0;1;1;1;1;63;8;37;0.9355556;0;2;305;45;HetAgg
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareObjectsExecutor;1;0;0;1;0;2;69;6;25;0.81818193;0;1;281;11;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.CustomFormEditor;1;0;0;1;0;3;100;6;28;0.8472222;0;1;333;16;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.text.handlers.MorphDelimitedListHandler;0;1;0;1;0;1;26;5;13;0.0;0;4;248;2;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.HexEditControl;1;0;1;1;1;2;306;4;46;0.9493672;0;5;1369;79;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.ActionHistory;1;0;1;0;1;0;82;2;4;0.83142865;0;1;237;25;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage;1;0;0;1;0;4;165;8;57;0.9254425;0;4;811;37;HetAgg
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifactVersion;1;0;1;1;2;2;123;6;20;0.89889705;0;1;425;32;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob;1;0;0;1;0;3;163;7;44;0.86834306;0;2;641;26;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizardPageConfig;0;0;1;1;1;1;35;6;24;0.72727275;0;2;211;7;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer;0;0;1;1;1;6;327;7;50;0.79423875;0;1;939;27;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dashboard.histogram.DashboardRendererTimeseries;0;0;1;1;1;2;54;6;32;0.8333333;0;2;228;6;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.text.FileRefDocumentProvider;0;1;0;1;0;2;58;4;28;0.9166666;0;4;423;18;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryContent;0;0;1;1;2;2;201;4;5;0.8481483;0;1;612;45;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.pref.HexPreferencesManager;1;0;0;1;0;1;64;4;12;0.84362155;0;1;312;18;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataSource;1;0;0;1;0;1;134;5;61;0.94842106;0;8;657;50;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.DataSourceToolsContributor;0;0;1;1;1;1;41;7;36;0.8;0;3;196;5;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageTask;1;0;0;1;0;1;61;3;27;0.82211536;0;2;264;16;HetAgg
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverApplication;1;1;0;1;0;1;107;5;29;0.9490908;0;3;464;33;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter;1;0;0;1;0;2;160;4;8;0.82589275;0;1;437;14;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryEditor;0;0;1;1;1;1;52;2;38;0.7875;1;3;288;20;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseConsumerSettings;1;0;1;1;1;1;76;6;25;0.86160713;0;1;275;32;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.ObjectViewerRenderer;1;0;0;1;0;1;45;5;35;0.8737374;0;2;271;18;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.SQLEditor;1;0;0;1;0;5;522;6;142;0.97324705;0;13;3138;102;HetAgg
dbeaver;org.jkiss.dbeaver.model.DBUtils;1;0;1;1;2;4;569;6;99;0.94186044;0;1;1636;129;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderRegistry;1;0;0;1;0;1;107;4;31;0.8363095;0;1;457;28;HetAgg
dbeaver;org.jkiss.dbeaver.ext.import_config.wizards.ConfigImportWizard;1;0;1;0;3;0;49;7;18;0.75;4;2;208;8;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceDescriptor;1;0;1;1;2;2;278;7;71;0.95560634;0;1;1026;115;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.StreamConsumerSettings;1;0;1;0;1;0;54;7;18;0.8972433;0;1;242;38;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.sql.SQLToolTaskWizardPageSettings;0;0;1;1;1;1;23;2;27;0.7532468;0;2;212;11;HetAgg
dbeaver;org.jkiss.dbeaver.ui.search.metadata.SearchMetadataPage;0;1;1;1;2;1;63;10;35;0.76754385;0;3;370;12;HetAgg
dbeaver;org.jkiss.dbeaver.ui.search.data.SearchDataPage;0;1;1;0;1;0;34;3;24;0.74615395;0;3;218;10;HetAgg
dbeaver;org.jkiss.dbeaver.registry.maven.versioning.VersionRange;0;0;1;1;2;2;95;5;5;0.33333334;0;1;299;15;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTable;0;0;1;1;1;1;87;8;40;0.90109885;0;4;482;26;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerModern;1;0;1;1;2;3;173;7;48;0.8308824;0;1;811;16;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping;1;0;0;1;0;1;120;4;55;0.8930041;0;3;830;27;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl;0;1;1;0;2;0;120;3;18;0.95246476;0;2;469;71;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.edit.PostgreViewManager;0;1;1;0;1;0;24;2;23;0.9285714;1;3;74;14;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupSettings;0;1;0;1;0;1;51;6;16;0.79861104;0;3;202;18;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource;1;0;0;1;0;1;153;6;57;0.9515086;0;3;604;58;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardDescriptor;1;0;1;0;1;0;81;5;23;0.89252;0;2;421;51;HetAgg
dbeaver;org.jkiss.dbeaver.registry.driver.DriverDescriptor;1;0;0;1;0;1;255;6;46;0.9734416;0;2;981;134;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler;0;1;1;0;2;0;120;5;17;0.7916666;0;3;391;12;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter;1;0;0;1;0;1;68;4;27;0.83333325;0;2;316;14;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.importer.DataImporterCSV;0;0;1;1;1;2;48;7;23;0.85714287;0;2;201;7;HetAgg
dbeaver;org.jkiss.dbeaver.ui.UIUtils;1;0;0;1;0;1;420;6;104;0.9848739;0;1;1638;170;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel;1;0;1;0;2;0;276;8;41;0.9244792;0;1;863;64;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer;1;0;0;1;0;1;124;5;65;0.94674104;0;7;992;34;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.SQLUtils;1;0;1;0;1;0;339;8;40;0.97632056;0;1;1000;61;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType;1;0;0;1;0;1;219;4;41;0.93961525;0;3;770;65;HetAgg
dbeaver;org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor;1;0;1;0;1;0;58;4;37;0.80672264;0;13;379;17;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTableColumn;1;0;0;1;0;1;66;4;23;0.89375;0;2;256;32;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase;1;0;0;1;0;1;164;6;65;0.9634056;0;24;760;92;HetAgg
fastjson;com.alibaba.fastjson.JSONPath;1;0;1;0;1;0;409;6;35;0.87431693;0;15;3522;61;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.Jdk8DateCodec;0;1;1;1;1;1;178;7;16;0.84444463;0;2;554;9;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.AbstractDateDeserializer;0;1;0;1;0;1;37;6;11;0.0;2;2;158;3;HetAgg
fastjson;com.alibaba.fastjson.parser.ParserConfig;1;0;1;0;1;0;321;5;44;0.9485294;1;1;997;48;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer;1;0;1;0;1;0;484;11;30;0.888889;1;1;1546;27;HetAgg
fastjson;com.alibaba.fastjson.parser.DefaultJSONParser;1;0;1;0;3;0;398;7;33;0.9216782;1;1;1515;65;HetAgg
fastjson;com.alibaba.fastjson.serializer.JSONSerializer;1;0;1;0;1;0;106;4;11;0.8822315;0;2;338;44;HetAgg
fastjson;com.alibaba.fastjson.util.TypeUtils;1;0;1;0;1;0;951;7;34;0.98783267;0;1;2810;99;HetAgg
fastjson;com.alibaba.fastjson.JSON;1;0;1;0;1;0;226;4;33;0.955045;2;1;863;91;HetAgg
fastjson;com.alibaba.fastjson.serializer.SerializeWriter;1;0;1;0;1;0;579;6;8;0.9088888;0;2;2022;75;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.MapDeserializer;0;1;1;0;2;0;89;6;15;1.0;0;2;333;9;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory;1;0;1;0;2;0;157;4;28;0.7708334;0;1;1544;24;HetAgg
gson;com.google.gson.internal.LinkedHashTreeMap;1;0;1;1;3;2;101;3;6;0.875;0;6;582;24;HetAgg
gson;com.google.gson.Gson;1;0;1;1;2;1;76;3;28;0.953153;0;2;509;37;HetAgg
gson;com.google.gson.internal.LinkedTreeMap;0;0;1;1;2;2;86;3;4;0.8630952;0;6;428;21;HetAgg
jsoup;org.jsoup.parser.Tokeniser;1;0;1;0;1;0;78;5;18;0.90646255;0;1;242;28;HetAgg
jsoup;org.jsoup.safety.Safelist;1;0;1;0;1;0;58;3;12;0.6857143;3;5;302;21;HetAgg
junit4;org.junit.experimental.theories.internal.AllMembersSupplier;0;1;1;0;1;0;39;4;10;0.6666667;1;3;147;15;HetAgg
