sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ext.db2.model.plan.DB2PlanOperator;0;0;1;0;1;0;23;3;11;0.8863636;0;3;122;20;UniqueFE
dbeaver;org.jkiss.dbeaver.core.DBeaverUI;0;0;1;0;1;0;60;3;42;0.925;0;1;270;32;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.snowflake.model.SnowflakeDataSource;0;0;1;0;1;0;9;1;14;0.0;0;2;35;5;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.mysql.ui.config.MySQLUserManager;0;0;1;0;1;0;11;1;18;0.92857146;0;4;75;7;UniqueFE
dbeaver;org.jkiss.dbeaver.ui.editors.sql.preferences.PrefPageSQLEditor;0;0;1;0;1;0;14;3;14;0.6826923;0;2;114;8;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleProcedureStandalone;0;0;1;0;1;0;19;1;17;0.7307693;0;3;48;13;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.tools.ExasolUtils;0;0;1;0;1;0;41;4;15;0.8958334;0;1;145;12;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.ForeignKeyInfo;0;0;1;0;1;0;1;0;4;0.0;0;1;26;1;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.mssql.SQLServerDataSourceProvider;0;0;1;0;1;0;25;3;9;0.85714287;1;2;92;7;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericStructureAssistant;0;0;1;0;1;0;41;3;19;0.5555556;0;7;133;9;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolTableColumn;0;0;1;0;1;0;56;4;24;0.8858025;0;2;179;36;UniqueFE
dbeaver;org.jkiss.dbeaver.ui.editors.binary.HexManager;0;0;1;0;1;0;78;3;20;0.875;0;1;242;30;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.manager.DB2RoutineManager;0;0;1;0;1;0;8;1;7;0.5;0;3;30;2;UniqueFE
dbeaver;org.jkiss.dbeaver.model.impl.sql.edit.struct.SQLForeignKeyManager;0;0;1;0;1;0;35;4;25;0.0;0;3;106;10;UniqueFE
