sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl;1;0;0;0;0;0;183;1;6;0.98044693;0;1;549;179;UniqueLC
dbeaver;org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect;1;0;0;0;0;0;191;5;24;0.9808641;1;1;517;90;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.exasol.model.security.ExasolSecurityPolicy;1;0;0;0;0;0;57;2;8;0.84792626;0;1;212;31;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.entity.EntityEditor;1;0;0;0;0;0;199;4;77;0.9285715;0;3;897;41;UniqueLC
dbeaver;org.jkiss.dbeaver.model.navigator.meta.DBXTreeNode;1;0;0;0;0;0;82;4;18;0.8822222;3;1;259;30;UniqueLC
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifact;1;0;0;0;0;0;80;6;17;0.8927536;0;1;321;23;UniqueLC
dbeaver;org.jkiss.dbeaver.runtime.qm.QMMCollectorImpl;1;0;0;0;0;0;51;3;20;0.9090909;0;3;238;22;UniqueLC
dbeaver;org.jkiss.dbeaver.erd.ui.part.DiagramPart;1;0;0;0;0;0;55;5;30;0.91358024;0;3;196;27;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreTable;1;0;0;0;0;0;84;6;29;0.896875;4;4;275;32;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreExecutionContext;1;0;0;0;0;0;49;5;12;0.84210527;0;2;179;19;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.valuefilter.GenericFilterValueEdit;1;0;0;0;0;0;80;4;31;0.87536234;0;2;411;23;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.greenplum.model.GreenplumExternalTable;1;0;0;0;0;0;51;1;15;0.88000005;0;2;213;25;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.navigator.itemlist.ObjectListControl;1;0;0;0;0;0;180;9;60;0.94963384;0;12;1014;52;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation;1;0;0;0;0;0;139;4;43;0.8967391;0;2;529;23;UniqueLC
dbeaver;org.jkiss.utils.xml.SAXReader;1;0;0;0;0;0;46;4;17;0.8965517;0;1;218;29;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.data.VirtualStructureEditor;1;0;0;0;0;0;47;5;29;0.8434344;0;2;330;18;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.entity.properties.TabbedFolderPageForm;1;0;0;0;0;0;51;5;29;0.7878788;0;2;270;12;UniqueLC
dbeaver;org.jkiss.dbeaver.debug.ui.DatabaseLaunchShortcut;1;0;0;0;0;0;55;4;25;0.88;1;1;207;25;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema;1;0;0;0;0;0;112;5;55;0.9404297;2;7;691;64;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2DataSource;1;0;0;0;0;0;112;5;55;0.96451604;0;2;415;70;UniqueLC
dbeaver;org.jkiss.dbeaver.model.connection.DBPConnectionConfiguration;1;0;0;0;0;0;80;3;15;0.93563217;0;1;302;58;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.plan.PostgrePlanNodeText;1;0;0;0;0;0;52;3;3;0.8974359;0;3;184;13;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.notifications.AbstractNotificationPopup;1;0;0;0;0;0;57;5;27;0.9238094;1;2;378;25;UniqueLC
dbeaver;org.jkiss.dbeaver.model.sql.registry.SQLDialectDescriptor;1;0;0;0;0;0;47;3;13;0.9185606;0;2;183;24;UniqueLC
dbeaver;org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree;1;0;0;0;0;0;57;3;38;0.88076913;0;3;608;26;UniqueLC
dbeaver;org.jkiss.dbeaver.erd.ui.part.AssociationPart;1;0;0;0;0;0;54;3;32;0.95;0;5;253;20;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.mssql.model.SQLServerDatabase;1;0;0;0;0;0;47;2;27;0.87352943;0;4;250;34;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2Schema;1;0;0;0;0;0;99;5;47;0.945946;0;1;387;74;UniqueLC
dbeaver;org.jkiss.dbeaver.model.sql.parser.SQLWordPartDetector;1;0;0;0;0;0;44;5;3;0.8174603;0;3;152;14;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataType;1;0;0;0;0;0;102;4;35;0.94517547;0;4;416;48;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.colors.ColorSettingsDialog;1;0;0;0;0;0;68;6;37;0.8470587;0;4;487;17;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.mssql.model.SQLServerDataType;1;0;0;0;0;0;133;3;27;0.92045444;0;1;329;44;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorTree;1;0;0;0;0;0;87;5;45;0.9189189;0;4;643;37;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverSelectViewer;1;0;0;0;0;0;53;4;34;0.89285725;0;3;344;28;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.ProgressPageControl;1;0;0;0;0;0;76;3;29;0.9078946;1;2;462;28;UniqueLC
