sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ui.controls.StringEditorTable;0;0;0;1;0;1;8;3;15;0.0;0;1;116;3;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenObjectConsole;0;0;0;1;0;1;13;2;20;0.6666667;1;2;77;3;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageConnectionTypes;0;0;0;1;0;1;35;4;25;0.7769231;0;2;287;10;UniqueLM
dbeaver;org.jkiss.dbeaver.ext.generic.model.TableCache;0;0;0;1;0;1;15;2;16;0.5833334;0;2;76;6;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterSQL;0;0;0;1;0;1;79;7;22;0.82571405;0;2;315;10;UniqueLM
dbeaver;org.jkiss.dbeaver.erd.ui.export.ERDExportRasterImage;0;0;0;1;0;1;9;5;13;0.0;0;1;61;1;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.editors.sql.SQLEditorParametersProvider;0;0;0;1;0;1;17;4;7;0.0;0;1;56;2;UniqueLM
dbeaver;org.jkiss.dbeaver.model.text.TextUtils;0;0;0;1;0;1;19;5;3;0.0;0;1;68;4;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.datasource.DataSourceTransactionModeContributor;0;0;0;1;0;1;8;3;17;0.0;0;5;170;1;UniqueLM
dbeaver;org.jkiss.dbeaver.ext.db2.DB2Utils;0;0;0;1;0;1;68;6;27;0.94482744;0;1;389;29;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.common.NavigateBookmarkHandler;0;0;0;1;0;1;10;5;13;0.0;0;2;48;1;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.compare.simple.ui.CompareObjectsHandler;0;0;0;1;0;1;10;3;12;0.0;0;2;46;1;UniqueLM
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.RedshiftView;0;0;0;1;0;1;20;6;13;0.75;0;6;90;6;UniqueLM
