sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCBooleanValueHandler;0;1;0;0;0;0;14;1;10;0.9166666;0;3;49;6;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.editors.text.handlers.TrimTextSpacesHandler;0;1;0;0;0;0;12;8;10;0.0;0;3;56;1;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSourceInfo;0;1;0;0;0;0;54;4;9;0.9215688;0;2;243;34;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.data.formatters.BinaryFormatterHexNative;0;1;0;0;0;0;6;1;3;0.75;0;2;20;4;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.dialogs.ActiveWizard;0;1;0;0;0;0;23;3;8;0.7;0;3;80;10;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.navigator.project.ProjectExplorerView;0;1;0;0;0;0;13;1;16;0.9545455;0;4;190;11;UniqueRB
dbeaver;org.jkiss.dbeaver.model.data.DBDAttributeBindingType;0;1;0;0;0;0;39;3;21;0.6666667;0;3;121;28;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.mysql.ui.editors.MySQLUserEditorPrivileges;0;1;0;0;0;0;45;5;20;0.8016529;0;5;308;11;UniqueRB
dbeaver;org.jkiss.dbeaver.model.sql.parser.tokens.SQLMultilineCommentToken;0;1;0;0;0;0;0;0;1;0.0;0;4;2;0;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCReferenceValueHandler;0;1;0;0;0;0;11;2;16;0.875;0;4;50;4;UniqueRB
dbeaver;org.jkiss.dbeaver.registry.driver.DriverLibraryLocal;0;1;0;0;0;0;30;3;12;0.93333334;2;2;102;15;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.navigator.database.DatabaseBrowserView;0;1;0;0;0;0;20;3;16;0.9375;0;3;83;8;UniqueRB
dbeaver;org.jkiss.dbeaver.model.qm.meta.QMMTransactionInfo;0;1;0;0;0;0;17;2;5;0.675;0;1;56;10;UniqueRB
dbeaver;org.jkiss.dbeaver.registry.EclipseApplicationImpl;0;1;0;0;0;0;9;0;6;0.0;0;2;28;9;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.JDBCContentBytes;0;1;0;0;0;0;38;4;16;0.6515152;0;3;130;22;UniqueRB
dbeaver;org.jkiss.dbeaver.model.qm.meta.QMMTransactionSavepointInfo;0;1;0;0;0;0;20;2;7;0.7948718;0;1;81;13;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.editors.text.handlers.LoadTextFileHandler;0;1;0;0;0;0;2;1;3;0.0;0;3;10;1;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.data.TemporalAccessorValueHandler;0;1;0;0;0;0;19;3;12;0.75;1;2;65;8;UniqueRB
dbeaver;org.jkiss.dbeaver.model.qm.meta.QMMStatementExecuteInfo;0;1;0;0;0;0;31;2;6;0.82727283;0;1;106;20;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.preferences.SimplePreferenceStore;0;1;0;0;0;0;78;2;4;0.75543475;2;3;239;46;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupHandler;0;1;0;0;0;0;37;3;18;0.0;0;3;123;12;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.dashboard.model.data.DashboardDataChart;0;1;0;0;0;0;2;0;2;0.0;0;2;9;2;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.JDBCCollection;0;1;0;0;0;0;97;6;39;0.77599996;1;4;380;25;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTableConstraint;0;1;0;0;0;0;15;4;17;0.65;0;3;55;10;UniqueRB
dbeaver;org.jkiss.dbeaver.model.qm.meta.QMMSessionInfo;0;1;0;0;0;0;60;3;15;0.86111116;0;1;215;30;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.data.dialogs.TextViewDialog;0;1;0;0;0;0;56;2;23;0.8000001;0;3;241;15;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.local.LocalStatement;0;1;0;0;0;0;15;0;6;0.8666667;0;2;43;15;UniqueRB
dbeaver;org.jkiss.dbeaver.model.sql.parser.SQLIdentifierDetector;0;1;0;0;0;0;37;3;8;0.6730769;1;2;122;13;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCArrayValueHandler;0;1;0;0;0;0;21;2;14;1.0;0;4;78;5;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetJobDataRead;0;1;0;0;0;0;20;3;17;0.8181819;2;4;116;11;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.editors.sql.SQLSourceViewer;0;1;0;0;0;0;23;3;11;0.8888889;0;4;135;9;UniqueRB
dbeaver;org.jkiss.dbeaver.runtime.jobs.InvalidateJob;0;1;0;0;0;0;38;6;14;0.78;0;4;168;10;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.navigator.actions.node.NNAHDataSourceTunnel;0;1;0;0;0;0;10;3;9;0.0;0;2;33;4;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetCallable;0;1;0;0;0;0;202;1;10;0.0;0;3;601;196;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCStructValueHandler;0;1;0;0;0;0;20;2;22;0.875;0;4;81;4;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCObjectValueHandler;0;1;0;0;0;0;20;3;17;1.0;1;3;56;5;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCUUIDValueHandler;0;1;0;0;0;0;12;2;8;1.0;0;4;42;3;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.controls.lightgrid.GridColumnRenderer;0;1;0;0;0;0;29;2;12;0.8981483;0;2;152;9;UniqueRB
dbeaver;org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateNew;0;1;0;0;0;0;100;6;41;0.8181819;0;5;305;11;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCDateTimeValueHandler;0;1;0;0;0;0;61;3;13;0.90909094;0;4;205;11;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCResultSetImpl;0;1;0;0;0;0;242;2;17;0.8720095;0;2;786;209;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCStructCache;0;1;0;0;0;0;45;8;19;0.7708333;0;3;161;12;UniqueRB
