sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ext.db2.ui.internal.DB2Messages;0;0;0;0;0;0;2;0;2;0.011494253;0;2;94;1;WBS
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericView;0;0;0;0;0;0;9;1;12;0.6666667;3;3;29;6;WBS
dbeaver;org.jkiss.utils.IntKeyMap$Values;0;0;0;0;0;0;4;0;2;0.0;0;2;14;4;WBS
dbeaver;org.jkiss.dbeaver.ui.data.managers.DateTimeValueManager;0;0;0;0;0;0;6;1;11;1.0;0;2;20;3;WBS
dbeaver;org.jkiss.dbeaver.ext.mysql.ui.config.UserPropertyHandler;0;0;0;0;0;0;6;2;4;0.0;0;1;18;3;WBS
dbeaver;org.jkiss.utils.LongKeyMap$ValueIterator;0;0;0;0;0;0;1;0;2;0.0;0;2;5;1;WBS
dbeaver;org.jkiss.dbeaver.model.connection.DBPDriver;0;0;0;0;0;0;51;0;14;0.0;0;1;53;51;WBS
dbeaver;org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider;0;0;0;0;0;0;1;0;6;0.0;0;2;40;1;WBS
dbeaver;org.jkiss.dbeaver.ui.dashboard.view.DashboardViewConfigDialog;0;0;0;0;0;0;6;1;11;0.5;0;3;52;6;WBS
dbeaver;org.jkiss.dbeaver.ui.editors.sql.plan.registry.SQLPlanViewRegistry;0;0;0;0;0;0;9;2;6;0.5625;0;1;34;4;WBS
dbeaver;org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanAnalyser$Anonymous1;0;0;0;0;0;0;6;2;7;0.0;0;1;29;2;WBS
dbeaver;org.jkiss.dbeaver.model.impl.sql.edit.SQLObjectEditor$RefreshObjectReflector;0;0;0;0;0;0;2;0;2;0.0;0;1;8;2;WBS
dbeaver;org.jkiss.dbeaver.DBeaverPreferences;0;0;0;0;0;0;0;0;0;NaN;0;1;22;0;WBS
dbeaver;org.jkiss.dbeaver.ui.controls.folders.TabbedFolderList$TopNavigationElement;0;0;0;0;0;0;4;1;7;0.0;0;2;55;2;WBS
dbeaver;org.jkiss.dbeaver.model.impl.SimpleExclusiveLock$Lock;0;0;0;0;0;0;0;0;0;NaN;0;1;4;0;WBS
