sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck;0;0;1;1;1;1;27;4;8;0.74999994;0;4;106;6;FeLm
hadoop;org.apache.hadoop.mapred.MemoryMatcher;0;0;1;1;1;1;27;3;6;0.5;0;1;76;5;FeLm
htmlunit;com.gargoylesoftware.htmlunit.WebRequest;0;0;1;1;1;1;53;3;9;0.9131514;1;1;198;31;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLSerializer;0;0;1;1;1;1;29;5;14;1.0;0;2;88;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.DefaultCredentialsProvider;0;0;1;1;1;1;19;3;10;0.8181818;0;1;145;11;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.DefaultElementFactory;0;0;1;1;1;1;133;4;125;1.0;0;1;413;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.EventListenersContainer;0;0;1;1;3;1;44;5;11;0.796875;0;1;178;16;FeLm
htmlunit;com.gargoylesoftware.htmlunit.xml.XmlUtil;0;0;1;1;3;1;31;3;26;0.875;0;1;140;8;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLDocument;0;0;1;1;2;2;40;2;27;0.9142858;0;5;172;21;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.DomCharacterData;0;0;1;1;1;1;26;3;4;0.60714287;2;2;83;14;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.background.JavaScriptJobManagerImpl;0;0;1;1;1;1;54;3;6;0.7333333;0;1;183;15;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Node;0;0;1;1;3;2;111;4;27;0.9927536;6;2;438;46;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.HTMLParser;0;0;1;1;1;1;43;3;26;0.8333334;0;2;452;9;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLHttpRequest;0;0;1;1;1;1;92;3;27;0.8948275;0;3;403;29;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.XmlSerializer;0;0;1;1;2;1;34;4;22;0.75;0;1;166;12;FeLm
htmlunit;com.gargoylesoftware.htmlunit.HttpWebConnection;0;0;1;1;2;1;69;5;51;0.8636364;0;1;364;22;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration;0;0;1;1;9;1;101;6;68;0.9139786;0;1;440;31;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.impl.SimpleRange;0;0;1;1;2;2;96;5;13;0.6864864;0;1;341;37;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlSerializer;0;0;1;1;3;1;77;4;29;0.8819876;0;1;282;23;FeLm
