sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hibernate;org.hibernate.cfg.Configuration;1;0;1;0;3;0;304;6;104;0.975956;1;2;2142;120;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomNode;1;0;1;0;2;0;210;5;31;0.97191006;6;1;771;89;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlPage;1;0;1;0;5;0;367;4;88;0.97694105;1;3;1249;125;LcFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement;1;0;1;0;8;0;336;5;54;0.9888382;47;11;1259;146;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlElement;1;0;1;0;6;0;184;3;44;0.97073174;104;4;633;82;LcFe
jasperreports;net.sf.jasperreports.swing.JRViewerPanel;1;0;1;0;3;0;141;5;19;0.9192309;0;13;779;40;LcFe
jasperreports;net.sf.jasperreports.engine.design.JRJdtCompiler;1;0;1;0;2;0;37;3;23;0.9134616;0;3;358;13;LcFe
jasperreports;net.sf.jasperreports.engine.xml.JRXmlLoader;1;0;1;0;1;0;63;4;24;0.85714287;0;1;248;23;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillDataset;1;0;1;0;2;0;153;4;44;0.9471794;0;1;572;65;LcFe
jasperreports;net.sf.jasperreports.engine.util.JRStyleResolver;1;0;1;0;13;0;328;2;32;0.9489796;0;1;1134;98;LcFe
jasperreports;net.sf.jasperreports.engine.JRAbstractExporter;1;0;1;0;3;0;126;6;31;0.9551021;14;1;710;49;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRVerticalFiller;1;0;1;0;15;0;303;8;22;0.7209302;0;2;1211;43;LcFe
jasperreports;net.sf.jasperreports.engine.xml.JRXmlWriter;1;0;1;0;41;0;304;4;106;0.9719008;0;2;1609;121;LcFe
jasperreports;net.sf.jasperreports.engine.util.JRApiWriter;1;0;1;0;119;0;479;5;109;0.9694056;0;1;2136;143;LcFe
jasperreports;net.sf.jasperreports.engine.export.JRGridLayout;1;0;1;0;5;0;144;4;17;0.81249994;0;1;459;27;LcFe
jasperreports;net.sf.jasperreports.engine.design.JasperDesign;1;0;1;0;3;0;127;2;32;0.97700673;0;2;533;104;LcFe
jasperreports;net.sf.jasperreports.crosstabs.fill.calculation.BucketingService;1;0;1;0;4;0;141;5;19;0.88215476;0;5;853;33;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRBaseFiller;1;0;1;0;4;0;256;4;59;0.9728232;2;1;1059;99;LcFe
jasperreports;net.sf.jasperreports.engine.util.JRXmlWriteHelper;1;0;1;0;6;0;107;2;9;0.9391026;0;1;394;52;LcFe
jasperreports;net.sf.jasperreports.components.spiderchart.StandardChartSettings;1;0;1;0;1;0;78;3;13;0.96547437;0;1;359;59;LcFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseStyle;1;0;1;0;2;0;227;3;20;0.9840273;2;1;801;184;LcFe
jasperreports;net.sf.jasperreports.charts.design.JRDesignPieDataset;1;0;1;0;1;0;44;2;10;0.92857134;0;2;168;28;LcFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignDataset;1;0;1;0;7;0;110;3;28;0.94596237;0;2;560;61;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillCrosstab;1;0;1;0;6;0;111;5;59;0.9464287;0;3;1277;52;LcFe
jasperreports;net.sf.jasperreports.engine.query.JRHibernateQueryExecuter;1;0;1;0;1;0;47;3;16;0.8273809;0;2;214;21;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateText;1;0;1;0;1;0;180;1;28;0.97581613;0;2;599;161;LcFe
jasperreports;net.sf.jasperreports.olap.xmla.JRXmlaQueryExecuter;1;0;1;0;5;0;80;3;25;0.81666666;0;2;442;20;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillChart;1;0;1;0;2;0;264;2;104;0.98347926;0;2;841;147;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillElement;1;0;1;0;1;0;203;4;43;0.9669288;9;1;691;119;LcFe
jasperreports;net.sf.jasperreports.engine.fill.DefaultChartTheme;1;0;1;0;2;0;240;4;89;0.95277774;0;1;936;40;LcFe
jasperreports;net.sf.jasperreports.engine.util.JRStyledText;1;0;1;0;1;0;48;5;8;0.825;0;1;201;16;LcFe
jasperreports;net.sf.jasperreports.engine.xml.JRXmlConstants;1;0;1;0;39;0;102;1;40;0.98463786;0;1;1273;46;LcFe
jasperreports;net.sf.jasperreports.engine.util.JRStyledTextParser;1;0;1;0;5;0;121;5;18;0.9152049;0;1;450;19;LcFe
jasperreports;net.sf.jasperreports.engine.JRExpressionCollector;1;0;1;0;11;0;185;5;80;0.946875;0;1;721;80;LcFe
jasperreports;net.sf.jasperreports.view.JRViewer;1;0;1;0;5;0;221;5;23;0.96724063;1;13;1420;74;LcFe
jasperreports;net.sf.jasperreports.engine.convert.ReportConverter;1;0;1;0;2;0;51;3;27;0.8504274;0;3;288;18;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillBand;1;0;1;0;2;0;77;4;22;0.92773896;0;3;223;39;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillTextElement;1;0;1;0;1;0;198;2;27;0.9850147;2;2;622;171;LcFe
jasperreports;net.sf.jasperreports.engine.JRAbstractScriptlet;1;0;1;0;5;0;48;3;6;0.8888889;2;1;123;27;LcFe
jhotdraw;org.jhotdraw.draw.AbstractAttributedCompositeFigure;1;0;1;0;1;0;63;4;11;0.7222222;1;4;183;27;LcFe
jhotdraw;org.jhotdraw.geom.BezierPath;1;0;1;0;6;0;195;5;6;0.90740746;0;4;794;42;LcFe
jhotdraw;org.jhotdraw.gui.JFontChooser;1;0;1;0;1;0;60;7;8;0.91776323;0;4;238;19;LcFe
jhotdraw;org.jhotdraw.draw.AbstractFigure;1;0;1;0;4;0;111;4;17;0.9375;2;2;342;60;LcFe
jhotdraw;org.jhotdraw.io.StreamPosTokenizer;1;0;1;0;1;0;207;6;3;0.89889705;0;1;603;32;LcFe
jhotdraw;org.jhotdraw.draw.action.ButtonFactory;1;0;1;0;3;0;120;3;63;0.99642855;0;1;950;70;LcFe
jhotdraw;net.n3.nanoxml.XMLElement;1;0;1;0;3;0;127;3;4;0.82575756;0;1;486;60;LcFe
jhotdraw;org.jhotdraw.io.Base64;1;0;1;0;1;0;77;5;4;0.8739495;0;5;634;17;LcFe
jfreechart;org.jfree.chart.StandardChartTheme;1;0;1;0;22;0;237;3;52;0.9156584;0;1;923;93;LcFe
jfreechart;org.jfree.chart.plot.Plot;1;0;1;0;1;0;162;3;27;0.9489898;13;1;557;66;LcFe
jfreechart;org.jfree.chart.plot.PolarPlot;1;0;1;0;1;0;127;3;24;0.9275811;0;2;504;59;LcFe
jfreechart;org.jfree.chart.axis.DateTickUnit;1;0;1;0;3;0;60;1;3;0.8738096;0;2;217;28;LcFe
jmeter;org.apache.jmeter.protocol.http.util.accesslog.TCLogParser;1;0;1;0;1;0;66;5;8;0.91;1;1;255;25;LcFe
jmeter;org.apache.jmeter.protocol.smtp.sampler.gui.SmtpPanel;1;0;1;0;4;0;72;2;6;0.9446988;0;5;641;57;LcFe
jmeter;org.apache.jmeter.control.GenericController;1;0;1;0;1;0;51;4;10;0.89285713;14;2;191;28;LcFe
jmeter;org.apache.jmeter.protocol.http.util.WSDLHelper;1;0;1;0;1;0;57;3;8;0.8596491;0;1;236;19;LcFe
jmeter;org.apache.jmeter.samplers.SampleResult;1;0;1;0;1;0;155;3;5;0.9627976;1;1;587;108;LcFe
lucene;org.apache.lucene.index.CheckIndex;1;0;1;0;1;0;323;11;34;0.74615383;0;1;1288;26;LcFe
quartz;org.quartz.CronExpression;1;0;1;0;3;0;338;6;2;0.88594455;1;1;1134;31;LcFe
quartz;org.quartz.TriggerUtils;1;0;1;0;16;0;100;3;5;0.9666667;0;1;460;50;LcFe
quartz;org.quartz.core.QuartzScheduler;1;0;1;0;6;0;282;4;35;0.95992225;0;1;1151;119;LcFe
quartz;org.quartz.impl.StdSchedulerFactory;1;0;1;0;1;0;166;6;37;0.93953156;0;1;870;21;LcFe
quartz;org.quartz.impl.jdbcjobstore.JobStoreSupport;1;0;1;0;10;0;443;7;36;0.9815451;2;3;1991;157;LcFe
quartz;org.quartz.Trigger;1;0;1;0;2;0;89;2;8;0.96424025;4;1;253;54;LcFe
quartz;org.quartz.impl.RemoteMBeanScheduler;1;0;1;0;27;0;81;1;16;0.7662338;1;1;241;77;LcFe
quartz;org.quartz.impl.jdbcjobstore.StdJDBCDelegate;1;0;1;0;30;0;250;6;19;0.9568182;10;1;2072;110;LcFe
quartz;org.quartz.xml.XMLSchedulingDataProcessor;1;0;1;0;2;0;158;7;20;0.9363636;0;1;600;40;LcFe
spring-framework;org.springframework.transaction.support.AbstractPlatformTransactionManager;1;0;1;0;3;0;153;5;19;0.93627447;2;1;560;51;LcFe
spring-framework;org.springframework.beans.factory.config.BeanDefinitionVisitor;1;0;1;0;1;0;60;2;11;0.88235295;0;1;194;17;LcFe
struts;org.apache.struts2.jasper.compiler.PageInfo;1;0;1;0;1;0;118;4;9;0.97110003;0;1;365;81;LcFe
struts;com.opensymphony.xwork2.conversion.impl.XWorkBasicConverter;1;0;1;0;2;0;131;5;13;0.8888889;0;2;432;18;LcFe
struts;org.apache.struts2.jasper.compiler.Node;1;0;1;0;2;0;50;3;11;0.89247316;62;38;1429;31;LcFe
struts;com.opensymphony.xwork2.validator.AnnotationActionValidatorManager;1;0;1;0;1;0;57;7;21;0.8461539;0;1;222;13;LcFe
struts;org.apache.struts2.jasper.compiler.Generator;1;0;1;0;2;0;123;5;27;0.86458325;0;5;2799;30;LcFe
struts;org.apache.struts2.components.Component;1;0;1;0;1;0;59;3;9;0.85161287;11;1;213;31;LcFe
struts;com.opensymphony.xwork2.ognl.OgnlUtil;1;0;1;0;2;0;55;5;10;0.9275363;0;1;202;23;LcFe
struts;org.apache.struts2.views.xslt.AbstractAdapterNode;1;0;1;0;1;0;71;3;11;0.94642866;4;1;242;56;LcFe
struts;com.opensymphony.xwork2.config.providers.XmlConfigurationProvider;1;0;1;0;1;0;174;8;42;0.89743584;0;1;684;39;LcFe
struts;com.opensymphony.xwork2.util.finder.ClassFinder;1;0;1;0;7;0;114;5;19;0.8055555;0;7;661;30;LcFe
