sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
jasperreports;net.sf.jasperreports.engine.data.JRCsvDataSource;1;0;0;1;0;1;86;5;6;0.875;0;1;309;22;LcLm
jfreechart;org.jfree.chart.renderer.category.LineAndShapeRenderer;1;0;0;1;0;1;100;4;15;0.89242435;3;3;389;44;LcLm
jfreechart;org.jfree.chart.axis.ValueAxis;1;0;0;1;0;2;171;3;15;0.95046294;4;2;671;72;LcLm
jfreechart;org.jfree.chart.renderer.xy.CandlestickRenderer;1;0;0;1;0;1;79;4;20;0.8709678;0;3;373;31;LcLm
jfreechart;org.jfree.data.time.TimeSeries;1;0;0;1;0;3;118;3;5;0.8493827;0;2;462;45;LcLm
jfreechart;org.jfree.chart.renderer.category.MinMaxCategoryRenderer;1;0;0;1;0;1;43;5;12;0.83684206;0;3;229;19;LcLm
jfreechart;org.jfree.chart.plot.PiePlot;1;0;0;1;0;3;312;5;32;0.965165;2;2;1391;140;LcLm
jfreechart;org.jfree.chart.editor.DefaultPlotEditor;1;0;0;1;0;1;68;3;20;0.83703715;0;5;313;15;LcLm
jfreechart;org.jfree.chart.renderer.xy.XYStepAreaRenderer;1;0;0;1;0;1;63;3;17;0.87222224;0;3;230;18;LcLm
jfreechart;org.jfree.chart.axis.NumberAxis;1;0;0;1;0;3;111;5;20;0.93301445;5;3;709;38;LcLm
jfreechart;org.jfree.chart.axis.SymbolAxis;1;0;0;1;0;2;74;4;16;0.80952376;0;4;380;21;LcLm
jfreechart;org.jfree.chart.renderer.xy.XYShapeRenderer;1;0;0;1;0;1;60;4;19;0.79687494;0;3;217;24;LcLm
jfreechart;org.jfree.chart.plot.ContourPlot;1;0;0;1;0;7;182;3;31;0.95795673;0;2;764;79;LcLm
jfreechart;org.jfree.chart.axis.Axis;1;0;0;1;0;1;136;2;12;0.9499999;2;1;528;65;LcLm
jfreechart;org.jfree.chart.renderer.xy.HighLowRenderer;1;0;0;1;0;1;51;4;17;0.7647059;0;3;195;17;LcLm
