sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.WebClient;1;0;1;1;4;1;272;6;60;0.9775393;0;1;1059;117;LcLmFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLDocument;1;0;1;1;6;1;238;5;52;0.97773975;0;5;860;73;LcLmFe
jasperreports;net.sf.jasperreports.compilers.JRGroovyGenerator;1;0;1;1;2;1;75;4;7;0.7925926;0;1;415;15;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRPdfExporter;1;0;1;1;7;4;275;6;67;0.93333334;0;4;1403;35;LcLmFe
jasperreports;net.sf.jasperreports.engine.design.JRClassGenerator;1;0;1;1;3;1;79;3;9;0.8508772;0;1;463;19;LcLmFe
jasperreports;net.sf.jasperreports.components.table.fill.TableReport;1;0;1;1;1;1;109;5;57;0.9382284;0;12;669;78;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRXhtmlExporter;1;0;1;1;5;4;258;7;53;0.9493285;0;3;1241;42;LcLmFe
jasperreports;net.sf.jasperreports.engine.design.JRVerifier;1;0;1;1;59;3;634;8;93;0.96118003;0;1;1849;92;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.xmlss.JRXmlssExporter;1;0;1;1;1;6;140;6;32;0.9343997;0;2;596;25;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRPptxExporter;1;0;1;1;1;3;174;5;49;0.9150641;0;3;972;24;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRHtmlExporter;1;0;1;1;7;5;284;7;59;0.94186014;0;3;1313;43;LcLmFe
jasperreports;net.sf.jasperreports.engine.fill.JRHorizontalFiller;1;0;1;1;15;1;305;8;22;0.9116279;0;2;1214;43;LcLmFe
jhotdraw;org.jhotdraw.draw.DefaultDrawingView;1;0;1;1;12;2;238;5;22;0.95146877;0;4;1067;81;LcLmFe
jhotdraw;org.jhotdraw.gui.JSheet;1;0;1;1;6;1;119;4;5;0.9319149;0;6;595;47;LcLmFe
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteToolBarUI;1;0;1;1;7;3;183;4;8;0.94753593;0;14;982;51;LcLmFe
jhotdraw;org.jhotdraw.text.JavaNumberFormatter;1;0;1;1;8;1;80;3;1;0.85918367;0;3;288;35;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.AbstractXYItemRenderer;1;0;1;1;4;2;191;4;34;0.9030612;18;2;803;56;LcLmFe
jfreechart;org.jfree.chart.plot.RingPlot;1;0;1;1;1;1;48;5;13;0.76870745;0;3;224;21;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.XYLineAndShapeRenderer;1;0;1;1;1;2;125;4;19;0.9051281;7;5;489;52;LcLmFe
jfreechart;org.jfree.chart.plot.SpiderWebPlot;1;0;1;1;1;3;152;5;21;0.93815994;0;2;679;68;LcLmFe
jfreechart;org.jfree.chart.axis.DateAxis;1;0;1;1;3;2;169;4;26;0.92810464;0;3;917;51;LcLmFe
jfreechart;org.jfree.chart.plot.CategoryPlot;1;0;1;1;1;12;576;6;44;0.9758098;2;2;2144;213;LcLmFe
jfreechart;org.jfree.chart.JFreeChart;1;0;1;1;2;2;164;3;34;0.9266233;0;1;640;70;LcLmFe
jfreechart;org.jfree.chart.renderer.category.AbstractCategoryItemRenderer;1;0;1;1;2;1;174;4;36;0.9221492;8;2;751;57;LcLmFe
jfreechart;org.jfree.data.statistics.HistogramDataset;1;0;1;1;4;1;47;3;9;0.77777773;0;5;183;21;LcLmFe
jfreechart;org.jfree.chart.plot.dial.DialPlot;1;0;1;1;1;1;89;3;15;0.8638212;0;2;365;41;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.XYDifferenceRenderer;1;0;1;1;2;1;125;4;21;0.81333333;0;3;575;25;LcLmFe
jfreechart;org.jfree.chart.ChartPanel;1;0;1;1;6;3;298;4;25;0.9661331;1;5;1311;114;LcLmFe
jfreechart;org.jfree.chart.renderer.category.BarRenderer;1;0;1;1;2;1;158;4;25;0.9135082;6;3;564;49;LcLmFe
jfreechart;org.jfree.data.general.DatasetUtilities;1;0;1;1;7;1;315;6;30;0.0;0;1;1172;52;LcLmFe
jfreechart;org.jfree.experimental.chart.swt.ChartComposite;1;0;1;1;2;1;203;4;47;0.9455232;0;2;849;65;LcLmFe
jfreechart;org.jfree.chart.plot.ThermometerPlot;1;0;1;1;2;1;181;3;18;0.9608072;0;2;696;77;LcLmFe
jfreechart;org.jfree.chart.axis.CategoryAxis;1;0;1;1;3;2;151;4;22;0.9185521;3;2;628;51;LcLmFe
jfreechart;org.jfree.chart.axis.LogarithmicAxis;1;0;1;1;1;3;154;9;12;0.86428577;0;4;493;28;LcLmFe
jfreechart;org.jfree.chart.plot.MeterPlot;1;0;1;1;1;6;137;4;13;0.9214285;0;2;564;55;LcLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.HTTPHC3Impl;1;0;1;1;1;4;148;6;53;0.89215684;0;4;638;17;LcLmFe
jmeter;org.apache.jmeter.gui.GuiPackage;1;0;1;1;4;1;65;3;19;0.89473695;0;1;300;38;LcLmFe
jmeter;org.apache.commons.cli.avalon.CLArgsParser;1;0;1;1;2;1;101;4;7;0.8941801;0;1;421;27;LcLmFe
jmeter;org.apache.jmeter.util.JMeterUtils;1;0;1;1;4;1;150;4;15;0.9577206;0;1;646;64;LcLmFe
jmeter;org.apache.jmeter.gui.util.ReportMenuBar;1;0;1;1;2;1;48;2;9;0.89857155;0;5;335;20;LcLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.AjpSampler;1;0;1;1;1;1;82;4;18;0.8937499;0;3;414;24;LcLmFe
jmeter;org.apache.jmeter.gui.action.ActionRouter;1;0;1;1;4;1;54;6;5;0.7733334;0;1;208;15;LcLmFe
jmeter;org.apache.jmeter.functions.RegexFunction;1;0;1;1;1;1;45;3;14;0.8686869;0;2;200;9;LcLmFe
jmeter;org.apache.jmeter.gui.ReportGuiPackage;1;0;1;1;4;1;56;3;18;0.873656;0;1;260;31;LcLmFe
jmeter;org.apache.jmeter.JMeter;1;0;1;1;1;7;139;6;36;0.9237969;0;1;813;22;LcLmFe
jmeter;org.apache.jmeter.protocol.http.proxy.ProxyControl;1;0;1;1;7;1;168;6;37;0.97179484;0;2;615;65;LcLmFe
jmeter;org.apache.jmeter.report.gui.action.ReportActionRouter;1;0;1;1;4;1;52;6;7;0.7733334;0;1;198;15;LcLmFe
jmeter;org.apache.jmeter.gui.util.JMeterMenuBar;1;0;1;1;4;1;83;3;7;0.9337858;0;5;447;31;LcLmFe
jmeter;org.apache.jmeter.save.CSVSaveService;1;0;1;1;2;2;146;4;17;0.89062524;0;1;677;18;LcLmFe
struts;org.apache.struts2.convention.PackageBasedActionConfigBuilder;1;0;1;1;8;2;198;6;39;0.92946446;0;1;557;40;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspDocumentParser;1;0;1;1;4;5;207;6;61;0.8682539;0;6;677;30;LcLmFe
struts;org.apache.struts2.jasper.xmlparser.XMLEncodingDetector;1;0;1;1;3;1;264;6;15;0.86063206;0;2;954;24;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspUtil;1;0;1;1;2;1;217;9;16;0.9680851;0;1;729;47;LcLmFe
struts;org.apache.struts2.views.freemarker.FreemarkerManager;1;0;1;1;2;1;66;4;27;0.9347826;1;1;285;23;LcLmFe
struts;org.apache.struts2.jasper.JspCompilationContext;1;0;1;1;2;1;117;6;16;0.94710726;0;1;421;55;LcLmFe
struts;org.apache.struts2.jasper.runtime.JspWriterImpl;1;0;1;1;2;1;83;3;6;0.8606272;0;2;242;41;LcLmFe
struts;org.apache.struts2.json.JSONInterceptor;1;0;1;1;1;1;68;4;16;0.9245613;0;1;258;30;LcLmFe
struts;org.apache.struts2.jasper.compiler.Parser;1;0;1;1;7;2;367;5;48;0.81286556;0;1;1221;57;LcLmFe
struts;org.apache.struts2.jasper.compiler.TldLocationsCache;1;0;1;1;1;1;73;5;8;0.82692313;0;1;317;13;LcLmFe
struts;org.apache.struts2.jasper.JspC;1;0;1;1;2;1;203;5;14;0.9746601;0;1;793;77;LcLmFe
struts;org.apache.struts2.dispatcher.mapper.DefaultActionMapper;1;0;1;1;2;1;74;4;13;0.92222226;2;1;292;18;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspConfig;1;0;1;1;3;2;87;12;10;0.7142858;0;1;350;7;LcLmFe
struts;org.apache.struts2.dispatcher.Dispatcher;1;0;1;1;1;1;99;4;42;0.87723213;8;1;443;32;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspReader;1;0;1;1;2;1;104;5;7;0.87739456;0;1;333;29;LcLmFe
tapestry;org.apache.tapestry.mojo.ComponentReport;1;0;1;1;5;1;106;4;23;0.95495486;0;2;510;37;LcLmFe
tapestry;org.apache.tapestry5.upload.internal.services.MultipartDecoderImpl;1;0;1;1;1;1;17;3;13;0.72222227;0;1;76;9;LcLmFe
tomcat;org.apache.tomcat.util.digester.Digester;1;0;1;1;8;1;245;4;34;0.95411545;0;2;906;124;LcLmFe
tomcat;org.apache.catalina.ant.jmx.JMXAccessorTask;1;0;1;1;1;1;126;4;4;0.9327732;6;3;380;42;LcLmFe
tomcat;org.apache.catalina.mbeans.ServerLifecycleListener;1;0;1;1;4;1;195;3;28;0.546875;0;1;567;32;LcLmFe
tomcat;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsIntrospectionSource;1;0;1;1;1;1;68;5;10;0.7909092;0;2;210;11;LcLmFe
tomcat;org.apache.catalina.core.StandardWrapper;1;0;1;1;5;1;211;6;19;0.9520202;0;3;804;88;LcLmFe
tomcat;org.apache.catalina.session.StandardSession;1;0;1;1;2;1;189;6;23;0.90198505;0;1;652;62;LcLmFe
tomcat;org.apache.catalina.connector.Request;1;0;1;1;6;1;420;5;38;0.9631806;0;1;1324;152;LcLmFe
tomcat;org.apache.naming.resources.ResourceCache;1;0;1;1;5;1;55;5;3;0.78947365;0;1;223;19;LcLmFe
tomcat;org.apache.catalina.tribes.tipis.AbstractReplicatedMap;1;0;1;1;6;1;247;5;16;0.9095022;2;3;1051;65;LcLmFe
tomcat;org.apache.catalina.session.JDBCStore;1;0;1;1;1;1;117;5;8;0.9118993;0;3;526;38;LcLmFe
weka;weka.classifiers.pmml.consumer.GeneralRegression;1;0;1;1;4;1;225;8;19;0.82352936;0;3;931;17;LcLmFe
weka;weka.core.xml.XMLSerialization;1;0;1;1;4;1;186;8;13;0.91297203;1;1;683;58;LcLmFe
weka;weka.classifiers.trees.LADTree;1;0;1;1;12;1;159;5;21;0.92198586;0;5;885;47;LcLmFe
weka;weka.classifiers.functions.SMO;1;0;1;1;3;1;119;5;25;0.9177951;2;2;1154;47;LcLmFe
weka;weka.core.Capabilities;1;0;1;1;19;2;265;6;16;0.9526316;0;1;780;50;LcLmFe
weka;weka.experiment.DatabaseUtils;1;0;1;1;9;1;198;4;5;0.94799066;3;1;722;47;LcLmFe
weka;weka.attributeSelection.ReliefFAttributeEval;1;0;1;1;1;3;152;6;12;0.90714306;0;2;702;35;LcLmFe
weka;weka.gui.experiment.ResultsPanel;1;0;1;1;2;5;90;3;24;0.90208364;0;5;945;20;LcLmFe
weka;weka.filters.supervised.attribute.PLSFilter;1;0;1;1;6;1;84;3;23;0.95537764;0;4;489;38;LcLmFe
weka;weka.classifiers.Evaluation;1;0;1;1;6;3;474;6;28;0.9350199;0;1;1857;94;LcLmFe
weka;weka.classifiers.mi.MISMO;1;0;1;1;4;1;138;5;29;0.92780757;0;2;1082;51;LcLmFe
weka;weka.associations.FPGrowth;1;0;1;1;3;1;151;6;22;0.92397666;0;3;1198;57;LcLmFe
weka;weka.gui.explorer.ClustererPanel;1;0;1;1;3;1;127;6;38;0.9184147;0;5;1268;26;LcLmFe
