sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hadoop;org.apache.hadoop.fs.FileSystem;1;1;0;0;0;0;165;4;26;0.9722222;11;3;718;100;LcRb
hadoop;org.apache.hadoop.util.LinuxResourceCalculatorPlugin;1;1;0;0;0;0;48;4;5;0.8966135;0;3;273;17;LcRb
hadoop;org.apache.hadoop.streaming.StreamXmlRecordReader;1;1;0;0;0;0;55;3;11;0.88492066;0;2;218;12;LcRb
hibernate;org.hibernate.hql.internal.classic.QueryTranslatorImpl;1;1;0;0;0;0;218;6;40;0.9684535;0;3;798;97;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRFillCellContents;1;1;0;0;0;0;102;3;34;0.9254385;0;3;411;48;LcRb
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintImage;1;1;0;0;0;0;132;1;18;0.970492;0;3;446;122;LcRb
jasperreports;net.sf.jasperreports.engine.design.JRDesignImage;1;1;0;0;0;0;155;2;23;0.9736424;0;4;568;132;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateImage;1;1;0;0;0;0;117;1;26;0.9626735;0;3;411;108;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRFillImage;1;1;0;0;0;0;207;5;50;0.98061776;0;3;617;127;LcRb
jfreechart;org.jfree.chart.plot.dial.DialValueIndicator;1;1;0;0;0;0;63;1;11;0.8504506;0;2;265;37;LcRb
jfreechart;org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset;1;1;0;0;0;0;48;2;7;0.8287037;0;4;192;27;LcRb
lucene;org.apache.lucene.analysis.ja.JapaneseIterationMarkCharFilter;1;1;0;0;0;0;53;2;4;0.9017857;0;2;223;21;LcRb
lucene;org.apache.lucene.index.TieredMergePolicy;1;1;0;0;0;0;123;5;13;0.869697;0;2;440;33;LcRb
lucene;org.apache.lucene.search.suggest.analyzing.AnalyzingSuggester;1;1;0;0;0;0;62;4;33;0.8445378;1;3;394;17;LcRb
lucene;org.apache.lucene.index.ConcurrentMergeScheduler;1;1;0;0;0;0;64;5;9;0.8148148;2;3;321;21;LcRb
lucene;org.apache.lucene.codecs.BlockTreeTermsReader;1;1;0;0;0;0;30;3;16;0.7407408;1;4;1719;9;LcRb
lucene;org.apache.lucene.search.spans.NearSpansUnordered;1;1;0;0;0;0;51;3;13;0.8074866;0;4;224;17;LcRb
struts;com.opensymphony.xwork2.interceptor.ParametersInterceptor;1;1;0;0;0;0;52;4;17;0.875817;0;3;207;17;LcRb
tomcat;org.apache.catalina.filters.ExpiresFilter;1;1;0;0;0;0;108;3;9;0.8787878;0;8;722;24;LcRb
tomcat;org.apache.jasper.runtime.JspWriterImpl;1;1;0;0;0;0;83;3;5;0.8606272;0;2;242;41;LcRb
