sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hadoop;org.apache.hadoop.mapred.FairScheduler;1;1;1;0;2;0;165;5;43;0.9174172;0;4;715;37;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillElementContainer;1;1;1;0;6;0;127;6;25;0.875862;4;2;405;29;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseObjectFactory;1;1;1;0;3;0;248;3;163;0.95348835;3;2;840;86;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillObjectFactory;1;1;1;0;3;0;231;4;134;0.93037975;2;2;840;79;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintText;1;1;1;0;4;0;231;3;23;0.9827427;0;2;757;201;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseTextElement;1;1;1;0;1;0;160;1;15;0.96936065;2;2;553;140;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRTemplatePrintText;1;1;1;0;1;0;209;3;20;0.98766446;1;2;608;192;LcRbFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignTextElement;1;1;1;0;1;0;162;1;16;0.9723872;2;3;553;142;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillSubreport;1;1;1;0;5;0;153;4;48;0.9247137;0;2;532;47;LcRbFe
jhotdraw;org.jhotdraw.draw.AbstractAttributedFigure;1;1;1;0;1;0;58;4;11;0.7;7;3;174;25;LcRbFe
jfreechart;org.jfree.chart.renderer.xy.XYBarRenderer;1;1;1;0;2;0;150;4;27;0.88636357;2;5;545;44;LcRbFe
jfreechart;org.jfree.chart.panel.CrosshairOverlay;1;1;1;0;4;0;97;3;13;0.6;0;2;347;20;LcRbFe
tapestry;org.apache.tapestry5.dom.Element;1;1;1;0;4;0;123;3;15;0.8484043;0;2;425;47;LcRbFe
tomcat;org.apache.catalina.loader.WebappLoader;1;1;1;0;1;0;154;5;15;0.86837614;1;2;556;39;LcRbFe
tomcat;org.apache.catalina.valves.AccessLogValve;1;1;1;0;2;0;114;5;35;0.9069999;1;4;730;40;LcRbFe
tomcat;org.apache.tomcat.util.net.jsse.JSSESocketFactory;1;1;1;0;4;0;116;7;7;0.91316533;0;2;459;21;LcRbFe
tomcat;org.apache.catalina.servlets.DefaultServlet;1;1;1;0;4;0;269;5;19;0.9256756;1;2;1045;37;LcRbFe
tomcat;org.apache.catalina.realm.RealmBase;1;1;1;0;3;0;206;6;24;0.90592337;7;3;647;41;LcRbFe
tomcat;org.apache.catalina.authenticator.SingleSignOn;1;1;1;0;1;0;63;3;10;0.7916667;1;2;172;16;LcRbFe
tomcat;org.apache.catalina.session.ManagerBase;1;1;1;0;2;0;157;4;14;0.9470321;2;3;593;73;LcRbFe
tomcat;org.apache.catalina.core.ContainerBase;1;1;1;0;1;0;176;4;24;0.910038;4;2;540;48;LcRbFe
tomcat;org.apache.catalina.ha.tcp.ReplicationValve;1;1;1;0;1;0;95;5;18;0.882353;0;2;297;35;LcRbFe
tomcat;org.apache.catalina.core.StandardHost;1;1;1;0;3;0;74;4;13;0.9225251;0;3;271;41;LcRbFe
tomcat;org.apache.catalina.core.ApplicationHttpRequest;1;1;1;0;3;0;110;4;8;0.8950715;0;3;389;37;LcRbFe
weka;weka.classifiers.trees.BFTree;1;1;1;0;4;0;312;5;19;0.9285265;0;3;1288;55;LcRbFe
weka;weka.clusterers.sIB;1;1;1;0;5;0;144;4;15;0.90476185;0;3;637;48;LcRbFe
weka;weka.clusterers.XMeans;1;1;1;0;2;0;239;4;18;0.97264284;0;3;977;89;LcRbFe
weka;weka.classifiers.meta.RacedIncrementalLogitBoost;1;1;1;0;4;0;84;6;20;0.9337663;0;4;621;35;LcRbFe
weka;weka.classifiers.functions.LibSVM;1;1;1;0;4;0;130;4;16;0.9661083;0;3;571;66;LcRbFe
weka;weka.classifiers.meta.GridSearch;1;1;1;0;4;0;186;6;30;0.9753694;0;8;1238;87;LcRbFe
weka;weka.classifiers.meta.RotationForest;1;1;1;0;4;0;110;5;24;0.9232457;0;5;485;38;LcRbFe
