sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hadoop;org.apache.hadoop.mapred.CapacityTaskScheduler;1;1;1;1;1;1;77;4;26;0.89446366;0;4;615;34;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.oasis.JROpenDocumentExporter;1;1;1;1;1;3;119;5;44;0.9191176;2;2;511;34;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRXlsExporter;1;1;1;1;6;4;225;5;63;0.9114834;0;4;994;38;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRXlsxExporter;1;1;1;1;3;1;97;5;59;0.9259259;0;4;537;32;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JExcelApiExporter;1;1;1;1;10;2;244;5;69;0.9361703;0;4;1147;47;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRRtfExporter;1;1;1;1;9;6;193;6;40;0.92142856;0;3;976;35;LcRbLmFe
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstab;1;1;1;1;8;1;226;5;45;0.95592785;0;3;868;97;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRDocxExporter;1;1;1;1;4;4;140;5;59;0.9310343;0;3;661;29;LcRbLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase;1;1;1;1;8;1;256;6;38;0.9839014;7;2;1004;112;LcRbLmFe
jmeter;org.apache.jmeter.protocol.http.proxy.gui.ProxyControlGui;1;1;1;1;3;1;65;3;22;0.90460527;0;2;507;32;LcRbLmFe
struts;org.apache.struts2.interceptor.ScopeInterceptor;1;1;1;1;1;2;61;5;11;0.86124414;0;2;222;19;LcRbLmFe
struts;org.apache.struts2.interceptor.FileUploadInterceptor;1;1;1;1;1;1;60;6;11;0.875;0;2;185;13;LcRbLmFe
tomcat;org.apache.catalina.core.StandardServer;1;1;1;1;2;1;76;3;12;0.8925781;0;2;305;32;LcRbLmFe
weka;weka.attributeSelection.ScatterSearchV1;1;1;1;1;7;1;131;8;13;0.9194443;0;2;580;45;LcRbLmFe
weka;weka.core.neighboursearch.CoverTree;1;1;1;1;8;1;186;7;25;0.9555556;0;2;866;54;LcRbLmFe
