sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck;0;1;1;0;3;0;27;2;7;0.87619054;0;5;93;15;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck;0;1;1;0;2;0;30;3;6;0.8240741;2;4;101;12;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.RegexpCheck;0;1;1;0;1;0;32;3;6;0.81818193;0;5;106;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck;0;1;1;0;1;0;12;1;3;0.72727275;5;6;46;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter;0;1;1;0;2;0;36;2;10;0.89444447;0;2;216;15;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck;0;1;1;0;1;0;16;1;6;0.77777785;0;5;52;9;RbFe
hadoop;org.apache.hadoop.mapred.JobQueuesManager;0;1;1;0;1;0;28;2;9;0.75;0;2;88;11;RbFe
hibernate;org.hibernate.hql.internal.ast.tree.SelectClause;0;1;1;0;1;0;80;6;19;0.88095236;0;6;275;21;RbFe
hibernate;org.hibernate.mapping.Table;0;1;1;0;2;0;178;4;16;0.94285697;1;1;579;77;RbFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.NamedNodeMap;0;1;1;0;1;0;32;3;14;0.7692308;0;2;103;13;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomText;0;1;1;0;2;0;18;2;6;0.9545455;1;3;53;11;RbFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Document;0;1;1;0;3;0;61;3;30;0.9333333;2;4;231;24;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomElement;0;1;1;0;2;0;58;3;13;0.88235295;1;3;202;34;RbFe
htmlunit;com.gargoylesoftware.htmlunit.util.FalsifyingWebConnection;0;1;1;0;2;0;6;0;9;0.0;0;2;31;6;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillComponentElement;0;1;1;0;1;0;40;1;24;0.7916666;0;2;116;24;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseMeterPlot;0;1;1;0;2;0;34;2;15;0.8764706;1;2;131;20;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRThreadSubreportRunner;0;1;1;0;4;0;28;3;9;0.40740743;0;2;101;9;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseLinePlot;0;1;1;0;1;0;52;1;12;0.9407664;1;2;218;41;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillGraphicElement;0;1;1;0;1;0;40;2;12;0.0;4;2;77;18;RbFe
jasperreports;net.sf.jasperreports.charts.fill.JRFillPieDataset;0;1;1;0;1;0;55;3;19;0.8695652;0;2;162;23;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseThermometerPlot;0;1;1;0;2;0;29;1;12;0.8444445;1;2;102;15;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseHighLowPlot;0;1;1;0;1;0;50;1;12;0.93589723;1;2;209;39;RbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseBand;0;1;1;0;1;0;19;2;8;0.85;0;2;69;12;RbFe
jasperreports;net.sf.jasperreports.engine.data.JRXmlDataSource;0;1;1;0;1;0;41;4;12;0.82539684;0;2;160;18;RbFe
jasperreports;net.sf.jasperreports.components.barcode4j.BarcodeEvaluator;0;1;1;0;1;0;19;1;20;0.88235295;0;2;66;17;RbFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxTableHelper;0;1;1;0;1;0;15;1;6;0.6296297;0;2;76;9;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseCandlestickPlot;0;1;1;0;1;0;45;1;12;0.9314286;1;2;190;35;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillStaticText;0;1;1;0;1;0;37;2;17;0.0;0;3;92;13;RbFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxCellHelper;0;1;1;0;4;0;31;2;11;0.8541667;0;2;100;12;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillLine;0;1;1;0;1;0;14;0;18;0.0;0;3;52;14;RbFe
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstabGroup;0;1;1;0;1;0;17;2;11;0.888889;2;2;83;13;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeriesPlot;0;1;1;0;1;0;50;1;12;0.9377289;1;2;209;39;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseScatterPlot;0;1;1;0;1;0;50;1;12;0.9377288;1;2;209;39;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBasePiePlot;0;1;1;0;1;0;19;1;9;0.8424242;1;2;90;15;RbFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignQuery;0;1;1;0;4;0;21;2;7;0.8645833;0;2;104;16;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseAreaPlot;0;1;1;0;1;0;40;1;12;0.9255952;1;2;174;32;RbFe
