sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.html.BaseFrame;0;1;0;1;0;1;35;2;15;0.9210526;2;5;140;19;RbLm
jasperreports;net.sf.jasperreports.charts.fill.JRFillHighLowDataset;0;1;0;1;0;1;26;2;18;0.89;0;2;164;20;RbLm
jhotdraw;org.jhotdraw.draw.tool.SelectionTool;0;1;0;1;0;1;61;6;17;0.83928573;1;4;197;24;RbLm
jfreechart;org.jfree.chart.renderer.category.GanttRenderer;0;1;0;1;0;2;61;3;17;0.75;0;5;262;16;RbLm
jfreechart;org.jfree.chart.renderer.category.StackedBarRenderer;0;1;0;1;0;1;46;3;18;0.6666667;1;4;169;9;RbLm
jfreechart;org.jfree.chart.annotations.CategoryPointerAnnotation;0;1;0;1;0;1;37;1;12;0.82298136;0;3;189;23;RbLm
jfreechart;org.jfree.data.statistics.DefaultMultiValueCategoryDataset;0;1;0;1;0;1;46;3;7;0.67105263;0;2;167;19;RbLm
jfreechart;org.jfree.chart.renderer.xy.XYAreaRenderer;0;1;0;1;0;1;62;4;19;0.8556149;1;5;281;17;RbLm
jfreechart;org.jfree.data.jdbc.JDBCXYDataset;0;1;0;1;0;1;73;6;8;0.81666666;0;4;234;20;RbLm
jfreechart;org.jfree.chart.renderer.xy.XYAreaRenderer2;0;1;0;1;0;1;34;3;19;0.6923077;1;3;178;13;RbLm
jfreechart;org.jfree.chart.annotations.XYDataImageAnnotation;0;1;0;1;0;1;30;1;12;0.65625;0;2;122;16;RbLm
jfreechart;org.jfree.chart.annotations.XYTitleAnnotation;0;1;0;1;0;1;39;2;23;0.6666667;0;2;170;15;RbLm
jfreechart;org.jfree.chart.annotations.XYPolygonAnnotation;0;1;0;1;0;1;31;2;11;0.53846157;0;2;126;13;RbLm
jmeter;org.apache.jmeter.protocol.http.control.AuthManager;0;1;0;1;0;1;46;4;9;0.9619047;0;2;170;21;RbLm
jmeter;org.apache.jmeter.protocol.http.sampler.SoapSampler;0;1;0;1;0;1;32;4;16;0.90303034;0;4;227;15;RbLm
jmeter;org.apache.jmeter.config.CSVDataSet;0;1;0;1;0;1;35;3;13;0.91269845;0;3;141;18;RbLm
jmeter;org.apache.jmeter.protocol.mail.sampler.MailReaderSampler;0;1;0;1;0;1;72;5;20;0.9411765;0;2;349;33;RbLm
jmeter;org.apache.jmeter.protocol.ftp.sampler.FTPSampler;0;1;0;1;0;1;43;7;11;0.9251337;0;2;219;17;RbLm
jmeter;org.apache.jmeter.protocol.java.sampler.JUnitSampler;0;1;0;1;0;2;85;4;17;0.9449191;0;3;417;39;RbLm
jmeter;org.apache.jmeter.protocol.java.control.gui.JUnitTestSamplerGui;0;1;0;1;0;1;46;3;16;0.788889;0;2;267;15;RbLm
jmeter;org.apache.jmeter.protocol.ldap.config.gui.LdapExtConfigGui;0;1;0;1;0;1;49;1;11;0.80947757;0;2;471;22;RbLm
jmeter;org.apache.jmeter.protocol.jms.sampler.JMSSampler;0;1;0;1;0;1;85;4;24;0.9468866;0;2;349;42;RbLm
lucene;org.apache.lucene.search.spans.NearSpansOrdered;0;1;0;1;0;1;67;5;11;0.79638004;0;2;220;17;RbLm
lucene;org.apache.lucene.codecs.lucene40.Lucene40DocValuesReader;0;1;0;1;0;2;68;3;21;0.74285716;0;2;505;20;RbLm
