sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSelectElement;0;1;1;1;3;1;55;2;15;0.8846154;0;8;196;26;RbLmFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.css.CSSStyleDeclaration;0;1;1;1;2;1;634;5;24;0.9938399;1;2;2045;487;RbLmFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Window;0;1;1;1;5;1;214;4;60;0.967864;0;2;844;115;RbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRTextExporter;0;1;1;1;1;3;87;6;10;0.81818193;0;2;371;11;RbLmFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignExpression;0;1;1;1;6;1;38;7;6;0.8125;0;2;163;16;RbLmFe
jmeter;org.apache.jmeter.protocol.http.control.CookieManager;0;1;1;1;2;1;76;4;17;0.92857134;0;2;307;30;RbLmFe
jmeter;org.apache.jmeter.protocol.java.config.gui.JavaConfigGui;0;1;1;1;1;1;21;6;15;0.7272727;0;2;110;11;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.AuthPanel;0;1;1;1;3;1;31;5;10;0.7727273;0;9;250;11;RbLmFe
jmeter;org.apache.jmeter.assertions.gui.HTMLAssertionGui;0;1;1;1;4;1;34;3;9;0.74404764;0;8;217;14;RbLmFe
jmeter;org.apache.jmeter.gui.action.RemoteStart;0;1;1;1;2;1;29;2;10;0.77777785;0;2;132;9;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.CookiePanel;0;1;1;1;3;1;37;5;13;0.83613443;0;2;198;14;RbLmFe
jmeter;org.apache.jmeter.protocol.ldap.config.gui.LdapConfigGui;0;1;1;1;2;1;33;2;10;0.7368421;0;2;292;18;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.HeaderPanel;0;1;1;1;3;1;31;5;9;0.76923084;0;3;208;11;RbLmFe
jmeter;org.apache.jmeter.gui.action.DragNDrop;0;1;1;1;1;1;19;3;10;0.75;0;2;58;4;RbLmFe
jmeter;org.apache.jmeter.protocol.jms.control.gui.JMSPublisherGui;0;1;1;1;1;1;20;2;11;0.69155836;0;2;193;11;RbLmFe
