sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.annotation.PackageAnnotationCheck;0;0;0;0;0;0;6;1;7;0.0;0;4;18;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.grammars.CommentListener;0;0;0;0;0;0;2;0;0;0.0;0;1;4;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.CatchHandler;0;0;0;0;0;0;4;0;5;0.0;0;3;16;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.ParseTreeInfoPanel$Anonymous1;0;0;0;0;0;0;1;0;0;0.0;0;1;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.HiddenStaticMethodCheck;0;0;0;0;0;0;15;8;8;0.0;0;5;44;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.ReferenceDAO;0;0;0;0;0;0;17;3;8;0.0;0;1;62;5;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.ArrayDef;0;0;0;0;0;0;27;1;10;0.9347826;0;1;86;23;WBS
checkstyle;com.puppycrawl.tools.checkstyle.filters.SeverityMatchFilter;0;0;0;0;0;0;4;1;4;0.33333334;0;2;17;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.ReferenceTool;0;0;0;0;0;0;6;1;2;0.75;2;1;20;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.api.AutomaticBean$RelaxedStringArrayConverter;0;0;0;0;0;0;3;1;2;0.0;0;1;14;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.FieldReference;0;0;0;0;0;0;1;0;3;0.0;4;2;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.PropertiesExpander;0;0;0;0;0;0;3;1;1;0.0;0;1;12;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck;0;0;0;0;0;0;20;3;6;0.0;0;4;52;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MultipleStringLiteralsCheck$StringInfo;0;0;0;0;0;0;3;0;0;0.33333334;0;1;14;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.CheckStyleTask$FormatterType;0;0;0;0;0;0;1;0;1;0.0;0;2;6;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.duplicates.StrictDuplicateCodeCheck$TextfileChecksumGenerator;0;0;0;0;0;0;9;3;4;0.0;0;1;36;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.EmptyDeepVisitor;0;0;0;0;0;0;8;0;5;0.75;3;1;24;8;WBS
checkstyle;com.puppycrawl.tools.checkstyle.api.LineColumn;0;0;0;0;0;0;5;0;1;0.5;0;1;17;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.NoFinalizerCheck;0;0;0;0;0;0;1;0;1;0.0;0;5;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.api.FileContents;0;0;0;0;0;0;31;3;6;0.8650794;0;1;112;18;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.InterfaceConstructor;0;0;0;0;0;0;12;1;7;0.72727275;0;2;41;11;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenTextCheck;0;0;0;0;0;0;13;2;6;0.75;0;5;42;8;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.DeclarationCollector$ClassFrame;0;0;0;0;0;0;5;0;1;0.3;0;2;21;5;WBS
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionFilter;0;0;0;0;0;0;6;1;6;0.0;0;2;22;5;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.ParseTreeInfoPanel$JavaFileFilter;0;0;0;0;0;0;3;1;0;0.0;0;2;11;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnusedMethodCheck;0;0;0;0;0;0;7;4;9;0.0;0;5;27;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.ExternalMethod;0;0;0;0;0;0;15;1;8;0.7083334;0;2;58;12;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.CodeSelector;0;0;0;0;0;0;4;1;2;0.11111111;0;1;27;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter;0;0;0;0;0;0;10;0;2;0.6666667;0;2;66;10;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadFieldCheck;0;0;0;0;0;0;7;4;8;0.0;0;5;23;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.DeclarationCollector$MethodFrame;0;0;0;0;0;0;0;0;1;0.0;0;2;2;0;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.PrimitiveClasses;0;0;0;0;0;0;16;1;2;0.5555556;0;1;59;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.api.TextBlock;0;0;0;0;0;0;6;0;0;0.0;0;1;8;6;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter$Anonymous2;0;0;0;0;0;0;4;0;1;0.0;0;1;14;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter$Anonymous3;0;0;0;0;0;0;1;0;0;0.0;0;1;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.checks.usage.transmogrify.ClassImportException;0;0;0;0;0;0;1;0;1;0.0;0;4;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter$Anonymous1;0;0;0;0;0;0;2;0;0;0.0;0;1;8;2;WBS
