sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.regexp.RegexpSinglelineJavaCheck;0;0;1;0;2;0;10;1;6;0.5925926;0;4;39;9;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.sizes.MethodCountCheck;0;0;1;0;4;0;21;1;8;0.83116883;0;4;83;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.UncommentedMainCheck;0;0;1;0;3;0;32;2;7;0.8;0;4;100;14;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.JUnitTestCaseCheck;0;0;1;0;3;0;31;1;7;0.87878793;0;4;89;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.MethodDefHandler;0;0;1;0;4;0;17;1;6;0.0;0;3;51;7;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.RedundantThrowsCheck;0;0;1;0;2;0;18;3;8;0.6666667;0;5;60;6;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck;0;0;1;0;3;0;50;3;7;0.8666666;0;4;147;15;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck;0;0;1;0;3;0;42;3;7;0.825;0;4;117;10;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.UnusedImportsCheck;0;0;1;0;4;0;30;4;11;0.7272727;0;4;86;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.BooleanExpressionComplexityCheck;0;0;1;0;4;0;23;1;7;0.72727275;0;4;88;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.ClassDefHandler;0;0;1;0;4;0;14;1;7;0.0;0;3;40;7;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck;0;0;1;0;2;0;26;2;5;0.75;0;4;53;8;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck;0;0;1;0;3;0;54;2;5;0.6363636;0;4;102;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenCheck;0;0;1;0;2;0;5;2;5;0.0;0;4;23;3;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck;0;0;1;0;2;0;51;3;7;0.85714287;0;5;118;7;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck;0;0;1;0;3;0;15;1;5;0.38888893;0;4;53;6;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck;0;0;1;0;6;0;134;5;19;0.9454887;0;5;429;28;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.AbstractClassCouplingCheck;0;0;1;0;3;0;23;1;7;0.8181818;2;4;146;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.WriteTagCheck;0;0;1;0;4;0;17;3;10;0.75;0;4;75;8;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck;0;0;1;0;5;0;29;1;4;0.8888889;0;5;64;9;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck;0;0;1;0;2;0;25;3;6;0.90909094;0;5;88;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck;0;0;1;0;2;0;20;4;6;0.6;0;5;66;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.AbstractTypeAwareCheck;0;0;1;0;3;0;50;3;13;0.8636364;2;6;240;22;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.DeclarationCollector;0;0;1;0;2;0;24;3;7;0.0;1;8;145;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck;0;0;1;0;3;0;58;4;9;0.8470588;0;4;172;17;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.regexp.SinglelineDetector;0;0;1;0;2;0;13;2;4;0.3;0;1;52;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.AbstractComplexityCheck;0;0;1;0;5;0;25;1;6;0.8125;2;4;74;16;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck;0;0;1;0;2;0;11;3;3;0.5;0;4;31;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.MemberDefHandler;0;0;1;0;2;0;9;1;5;0.0;0;2;28;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.HeaderCheck;0;0;1;0;2;0;10;3;4;0.625;0;5;32;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck;0;0;1;0;4;0;43;4;7;0.7846154;0;4;134;13;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTypeCheck;0;0;1;0;2;0;41;5;16;0.8461538;0;4;135;13;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.CheckUtils;0;0;1;0;2;0;47;3;3;0.85714287;0;1;144;14;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheck;0;0;1;0;3;0;16;1;6;0.75;0;5;76;10;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser;0;0;1;0;4;0;37;4;3;0.72727275;0;1;108;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.Main;0;0;1;0;4;0;31;3;12;0.7777778;0;1;148;9;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck;0;0;1;0;3;0;61;3;5;0.54545456;0;4;124;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck;0;0;1;0;2;0;25;2;10;0.6;0;5;91;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.EqualsHashCodeCheck;0;0;1;0;2;0;24;1;5;0.4;0;4;51;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.whitespace.OperatorWrapCheck;0;0;1;0;2;0;12;2;6;0.0;0;5;30;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.sizes.ExecutableStatementCountCheck;0;0;1;0;3;0;29;4;6;0.77272725;0;4;98;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.regexp.MultilineDetector;0;0;1;0;2;0;11;3;6;0.45000002;0;1;49;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.api.FileText;0;0;1;0;2;0;29;3;6;0.7619047;0;3;141;12;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.JavaNCSSCheck;0;0;1;0;5;0;40;2;6;0.8809524;0;4;112;12;AggFE
