sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hadoop;org.apache.hadoop.mapred.gridmix.Gridmix;0;0;0;1;0;2;52;4;29;0.8967391;0;3;378;23;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.regexp.HtmlUnitRegExpProxy;0;0;0;1;0;2;54;4;10;0.61538464;0;2;240;13;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine;0;0;0;1;0;3;70;5;31;0.93103445;2;1;395;29;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.XSLTProcessor;0;0;0;1;0;3;30;3;18;0.8533333;0;2;146;15;AggLM
jasperreports;net.sf.jasperreports.engine.JasperCompileManager;0;0;0;1;0;2;39;3;12;0.0;0;1;160;23;AggLM
jasperreports;net.sf.jasperreports.engine.export.JRCsvExporter;0;0;0;1;0;2;45;6;15;0.6111111;0;2;202;6;AggLM
jhotdraw;org.jhotdraw.gui.JDisclosureToolBar;0;0;0;1;0;2;13;1;4;0.6666667;0;5;103;7;AggLM
jhotdraw;net.n3.nanoxml.XMLWriter;0;0;0;1;0;2;42;5;2;0.375;0;1;155;8;AggLM
jhotdraw;org.jhotdraw.xml.JavaPrimitivesDOMFactory;0;0;0;1;0;2;87;2;14;0.0;1;1;314;9;AggLM
jfreechart;org.jfree.chart.plot.PiePlot3D;0;0;0;1;0;2;87;5;14;0.8055556;0;3;532;12;AggLM
jfreechart;org.jfree.chart.axis.ColorBar;0;0;0;1;0;2;40;2;11;0.79411757;0;1;194;17;AggLM
jfreechart;org.jfree.chart.ChartFactory;0;0;0;1;0;2;162;3;91;0.0;0;1;820;40;AggLM
jfreechart;org.jfree.chart.renderer.category.StatisticalBarRenderer;0;0;0;1;0;2;65;3;18;0.5151515;0;4;277;11;AggLM
jmeter;org.apache.jmeter.assertions.SMIMEAssertion;0;0;0;1;0;2;49;6;15;0.5714286;0;1;215;7;AggLM
lucene;org.apache.lucene.search.highlight.TokenSources;0;0;0;1;0;2;32;4;13;0.0;0;2;144;8;AggLM
lucene;org.apache.lucene.util.BytesRefHash;0;0;0;1;0;2;64;4;11;0.6990741;0;5;315;18;AggLM
lucene;org.apache.lucene.codecs.bloom.MurmurHash2;0;0;0;1;0;2;9;2;4;1.0;0;2;50;4;AggLM
lucene;org.apache.lucene.util.automaton.SpecialOperations;0;0;0;1;0;2;53;4;8;0.0;0;1;156;12;AggLM
struts;org.apache.struts2.jasper.compiler.TagFileProcessor;0;0;0;1;0;2;18;4;15;0.4;0;3;382;5;AggLM
tapestry;org.apache.tapestry5.internal.services.BindingSourceImpl;0;0;0;1;0;2;8;2;8;0.33333334;0;1;33;3;AggLM
tapestry;org.apache.tapestry5.internal.services.MarkupWriterImpl;0;0;0;1;0;2;43;2;9;0.625;0;1;140;24;AggLM
tomcat;org.apache.catalina.core.ApplicationFilterChain;0;0;0;1;0;2;60;5;9;0.74358976;0;1;256;12;AggLM
tomcat;org.apache.naming.resources.ResourceAttributes;0;0;0;1;0;14;165;6;2;0.8657143;2;1;553;35;AggLM
