sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.ConfigurationLoader;0;0;1;0;1;0;34;5;11;0.8999999;0;3;225;10;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck;0;0;1;0;1;0;24;2;6;0.88095236;11;3;79;14;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalCatchCheck;0;0;1;0;1;0;5;1;7;0.0;0;5;19;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.XMLLogger;0;0;1;0;1;0;31;3;4;0.76000005;0;2;123;10;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck;0;0;1;0;1;0;3;0;2;0.6666667;0;5;12;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheck;0;0;1;0;1;0;8;1;4;0.5555556;0;4;29;6;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.gui.FileDrop;0;0;1;0;1;0;16;2;3;0.8333333;0;1;130;6;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheck;0;0;1;0;1;0;6;1;5;0.0;0;5;21;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.StaticVariableNameCheck;0;0;1;0;1;0;5;0;4;0.0;0;7;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.BlockParentHandler;0;0;1;0;1;0;46;2;6;0.95238096;16;2;116;21;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck;0;0;1;0;1;0;11;4;5;0.5;0;4;33;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.WhileHandler;0;0;1;0;1;0;3;0;6;0.0;0;3;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.sizes.LineLengthCheck;0;0;1;0;1;0;9;2;6;0.73333335;0;4;32;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.whitespace.TypecastParenPadCheck;0;0;1;0;1;0;7;1;4;0.0;0;6;16;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.DefaultLogger;0;0;1;0;1;0;15;2;5;0.7111112;4;2;62;9;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MissingSwitchDefaultCheck;0;0;1;0;1;0;3;0;4;0.0;0;5;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck;0;0;1;0;1;0;12;2;6;0.33333334;0;4;64;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.AssignHandler;0;0;1;0;1;0;12;1;5;0.0;0;3;35;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.sizes.ParameterNumberCheck;0;0;1;0;1;0;4;1;3;0.6666667;0;4;18;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck;0;0;1;0;1;0;18;3;6;0.0;0;4;43;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.InterfaceIsTypeCheck;0;0;1;0;1;0;7;1;4;0.5;0;4;21;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.annotation.MissingDeprecatedCheck;0;0;1;0;1;0;16;6;9;0.71428573;0;4;66;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionsLoader;0;0;1;0;1;0;25;3;8;0.8;0;3;103;6;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.gui.Main;0;0;1;0;1;0;2;1;1;0.0;0;1;15;1;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.AvoidStarImportCheck;0;0;1;0;1;0;16;1;5;0.7142857;0;4;39;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck;0;0;1;0;1;0;16;5;6;0.0;0;5;54;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck;0;0;1;0;1;0;18;4;4;0.0;0;4;55;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck;0;0;1;0;1;0;6;1;3;0.0;0;4;15;2;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTag;0;0;1;0;1;0;14;0;2;0.71428573;0;1;51;14;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck;0;0;1;0;1;0;18;3;9;0.6;0;4;69;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck;0;0;1;0;1;0;15;1;5;0.0;0;4;40;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck;0;0;1;0;1;0;36;2;4;0.75;0;4;69;8;UniqueFE
