sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
commons-codec;org.apache.commons.codec.digest.HmacUtils;1;0;0;0;0;0;65;1;5;0.93103445;0;1;223;58;UniqueLC
commons-codec;org.apache.commons.codec.digest.DigestUtils;1;0;0;0;0;0;107;1;4;0.9514563;0;1;335;103;UniqueLC
commons-io;org.apache.commons.io.FileUtils;1;0;0;0;0;0;326;5;11;0.98787874;0;1;1041;121;UniqueLC
commons-io;org.apache.commons.io.monitor.FileAlterationObserver;1;0;0;0;0;0;58;3;4;0.8;0;1;193;23;UniqueLC
commons-io;org.apache.commons.io.FilenameUtils;1;0;0;0;0;0;232;5;4;0.92148155;0;1;644;45;UniqueLC
commons-io;org.apache.commons.io.IOUtils;1;0;0;0;0;0;251;2;7;0.98209375;0;1;788;132;UniqueLC
commons-lang;org.apache.commons.lang3.StringUtils;1;0;0;0;0;0;987;5;14;0.9471125;0;1;2809;235;UniqueLC
commons-lang;org.apache.commons.lang3.BooleanUtils;1;0;0;0;0;0;170;2;3;0.0;0;1;369;41;UniqueLC
commons-lang;org.apache.commons.lang3.builder.EqualsBuilder;1;0;0;0;0;0;168;4;16;0.80952376;0;1;474;42;UniqueLC
commons-lang;org.apache.commons.lang3.time.DateUtils;1;0;0;0;0;0;169;6;6;0.9805555;0;1;549;60;UniqueLC
commons-lang;org.apache.commons.lang3.Validate;1;0;0;0;0;0;113;2;4;0.97647077;0;1;287;51;UniqueLC
commons-lang;org.apache.commons.lang3.time.FastDateParser;1;0;0;0;0;0;84;2;10;0.90909094;0;10;549;22;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrSubstitutor;1;0;0;0;0;0;108;9;7;0.93884295;0;1;419;55;UniqueLC
commons-lang;org.apache.commons.lang3.Conversion;1;0;0;0;0;0;314;3;5;0.9523811;0;1;763;42;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrBuilder;1;0;0;0;0;0;414;4;9;0.8322148;0;4;1385;149;UniqueLC
commons-lang;org.apache.commons.lang3.builder.ToStringStyle;1;0;0;0;0;0;220;3;18;0.9649013;16;8;994;112;UniqueLC
commons-lang;org.apache.commons.lang3.ArrayUtils;1;0;0;0;0;0;1089;3;18;0.9810937;0;1;3302;320;UniqueLC
commons-lang;org.apache.commons.lang3.ClassUtils;1;0;0;0;0;0;169;3;6;0.9748428;0;1;613;53;UniqueLC
commons-lang;org.apache.commons.lang3.time.FastDatePrinter;1;0;0;0;0;0;113;4;21;0.91129035;0;1;770;31;UniqueLC
commons-lang;org.apache.commons.lang3.reflect.TypeUtils;1;0;0;0;0;0;252;4;13;1.0;0;1;881;57;UniqueLC
commons-lang;org.apache.commons.lang3.builder.ReflectionToStringBuilder;1;0;0;0;0;0;55;4;7;0.88387096;0;2;171;31;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrTokenizer;1;0;0;0;0;0;111;4;6;0.94034094;2;1;411;64;UniqueLC
commons-lang;org.apache.commons.lang3.ObjectUtils;1;0;0;0;0;0;89;4;8;0.93421054;0;1;291;38;UniqueLC
commons-lang;org.apache.commons.lang3.math.NumberUtils;1;0;0;0;0;0;278;4;10;0.9968578;0;1;754;67;UniqueLC
commons-logging;org.apache.commons.logging.impl.SimpleLog;1;0;0;0;0;0;79;3;3;0.90517235;0;1;289;29;UniqueLC
commons-logging;org.apache.commons.logging.impl.LogFactoryImpl;1;0;0;0;0;0;136;5;4;0.9289217;0;2;574;34;UniqueLC
commons-logging;org.apache.commons.logging.LogFactory;1;0;0;0;0;0;163;6;3;0.9454888;1;1;721;38;UniqueLC
hadoop;org.apache.hadoop.fs.s3.INode;1;0;0;0;0;0;19;2;3;0.59375;0;1;67;8;UniqueLC
hadoop;org.apache.hadoop.mapred.JobHistory;1;0;0;0;0;0;95;3;24;0.96703285;0;11;1292;39;UniqueLC
hadoop;org.apache.hadoop.hdfs.protocol.DatanodeInfo;1;0;0;0;0;0;59;1;5;0.80256414;1;2;252;39;UniqueLC
hadoop;org.apache.hadoop.hdfs.DFSClient;1;0;0;0;0;0;183;6;54;0.9446673;0;6;2478;86;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.datanode.FSDataset;1;0;0;0;0;0;213;4;28;0.9183674;0;1;1468;63;UniqueLC
hadoop;org.apache.hadoop.vaidya.statistics.job.JobStatistics;1;0;0;0;0;0;134;4;18;0.83750004;0;1;554;20;UniqueLC
hadoop;org.apache.hadoop.http.HttpServer;1;0;0;0;0;0;78;8;34;0.8841912;1;2;449;34;UniqueLC
hadoop;org.apache.hadoop.mapred.JobLocalizer;1;0;0;0;0;0;51;2;20;0.7870371;0;1;276;18;UniqueLC
hadoop;org.apache.hadoop.mapred.PoolManager;1;0;0;0;0;0;83;4;15;0.904348;0;1;348;23;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.JobBuilder;1;0;0;0;0;0;119;7;36;0.9112554;0;1;456;33;UniqueLC
hadoop;org.apache.hadoop.mapred.JobConf;1;0;0;0;0;0;160;4;28;0.989303;0;2;539;126;UniqueLC
hadoop;org.apache.hadoop.mapreduce.Job;1;0;0;0;0;0;54;2;16;0.8412698;0;2;228;42;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.datanode.DataNode;1;0;0;0;0;0;287;6;68;0.94593424;0;2;1254;79;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskInProgress;1;0;0;0;0;0;214;5;23;0.94574314;4;1;687;77;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskRunner;1;0;0;0;0;0;82;6;19;0.91794866;2;2;423;30;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskTracker;1;0;0;0;0;0;407;9;82;0.9754839;8;4;2848;156;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods;1;0;0;0;0;0;35;3;61;0.8645833;0;1;324;16;UniqueLC
hadoop;org.apache.hadoop.mapred.FileInputFormat;1;0;0;0;0;0;68;5;21;0.9263158;2;1;347;19;UniqueLC
hadoop;org.apache.hadoop.fs.FsShell;1;0;0;0;0;0;362;4;24;0.92200005;0;3;1339;50;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSEditLog;1;0;0;0;0;0;190;5;36;0.94628537;0;7;996;50;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSDirectory;1;0;0;0;0;0;204;4;32;0.8145161;0;1;804;62;UniqueLC
hadoop;org.apache.hadoop.fs.HarFileSystem;1;0;0;0;0;0;90;3;16;0.8846154;0;8;579;39;UniqueLC
hadoop;org.apache.hadoop.streaming.PipeMapRed;1;0;0;0;0;0;89;4;20;0.96428573;2;3;525;32;UniqueLC
hadoop;org.apache.hadoop.streaming.StreamJob;1;0;0;0;0;0;142;4;32;0.96141243;0;1;693;29;UniqueLC
hadoop;org.apache.hadoop.mapred.CapacitySchedulerQueue;1;0;0;0;0;0;116;3;10;0.8677152;0;1;625;47;UniqueLC
hadoop;org.apache.hadoop.ipc.Server;1;0;0;0;0;0;57;3;20;0.9166667;6;4;1198;28;UniqueLC
hadoop;org.apache.hadoop.ipc.Client;1;0;0;0;0;0;43;3;12;0.89743584;0;3;823;21;UniqueLC
hadoop;org.apache.hadoop.io.compress.bzip2.CBZip2OutputStream;1;0;0;0;0;0;320;20;9;0.8999998;0;2;1366;41;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.ReplicationTargetChooser;1;0;0;0;0;0;77;4;9;0.7555556;0;3;265;15;UniqueLC
hadoop;org.apache.hadoop.io.SequenceFile;1;0;0;0;0;0;49;1;19;0.9407407;0;3;1810;15;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.dfsnodelist_jsp;1;0;0;0;0;0;54;4;17;0.7160493;0;2;217;9;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.HadoopLogsAnalyzer;1;0;0;0;0;0;281;6;36;0.9308271;0;2;1190;35;UniqueLC
hadoop;org.apache.hadoop.io.compress.bzip2.CBZip2InputStream;1;0;0;0;0;0;178;6;10;0.8865305;0;2;822;35;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSNamesystem;1;0;0;0;0;0;887;8;103;0.974009;0;1;3451;248;UniqueLC
hadoop;org.apache.hadoop.filecache.TrackerDistributedCacheManager;1;0;0;0;0;0;98;5;22;0.9428571;4;2;613;35;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.ZombieJob;1;0;0;0;0;0;146;5;32;0.91558427;0;5;596;44;UniqueLC
hadoop;org.apache.hadoop.mapred.Task;1;0;0;0;0;0;126;4;55;0.92682916;2;5;921;67;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.DatanodeDescriptor;1;0;0;0;0;0;69;4;16;0.9326923;0;3;308;32;UniqueLC
hadoop;org.apache.hadoop.conf.Configuration;1;0;0;0;0;0;185;5;17;0.94084823;0;1;732;64;UniqueLC
hadoop;org.apache.hadoop.mapred.JobTracker;1;0;0;0;0;0;579;5;105;0.9806223;2;4;3274;197;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.balancer.Balancer;1;0;0;0;0;0;125;4;31;0.9162898;0;2;961;34;UniqueLC
hadoop;org.apache.hadoop.security.UserGroupInformation;1;0;0;0;0;0;134;4;17;0.9015959;0;3;703;47;UniqueLC
hadoop;org.apache.hadoop.mapred.JobInProgress;1;0;0;0;0;0;522;6;54;0.95895916;12;4;2117;131;UniqueLC
hadoop;org.apache.hadoop.mapred.JobClient;1;0;0;0;0;0;262;6;53;0.9464286;0;3;1302;70;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSImage;1;0;0;0;0;0;290;5;38;0.94736856;2;3;1097;76;UniqueLC
hibernate;org.hibernate.cfg.AnnotationBinder;1;0;0;0;0;0;471;8;166;0.8272727;0;1;1841;55;UniqueLC
hibernate;org.hibernate.persister.entity.AbstractEntityPersister;1;0;0;0;0;0;805;5;105;0.9873407;3;1;3160;340;UniqueLC
hibernate;org.hibernate.ejb.criteria.CriteriaBuilderImpl;1;0;0;0;0;0;206;3;77;0.9872612;0;1;593;157;UniqueLC
hibernate;org.hibernate.cfg.HbmBinder;1;0;0;0;0;0;526;4;73;0.8202247;0;8;2053;89;UniqueLC
hibernate;org.hibernate.engine.internal.StatefulPersistenceContext;1;0;0;0;0;0;267;5;33;0.942227;0;1;1104;102;UniqueLC
hibernate;org.hibernate.internal.util.collections.ConcurrentReferenceHashMap;1;0;0;0;0;0;100;5;10;0.92578125;0;20;933;32;UniqueLC
hibernate;org.hibernate.persister.collection.AbstractCollectionPersister;1;0;0;0;0;0;282;7;64;0.9774277;2;1;1271;131;UniqueLC
hibernate;org.hibernate.dialect.Dialect;1;0;0;0;0;0;201;1;41;0.9904761;31;1;811;161;UniqueLC
hibernate;org.hibernate.cfg.annotations.CollectionBinder;1;0;0;0;0;0;247;4;88;0.93650806;4;1;897;60;UniqueLC
hibernate;org.hibernate.cfg.annotations.reflection.JPAOverriddenAnnotationReader;1;0;0;0;0;0;486;4;92;0.9037594;0;1;2029;95;UniqueLC
hibernate;org.hibernate.ejb.AbstractEntityManagerImpl;1;0;0;0;0;0;226;5;83;0.9337838;1;3;1068;74;UniqueLC
hibernate;org.hibernate.hql.internal.ast.HqlSqlWalker;1;0;0;0;0;0;165;4;78;0.94805187;0;2;737;77;UniqueLC
hibernate;org.hibernate.loader.JoinWalker;1;0;0;0;0;0;144;6;29;0.93793094;2;1;501;58;UniqueLC
hibernate;org.hibernate.internal.util.collections.BoundedConcurrentHashMap;1;0;0;0;0;0;86;4;10;0.92857146;0;16;1260;28;UniqueLC
hibernate;org.hibernate.loader.Loader;1;0;0;0;0;0;283;5;49;0.86734694;2;1;1037;98;UniqueLC
hibernate;org.hibernate.metamodel.source.binder.Binder;1;0;0;0;0;0;135;3;93;0.8875;0;1;658;48;UniqueLC
hibernate;org.hibernate.internal.SessionImpl;1;0;0;0;0;0;318;4;121;0.9634838;0;5;1805;193;UniqueLC
hibernate;org.hibernate.collection.internal.AbstractPersistentCollection;1;0;0;0;0;0;124;4;28;0.92888874;8;1;701;60;UniqueLC
hibernate;org.hibernate.internal.SessionFactoryImpl;1;0;0;0;0;0;232;5;106;0.9495772;0;1;1090;92;UniqueLC
jasperreports;net.sf.jasperreports.engine.base.JRBaseImage;1;0;0;0;0;0;129;2;22;0.96748924;0;3;479;111;UniqueLC
jasperreports;net.sf.jasperreports.engine.JRPropertiesMap;1;0;0;0;0;0;50;4;4;0.7727273;0;1;162;22;UniqueLC
jasperreports;net.sf.jasperreports.engine.design.JRDesignChart;1;0;0;0;0;0;195;2;47;0.97942764;0;3;753;148;UniqueLC
jasperreports;net.sf.jasperreports.crosstabs.base.JRBaseCrosstab;1;0;0;0;0;0;68;5;20;0.9404763;0;2;236;36;UniqueLC
jasperreports;net.sf.jasperreports.engine.base.JRBaseChart;1;0;0;0;0;0;165;2;46;0.97395813;0;2;644;120;UniqueLC
jfreechart;org.jfree.chart.renderer.AbstractRenderer;1;0;0;0;0;0;396;2;13;0.97696346;4;1;1394;191;UniqueLC
jfreechart;org.jfree.chart.title.PaintScaleLegend;1;0;0;0;0;0;78;3;19;0.8150471;0;3;326;29;UniqueLC
jfreechart;org.jfree.chart.title.TextTitle;1;0;0;0;0;0;112;2;21;0.83547014;2;3;415;36;UniqueLC
jfreechart;org.jfree.chart.plot.CompassPlot;1;0;0;0;0;0;95;2;19;0.90588236;0;2;392;34;UniqueLC
jfreechart;org.jfree.chart.title.LegendGraphic;1;0;0;0;0;0;77;3;10;0.8578948;0;2;291;38;UniqueLC
jfreechart;org.jfree.chart.plot.FastScatterPlot;1;0;0;0;0;0;108;3;19;0.8979592;0;2;424;49;UniqueLC
jfreechart;org.jfree.chart.plot.Marker;1;0;0;0;0;0;65;2;7;0.86326534;3;1;235;35;UniqueLC
jfreechart;org.jfree.chart.axis.SegmentedTimeline;1;0;0;0;0;0;91;4;5;0.94179887;0;4;567;45;UniqueLC
jmeter;org.apache.jorphan.collections.HashTree;1;0;0;0;0;0;99;2;4;0.8606965;2;1;398;67;UniqueLC
jmeter;org.apache.jmeter.visualizers.Spline3;1;0;0;0;0;0;58;3;4;0.8020833;0;1;230;16;UniqueLC
lucene;org.apache.lucene.analysis.charfilter.HTMLStripCharFilter;1;0;0;0;0;0;241;5;8;0.9098766;0;4;1115;27;UniqueLC
lucene;org.apache.lucene.codecs.lucene41.Lucene41PostingsReader;1;0;0;0;0;0;52;4;21;0.7222222;0;7;983;9;UniqueLC
lucene;org.apache.lucene.index.IndexWriter;1;0;0;0;0;0;530;7;55;0.93559325;18;1;2285;118;UniqueLC
lucene;org.apache.lucene.analysis.standard.std36.UAX29URLEmailTokenizerImpl36;1;0;0;0;0;0;78;6;5;0.8861285;0;1;349;23;UniqueLC
lucene;org.apache.lucene.analysis.standard.UAX29URLEmailTokenizerImpl;1;0;0;0;0;0;78;6;5;0.8861285;0;1;349;23;UniqueLC
lucene;org.apache.lucene.index.IndexReader;1;0;0;0;0;0;50;3;17;0.9085714;2;1;153;35;UniqueLC
lucene;org.apache.lucene.analysis.compound.hyphenation.PatternParser;1;0;0;0;0;0;64;4;9;0.83957213;0;2;266;17;UniqueLC
