sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
hadoop;org.apache.hadoop.mapred.taskstatshistory_jsp;0;0;0;1;0;1;13;4;20;0.8333333;0;2;99;2;UniqueLM
hadoop;org.apache.hadoop.eclipse.servers.RunOnHadoopWizard;0;0;0;1;0;1;15;2;15;0.6666667;0;3;178;6;UniqueLM
hadoop;org.apache.hadoop.contrib.utils.join.DataJoinJob;0;0;0;1;0;1;17;3;13;0.0;0;1;111;4;UniqueLM
hadoop;org.apache.hadoop.mapred.taskstats_jsp;0;0;0;1;0;1;15;4;20;0.75;0;2;100;2;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.InputStriper;0;0;0;1;0;1;16;4;11;0.5714286;0;1;73;3;UniqueLM
hadoop;org.apache.hadoop.mapred.CapacitySchedulerServlet;0;0;0;1;0;1;7;2;8;0.6666667;0;2;60;4;UniqueLM
hadoop;org.apache.hadoop.hdfs.server.namenode.corrupt_005ffiles_jsp;0;0;0;1;0;1;10;3;14;0.75;0;2;75;2;UniqueLM
hadoop;org.apache.hadoop.mapred.gethistory_jsp;0;0;0;1;0;1;13;3;15;0.5;0;2;66;2;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.StressJobFactory;0;0;0;1;0;1;19;2;13;0.79365075;0;3;178;7;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.SleepJob;0;0;0;1;0;1;17;3;20;0.70000005;0;6;255;5;UniqueLM
hadoop;org.apache.hadoop.hdfs.server.namenode.dfshealth_jsp;0;0;0;1;0;1;37;3;20;0.74999994;0;2;180;9;UniqueLM
hadoop;org.apache.hadoop.contrib.index.mapred.IndexUpdateMapper;0;0;0;1;0;1;16;7;17;0.4888889;0;2;102;5;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.LoadSplit;0;0;0;1;0;1;26;1;4;0.70329666;0;3;136;13;UniqueLM
hadoop;org.apache.hadoop.thriftfs.api.BlockLocation;0;0;0;1;0;1;51;5;7;0.45;0;1;193;8;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.LoadJob;0;0;0;1;0;1;11;3;22;0.75;0;11;402;4;UniqueLM
hadoop;org.apache.hadoop.mapred.jobconf_jsp;0;0;0;1;0;1;14;4;15;0.75;0;2;86;2;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.CompressionEmulationUtil;0;0;0;1;0;1;36;3;24;0.8680556;0;2;253;18;UniqueLM
hadoop;org.apache.hadoop.contrib.index.mapred.IndexUpdater;0;0;0;1;0;1;9;4;16;0.75;0;1;66;4;UniqueLM
hadoop;org.apache.hadoop.mapred.jobconf_005fhistory_jsp;0;0;0;1;0;1;13;4;17;0.75;0;2;85;2;UniqueLM
hadoop;org.apache.hadoop.mapred.jobblacklistedtrackers_jsp;0;0;0;1;0;1;14;3;16;0.6666667;0;2;89;3;UniqueLM
hadoop;org.apache.hadoop.mapred.tasktracker_jsp;0;0;0;1;0;1;11;3;14;0.75;0;2;83;2;UniqueLM
hadoop;org.apache.hadoop.eclipse.MapReduceNature;0;0;0;1;0;1;8;2;8;0.6666667;0;1;59;4;UniqueLM
hadoop;org.apache.hadoop.mapred.jobfailures_jsp;0;0;0;1;0;1;36;5;22;0.75;0;2;183;4;UniqueLM
hadoop;org.apache.hadoop.mapred.taskdetailshistory_jsp;0;0;0;1;0;1;19;3;23;0.6666667;0;2;126;3;UniqueLM
hadoop;org.apache.hadoop.hdfs.server.datanode.tail_jsp;0;0;0;1;0;1;20;3;20;0.5;0;2;114;3;UniqueLM
hadoop;org.apache.hadoop.mapred.jobtaskshistory_jsp;0;0;0;1;0;1;15;5;21;0.6666667;0;2;88;3;UniqueLM
hadoop;org.apache.hadoop.mapred.jobqueue_005fdetails_jsp;0;0;0;1;0;1;13;3;16;0.75;0;2;77;2;UniqueLM
hadoop;org.apache.hadoop.mapred.loadhistory_jsp;0;0;0;1;0;1;13;3;14;0.75;0;2;67;2;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlMeta;0;0;0;1;0;1;11;2;7;1.0;0;5;50;7;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.MockWebConnection;0;0;0;1;0;1;33;2;9;0.875;0;1;130;24;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.xpath.IsDescendantOfContextualFormFunction;0;0;0;1;0;1;7;3;8;1.0;0;2;32;1;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.SocksSocketFactory;0;0;0;1;0;1;14;2;5;0.5;0;1;51;4;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlScript;0;0;0;1;0;1;85;6;25;0.9404762;0;5;266;21;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlImageInput;0;0;0;1;0;1;12;2;10;0.75000006;0;6;47;6;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.CookieManager;0;0;0;1;0;1;24;2;8;0.70909095;0;1;87;11;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlImage;0;0;0;1;0;1;47;4;18;0.92735046;0;5;186;26;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.ActiveXObject;0;0;0;1;0;1;38;3;15;0.96428573;0;2;162;14;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.background.JavaScriptExecutor;0;0;0;1;0;1;34;4;7;0.7592592;1;1;116;9;UniqueLM
