sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.AbstractHeaderCheck;0;1;0;0;0;0;21;2;8;0.6666667;2;4;79;9;UniqueRB
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck;0;1;0;0;0;0;43;3;7;0.7916666;0;5;157;12;UniqueRB
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractTypeParameterNameCheck;0;1;0;0;0;0;9;1;4;0.6;2;6;21;5;UniqueRB
commons-codec;org.apache.commons.codec.net.BCodec;0;1;0;0;0;0;26;1;8;0.71428573;0;2;89;14;UniqueRB
commons-codec;org.apache.commons.codec.net.QCodec;0;1;0;0;0;0;40;3;8;0.85;0;2;169;16;UniqueRB
commons-io;org.apache.commons.io.filefilter.AndFileFilter;0;1;0;0;0;0;23;3;4;0.5;0;2;74;10;UniqueRB
commons-io;org.apache.commons.io.filefilter.OrFileFilter;0;1;0;0;0;0;21;3;4;0.5;0;2;68;10;UniqueRB
commons-io;org.apache.commons.io.input.BOMInputStream;0;1;0;0;0;0;44;4;5;0.8169935;0;4;143;17;UniqueRB
commons-lang;org.apache.commons.lang3.text.translate.UnicodeEscaper;0;1;0;0;0;0;14;2;3;0.625;1;3;51;8;UniqueRB
hadoop;org.apache.hadoop.mapred.LimitTasksPerJobTaskScheduler;0;1;0;0;0;0;25;4;13;0.6666667;2;3;91;5;UniqueRB
hadoop;org.apache.hadoop.io.compress.GzipCodec;0;1;0;0;0;0;16;1;15;0.0;0;7;120;9;UniqueRB
hadoop;org.apache.hadoop.mapreduce.lib.input.DelegatingMapper;0;1;0;0;0;0;2;0;11;0.0;0;2;12;2;UniqueRB
hadoop;org.apache.hadoop.hdfs.HDFSPolicyProvider;0;1;0;0;0;0;1;0;9;0.0;0;2;6;1;UniqueRB
hadoop;org.apache.hadoop.mapreduce.lib.input.SequenceFileAsTextRecordReader;0;1;0;0;0;0;10;1;9;0.5714286;0;2;37;7;UniqueRB
hadoop;org.apache.hadoop.hdfs.server.namenode.INodeDirectoryWithQuota;0;1;0;0;0;0;18;2;6;0.45833334;0;3;67;12;UniqueRB
hadoop;org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier;0;1;0;0;0;0;9;1;4;0.5;0;3;33;7;UniqueRB
hadoop;org.apache.hadoop.io.Text;0;1;0;0;0;0;95;5;9;0.87700534;0;3;326;34;UniqueRB
