firstAgg,secondAgg,cdCBO,mannCBO,cdDIT,mannDIT,cdmaxNest,mannmaxNest,cdRFC,mannRFC,cdWMC,mannWMC
FeLm,FeLm,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcFe,LcFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcLm,LcLm,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcLmFe,LcLmFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcRb,LcRb,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcRbFe,LcRbFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcRbLm,LcRbLm,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
LcRbLmFe,LcRbLmFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
RbFe,RbFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
RbLm,RbLm,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
RbLmFe,RbLmFe,-100,invalid,-100,invalid,-100,invalid,-100,invalid,-100,invalid
FeLm,LcFe,-0.28720076987850357,SUCCESS,0.15323389069329163,SUCCESS,-0.07983479690444685,FAILED,-0.39718914150527285,SUCCESS,-0.610449496772124,SUCCESS
FeLm,LcLm,-0.19639265962795374,FAILED,0.13926596279537456,FAILED,-0.12091503267973856,FAILED,-0.13329562594268476,FAILED,-0.39133986928104575,SUCCESS
FeLm,LcLmFe,-0.40390688110450174,SUCCESS,0.012410956892120144,FAILED,-0.37258573841521625,SUCCESS,-0.6592861863846662,SUCCESS,-0.7685613571271205,SUCCESS
FeLm,LcRb,-0.2019607843137255,FAILED,-0.39705882352941174,SUCCESS,0.19264705882352942,FAILED,-0.2272875816993464,FAILED,-0.45784313725490194,SUCCESS
FeLm,LcRbFe,-0.5506008855154966,SUCCESS,-0.3460889732236981,SUCCESS,-0.1841661395741092,FAILED,-0.6843769765970904,SUCCESS,-0.8514653173097196,SUCCESS
FeLm,LcRbLm,-0.2651143790849673,FAILED,-0.34395424836601307,FAILED,-0.4579248366013072,FAILED,-0.4199346405228758,FAILED,-0.6650326797385621,FAILED
FeLm,LcRbLmFe,-0.7289760348583878,SUCCESS,-0.35381263616557734,FAILED,-0.5043572984749455,SUCCESS,-0.789760348583878,SUCCESS,-0.7457516339869281,SUCCESS
FeLm,RbFe,0.06407151095732411,FAILED,-0.3293156478277586,SUCCESS,0.3854094579008074,SUCCESS,0.24405997693194925,SUCCESS,0.17793156478277586,SUCCESS
FeLm,RbLm,-0.1383121876201461,FAILED,-0.3695213379469435,SUCCESS,0.08169934640522876,FAILED,0.27484621299500195,SUCCESS,0.19290657439446368,FAILED
FeLm,RbLmFe,-0.19866557734204793,FAILED,-0.3942674291938998,SUCCESS,-0.18927015250544663,FAILED,-0.20036764705882354,FAILED,-0.2562636165577342,SUCCESS
LcFe,FeLm,0.28720076987850357,SUCCESS,-0.15323389069329163,SUCCESS,0.07983479690444685,FAILED,0.39718914150527285,SUCCESS,0.610449496772124,SUCCESS
LcFe,LcLm,0.134261444077395,FAILED,-0.03161868806040585,FAILED,-0.03114676734308636,FAILED,0.27701746106654085,SUCCESS,0.2938886267107126,SUCCESS
LcFe,LcLmFe,-0.08802646998000965,FAILED,-0.14537809333425242,FAILED,-0.27855518025780657,SUCCESS,-0.2041083614806645,FAILED,-0.16178396636106707,FAILED
LcFe,LcRb,0.0696319018404908,FAILED,-0.49846625766871167,SUCCESS,0.2665644171779141,FAILED,0.18404907975460122,FAILED,0.26226993865030673,FAILED
LcFe,LcRbFe,-0.16801899861468433,FAILED,-0.4783297051256679,SUCCESS,-0.08925390856916683,FAILED,-0.1842469819908965,FAILED,-0.21492182861666337,FAILED
LcFe,LcRbLm,0.1058282208588957,FAILED,-0.48466257668711654,FAILED,-0.3427914110429448,FAILED,0.09969325153374232,FAILED,0.19171779141104295,FAILED
LcFe,LcRbLmFe,-0.43803680981595094,FAILED,-0.481799591002045,SUCCESS,-0.39918200408997956,FAILED,-0.3971370143149284,FAILED,-0.08793456032719836,FAILED
LcFe,RbFe,0.3481775532298809,SUCCESS,-0.47914110429447854,SUCCESS,0.4451822446770119,SUCCESS,0.5634067123782028,SUCCESS,0.7085528690003609,SUCCESS
LcFe,RbLm,0.20434861060988813,FAILED,-0.5017141826055576,SUCCESS,0.1581559003969686,FAILED,0.5826416456153013,SUCCESS,0.7549621075424034,SUCCESS
LcFe,RbLmFe,0.1573364008179959,FAILED,-0.5287576687116564,SUCCESS,-0.10455010224948875,FAILED,0.2618865030674847,SUCCESS,0.3882924335378323,SUCCESS
LcLm,FeLm,0.19639265962795374,FAILED,-0.13926596279537456,FAILED,0.12091503267973856,FAILED,0.13329562594268476,FAILED,0.39133986928104575,SUCCESS
LcLm,LcFe,-0.134261444077395,FAILED,0.03161868806040585,FAILED,0.03114676734308636,FAILED,-0.27701746106654085,SUCCESS,-0.2938886267107126,SUCCESS
LcLm,LcLmFe,-0.25280898876404495,FAILED,-0.1313742437337943,FAILED,-0.2407087294727744,FAILED,-0.524200518582541,SUCCESS,-0.5056179775280899,SUCCESS
LcLm,LcRb,-0.038461538461538464,FAILED,-0.5913461538461539,SUCCESS,0.3076923076923077,FAILED,-0.10288461538461538,FAILED,-0.047115384615384615,FAILED
LcLm,LcRbFe,-0.38213399503722084,SUCCESS,-0.5359801488833746,SUCCESS,-0.03163771712158809,FAILED,-0.542803970223325,SUCCESS,-0.6023573200992556,SUCCESS
LcLm,LcRbLm,-0.05048076923076923,FAILED,-0.5384615384615384,FAILED,-0.30288461538461536,FAILED,-0.31971153846153844,FAILED,-0.18509615384615385,FAILED
LcLm,LcRbLmFe,-0.6064102564102564,SUCCESS,-0.5423076923076923,SUCCESS,-0.3935897435897436,FAILED,-0.658974358974359,SUCCESS,-0.42948717948717946,FAILED
LcLm,RbFe,0.27341628959276015,SUCCESS,-0.5037330316742081,SUCCESS,0.46968325791855203,SUCCESS,0.33608597285067876,SUCCESS,0.5156108597285067,SUCCESS
LcLm,RbLm,0.09473981900452488,FAILED,-0.5548642533936652,SUCCESS,0.20079185520361992,FAILED,0.36934389140271495,SUCCESS,0.5769230769230769,SUCCESS
LcLm,RbLmFe,0.024839743589743588,FAILED,-0.5452724358974359,SUCCESS,-0.08814102564102565,FAILED,-0.052884615384615384,FAILED,0.11137820512820513,FAILED
LcLmFe,FeLm,0.40390688110450174,SUCCESS,-0.012410956892120144,FAILED,0.37258573841521625,SUCCESS,0.6592861863846662,SUCCESS,0.7685613571271205,SUCCESS
LcLmFe,LcFe,0.08802646998000965,FAILED,0.14537809333425242,FAILED,0.27855518025780657,SUCCESS,0.2041083614806645,FAILED,0.16178396636106707,FAILED
LcLmFe,LcLm,0.25280898876404495,FAILED,0.1313742437337943,FAILED,0.2407087294727744,FAILED,0.524200518582541,SUCCESS,0.5056179775280899,SUCCESS
LcLmFe,LcRb,0.1752808988764045,FAILED,-0.41123595505617977,FAILED,0.5662921348314607,SUCCESS,0.4202247191011236,SUCCESS,0.46123595505617976,SUCCESS
LcLmFe,LcRbFe,-0.06342877854295034,FAILED,-0.36063791228706055,SUCCESS,0.2218194998187749,FAILED,0.04929322218194998,FAILED,-0.03515766582094962,FAILED
LcLmFe,LcRbLm,0.22893258426966293,FAILED,-0.3609550561797753,FAILED,-0.05196629213483146,FAILED,0.40308988764044945,FAILED,0.44662921348314605,FAILED
LcLmFe,LcRbLmFe,-0.37453183520599254,FAILED,-0.36629213483146067,FAILED,-0.15205992509363295,FAILED,-0.26741573033707866,FAILED,0.08913857677902622,FAILED
LcLmFe,RbFe,0.47290152015862524,SUCCESS,-0.348512888301388,SUCCESS,0.7184401850627892,SUCCESS,0.7713813615333774,SUCCESS,0.835822868473232,SUCCESS
LcLmFe,RbLm,0.3349306014540648,SUCCESS,-0.39094514210178455,SUCCESS,0.4641440846001322,SUCCESS,0.8037012557832122,SUCCESS,0.8826834104428288,SUCCESS
LcLmFe,RbLmFe,0.2806647940074906,SUCCESS,-0.4190074906367041,SUCCESS,0.12897940074906367,FAILED,0.5557116104868914,SUCCESS,0.5550093632958801,SUCCESS
LcRb,FeLm,0.2019607843137255,FAILED,0.39705882352941174,SUCCESS,-0.19264705882352942,FAILED,0.2272875816993464,FAILED,0.45784313725490194,SUCCESS
LcRb,LcFe,-0.0696319018404908,FAILED,0.49846625766871167,SUCCESS,-0.2665644171779141,FAILED,-0.18404907975460122,FAILED,-0.26226993865030673,FAILED
LcRb,LcLm,0.038461538461538464,FAILED,0.5913461538461539,SUCCESS,-0.3076923076923077,FAILED,0.10288461538461538,FAILED,0.047115384615384615,FAILED
LcRb,LcLmFe,-0.1752808988764045,FAILED,0.41123595505617977,FAILED,-0.5662921348314607,SUCCESS,-0.4202247191011236,SUCCESS,-0.46123595505617976,SUCCESS
LcRb,LcRbFe,-0.23709677419354838,FAILED,0.08870967741935484,FAILED,-0.3919354838709677,FAILED,-0.4096774193548387,FAILED,-0.55,SUCCESS
LcRb,LcRbLm,-0.00625,FAILED,0.05625,FAILED,-0.66875,FAILED,-0.0375,FAILED,-0.15,FAILED
LcRb,LcRbLmFe,-0.54,FAILED,0.06666666666666667,FAILED,-0.6866666666666666,SUCCESS,-0.59,SUCCESS,-0.44,FAILED
LcRb,RbFe,0.2585294117647059,FAILED,0.12764705882352942,FAILED,0.21205882352941177,FAILED,0.4373529411764706,SUCCESS,0.633235294117647,SUCCESS
LcRb,RbLm,0.1264705882352941,FAILED,0.03602941176470588,FAILED,-0.11691176470588235,FAILED,0.4625,SUCCESS,0.6897058823529412,SUCCESS
