sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsImportWizard;0;0;1;1;1;1;24;27;2;55;4;0.0;141;6;FeLm
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionWizard;0;0;1;1;1;1;50;48;5;60;5;0.0;173;18;FeLm
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer;0;0;1;1;1;2;64;175;2;121;6;0.0;621;37;FeLm
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.importer.DataImporterCSV;0;0;1;1;1;2;28;48;2;56;7;0.0;201;7;FeLm
dbeaver;org.jkiss.dbeaver.erd.model.ERDContentProviderDefault;0;0;1;1;1;1;27;31;1;28;6;0.0;97;6;FeLm
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericExecutionContext;0;0;1;1;4;2;22;88;3;58;7;0.0;300;14;FeLm
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTable;0;0;1;1;1;1;55;87;6;88;8;0.0;482;26;FeLm
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant;0;0;1;1;1;1;27;50;1;43;5;0.0;181;9;FeLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreRole;0;0;1;1;1;1;42;63;3;62;8;0.0;305;45;FeLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizardPageConfig;0;0;1;1;1;1;36;35;4;81;6;0.0;211;7;FeLm
dbeaver;org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor;0;0;1;1;1;3;31;153;2;158;4;0.0;719;88;FeLm
dbeaver;org.jkiss.dbeaver.ext.ui.tipoftheday.ShowTipOfTheDayDialog;0;0;1;1;1;1;28;28;4;63;4;0.0;163;13;FeLm
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer;0;0;1;1;1;6;59;327;1;233;7;0.0;939;27;FeLm
dbeaver;org.jkiss.dbeaver.model.sql.parser.rules.SQLDelimiterSetRule;0;0;1;1;1;1;6;23;1;13;3;0.0;59;2;FeLm
dbeaver;org.jkiss.dbeaver.registry.maven.versioning.VersionRange;0;0;1;1;2;2;5;95;1;35;5;0.0;299;15;FeLm
dbeaver;org.jkiss.dbeaver.tasks.ui.sql.SQLToolTaskWizardPageSettings;0;0;1;1;1;1;46;23;4;61;2;0.0;212;11;FeLm
dbeaver;org.jkiss.dbeaver.tasks.ui.DataSourceToolsContributor;0;0;1;1;1;1;47;41;7;52;7;NaN;196;5;FeLm
dbeaver;org.jkiss.dbeaver.ui.dashboard.histogram.DashboardRendererTimeseries;0;0;1;1;1;2;42;54;2;96;6;0.0;228;6;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryContent;0;0;1;1;2;2;6;201;1;99;4;0.0;612;45;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryEditor;0;0;1;1;1;1;50;52;7;70;2;0.0;288;20;FeLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.syntax.SQLReconcilingStrategy;0;0;1;1;2;1;24;58;5;71;3;0.0;269;17;FeLm
gson;com.google.gson.internal.LinkedTreeMap;0;0;1;1;2;2;4;86;6;19;3;0.0;428;21;FeLm
libgdx;com.badlogic.gdx.tiledmappacker.TiledMapPacker;0;0;1;1;1;2;38;69;1;83;7;0.0;377;17;FeLm
libgdx;com.badlogic.gdx.assets.AssetManager;0;0;1;1;1;1;57;176;1;113;6;0.0;487;52;FeLm
libgdx;com.badlogic.gdx.graphics.Colors;0;0;1;1;1;1;3;6;1;4;0;0.0;54;5;FeLm
libgdx;com.badlogic.gdx.graphics.g2d.RepeatablePolygonSprite;0;0;1;1;1;1;13;30;1;29;3;0.0;133;8;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.Model;0;0;1;1;1;1;38;110;1;65;5;0.0;278;24;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.particles.values.RectangleSpawnShapeValue;0;0;1;1;1;1;6;19;4;5;3;0.0;61;4;FeLm
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.RenderableShapeBuilder;0;0;1;1;1;1;13;28;4;22;2;0.0;111;7;FeLm
libgdx;com.badlogic.gdx.InputEventQueue;0;0;1;1;1;1;6;37;1;17;2;0.0;176;12;FeLm
libgdx;com.badlogic.gdx.maps.tiled.AtlasTmxMapLoader;0;0;1;1;1;1;28;29;6;30;4;0.0;144;10;FeLm
libgdx;com.badlogic.gdx.math.ConvexHull;0;0;1;1;2;1;7;65;1;17;3;0.0;213;11;FeLm
libgdx;com.badlogic.gdx.math.Quaternion;0;0;1;1;2;1;8;100;1;45;1;0.0;443;67;FeLm
libgdx;com.badlogic.gdx.scenes.scene2d.utils.TiledDrawable;0;0;1;1;1;1;7;16;3;26;2;0.0;78;9;FeLm
libgdx;com.badlogic.gdx.utils.compression.lzma.Decoder;0;0;1;1;1;1;10;32;1;36;8;0.0;228;6;FeLm
