sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.StreamConsumerSettings;1;0;1;0;1;0;25;54;1;41;7;0.0;242;38;LcFe
dbeaver;org.jkiss.dbeaver.ext.import_config.wizards.ConfigImportWizard;1;0;1;0;3;0;27;49;2;102;7;0.0;208;8;LcFe
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleSchema;1;0;1;0;1;0;67;81;37;85;5;0.0;727;46;LcFe
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource;1;0;1;0;2;0;77;128;7;136;5;0.0;502;49;LcFe
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource;1;0;1;0;1;0;59;166;1;104;5;0.0;518;46;LcFe
dbeaver;org.jkiss.dbeaver.model.sql.SQLUtils;1;0;1;0;1;0;52;339;1;174;8;0.0;1000;61;LcFe
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardDescriptor;1;0;1;0;1;0;29;81;3;56;5;0.0;421;51;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid;1;0;1;0;2;0;63;830;9;290;6;0.0;2993;169;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel;1;0;1;0;2;0;53;276;1;182;8;0.0;863;64;LcFe
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer;1;0;1;0;2;0;238;788;49;652;8;0.0;3526;186;LcFe
dbeaver;org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor;1;0;1;0;1;0;48;58;15;59;4;0.0;379;17;LcFe
dbeaver;org.jkiss.dbeaver.ui.editors.binary.ActionHistory;1;0;1;0;1;0;5;82;1;44;2;0.0;237;25;LcFe
fastjson;com.alibaba.fastjson.JSON;1;0;1;0;1;0;33;226;1;133;4;0.0;863;91;LcFe
fastjson;com.alibaba.fastjson.JSONPath;1;0;1;0;1;0;35;409;15;129;6;0.0;3522;61;LcFe
fastjson;com.alibaba.fastjson.parser.DefaultJSONParser;1;0;1;0;3;0;33;398;1;129;7;0.0;1515;65;LcFe
fastjson;com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory;1;0;1;0;2;0;28;157;1;75;4;0.0;1544;24;LcFe
fastjson;com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer;1;0;1;0;1;0;30;484;1;195;11;0.0;1546;27;LcFe
fastjson;com.alibaba.fastjson.parser.ParserConfig;1;0;1;0;1;0;44;321;1;121;5;0.0;997;48;LcFe
fastjson;com.alibaba.fastjson.serializer.JSONSerializer;1;0;1;0;1;0;11;106;2;49;4;0.0;338;44;LcFe
fastjson;com.alibaba.fastjson.serializer.SerializeWriter;1;0;1;0;1;0;8;579;2;77;6;0.0;2022;75;LcFe
fastjson;com.alibaba.fastjson.util.TypeUtils;1;0;1;0;1;0;34;951;1;303;7;0.0;2810;99;LcFe
libgdx;com.badlogic.gdx.backends.headless.HeadlessApplication;1;0;1;0;2;0;25;48;1;39;4;0.0;193;31;LcFe
libgdx;com.badlogic.gdx.tools.hiero.unicodefont.UnicodeFont;1;0;1;0;1;0;28;137;1;105;4;0.0;473;58;LcFe
libgdx;com.badlogic.gdx.tools.texturepacker.TexturePacker;1;0;1;0;2;0;27;161;1;88;6;0.0;793;28;LcFe
libgdx;com.badlogic.gdx.graphics.g2d.NinePatch;1;0;1;0;2;0;9;123;1;25;2;0.0;368;42;LcFe
libgdx;com.badlogic.gdx.graphics.g2d.ParticleEmitter;1;0;1;0;2;0;21;271;12;103;4;0.0;1401;92;LcFe
libgdx;com.badlogic.gdx.graphics.g2d.PolygonSprite;1;0;1;0;1;0;8;55;1;20;1;0.0;227;36;LcFe
libgdx;com.badlogic.gdx.graphics.g2d.PolygonSpriteBatch;1;0;1;0;1;0;19;156;1;38;2;0.0;971;47;LcFe
libgdx;com.badlogic.gdx.graphics.g2d.SpriteBatch;1;0;1;0;1;0;18;120;1;43;3;0.0;780;43;LcFe
libgdx;com.badlogic.gdx.graphics.g3d.loader.G3dModelLoader;1;0;1;0;1;0;26;125;4;62;10;0.0;348;14;LcFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.BaseAnimationController;1;0;1;0;1;0;16;50;1;33;4;0.0;196;15;LcFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.MeshBuilder;1;0;1;0;7;0;30;201;1;130;3;0.0;629;108;LcFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.ModelBuilder;1;0;1;0;1;0;15;57;1;58;3;0.0;214;38;LcFe
libgdx;com.badlogic.gdx.graphics.glutils.ShaderProgram;1;0;1;0;1;0;19;122;1;88;3;0.0;523;87;LcFe
libgdx;com.badlogic.gdx.graphics.glutils.ShapeRenderer;1;0;1;0;9;0;13;118;1;50;3;0.0;913;60;LcFe
libgdx;com.badlogic.gdx.math.DelaunayTriangulator;1;0;1;0;1;0;12;60;1;23;4;0.0;266;7;LcFe
libgdx;com.badlogic.gdx.math.Intersector;1;0;1;0;7;0;18;323;1;82;5;0.0;990;55;LcFe
libgdx;com.badlogic.gdx.math.Matrix4;1;0;1;0;3;0;8;113;1;59;1;0.0;866;94;LcFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ScrollPane;1;0;1;0;2;0;23;275;4;76;4;0.0;794;99;LcFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Table;1;0;1;0;4;0;25;314;5;103;5;0.0;969;97;LcFe
libgdx;com.badlogic.gdx.utils.compression.lzma.Encoder;1;0;1;0;2;0;18;190;2;75;7;0.0;985;34;LcFe
libgdx;com.badlogic.gdx.utils.I18NBundle;1;0;1;0;1;0;14;60;1;39;3;0.0;190;21;LcFe
libgdx;com.badlogic.gdx.utils.Json;1;0;1;0;1;0;39;373;1;180;6;0.0;981;87;LcFe
