sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareObjectsExecutor;1;0;0;1;0;2;32;69;1;62;6;0.0;281;11;LcLm
dbeaver;org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping;1;0;0;1;0;1;85;120;7;151;4;0.0;830;27;LcLm
dbeaver;org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart;1;0;0;1;0;2;122;114;19;152;4;0.0;702;53;LcLm
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource;1;0;0;1;0;2;74;128;2;108;2;0.0;466;75;LcLm
dbeaver;org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel;1;0;0;1;0;2;56;171;1;106;8;0.0;479;55;LcLm
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource;1;0;0;1;0;1;67;153;4;118;6;0.0;604;58;LcLm
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTableColumn;1;0;0;1;0;1;35;66;4;65;4;0.0;256;32;LcLm
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataSource;1;0;0;1;0;1;74;134;15;145;5;0.0;657;50;LcLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase;1;0;0;1;0;1;74;164;37;125;6;0.0;760;92;LcLm
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType;1;0;0;1;0;1;52;219;4;96;4;0.0;770;65;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionProposalBase;1;0;0;1;0;1;23;48;1;44;6;0.0;203;19;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter;1;0;0;1;0;2;13;160;1;62;4;0.0;437;14;LcLm
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.SQLTokensParser;1;0;0;1;0;1;8;99;1;35;4;0.0;261;8;LcLm
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderDescriptor;1;0;0;1;0;1;28;110;2;75;5;0.0;424;37;LcLm
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderRegistry;1;0;0;1;0;1;35;107;1;109;4;0.0;457;28;LcLm
dbeaver;org.jkiss.dbeaver.registry.driver.DriverDescriptor;1;0;0;1;0;1;50;255;2;154;6;0.0;981;134;LcLm
dbeaver;org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageTask;1;0;0;1;0;1;45;61;4;94;3;0.0;264;16;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.CustomFormEditor;1;0;0;1;0;3;38;100;1;102;6;0.0;333;16;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.CustomSashForm;1;0;0;1;0;3;24;129;6;51;5;0.0;674;41;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.finder.AdvancedList;1;0;0;1;0;1;39;76;6;63;3;0.0;350;30;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.ObjectViewerRenderer;1;0;0;1;0;1;41;45;2;58;5;0.0;271;18;LcLm
dbeaver;org.jkiss.dbeaver.ui.UIUtils;1;0;0;1;0;1;134;420;1;327;6;0.0;1638;170;LcLm
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter;1;0;0;1;0;2;29;64;1;68;6;0.0;334;8;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage;1;0;0;1;0;4;75;165;4;162;8;0.0;811;37;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.binary.pref.HexPreferencesManager;1;0;0;1;0;1;20;64;1;72;4;0.0;312;18;LcLm
dbeaver;org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer;1;0;0;1;0;1;94;124;12;171;5;0.0;992;34;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob;1;0;0;1;0;3;59;163;5;139;7;0.0;641;26;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.SQLEditor;1;0;0;1;0;5;196;522;32;444;6;0.0;3138;102;LcLm
dbeaver;org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter;1;0;0;1;0;1;35;68;2;55;4;0.0;316;14;LcLm
libgdx;com.badlogic.gdx.backends.lwjgl.audio.OggInputStream;1;0;0;1;0;1;16;72;2;28;10;0.0;278;15;LcLm
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglGraphics;1;0;0;1;0;1;27;144;4;81;6;0.0;534;66;LcLm
libgdx;com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application;1;0;0;1;0;2;43;104;1;102;4;0.0;399;41;LcLm
libgdx;com.badlogic.gdx.input.GestureDetector;1;0;0;1;0;1;9;52;2;28;3;0.0;303;21;LcLm
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Cell;1;0;0;1;0;1;11;239;1;25;2;0.0;760;150;LcLm
libgdx;com.badlogic.gdx.scenes.scene2d.ui.VerticalGroup;1;0;0;1;0;1;10;122;4;37;4;0.0;389;49;LcLm
libgdx;com.badlogic.gdx.utils.JsonValue;1;0;0;1;0;1;17;409;1;60;6;0.0;985;104;LcLm
libgdx;com.badlogic.gdx.utils.StringBuilder;1;0;0;1;0;1;3;303;1;49;5;0.0;768;93;LcLm
libgdx;com.badlogic.gdx.utils.UBJsonReader;1;0;0;1;0;1;10;71;1;25;16;0.0;187;15;LcLm
