sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseConsumerSettings;1;0;1;1;1;1;30;76;1;51;6;0.0;275;32;LcLmFe
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferSettings;1;0;1;1;1;1;33;159;1;104;5;0.0;538;41;LcLmFe
dbeaver;org.jkiss.dbeaver.model.DBUtils;1;0;1;1;2;4;107;569;1;304;6;0.0;1636;129;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.DataSourceDescriptor;1;0;1;1;2;2;87;278;1;216;7;0.0;1026;115;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerModern;1;0;1;1;2;3;57;173;1;346;7;0.0;811;16;LcLmFe
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifactVersion;1;0;1;1;2;2;23;123;1;88;6;0.0;425;32;LcLmFe
dbeaver;org.jkiss.dbeaver.ui.properties.PropertyTreeViewer;1;0;1;1;1;3;69;126;14;121;7;0.0;925;39;LcLmFe
dbeaver;org.jkiss.dbeaver.ui.editors.binary.HexEditControl;1;0;1;1;1;2;61;306;8;219;4;0.0;1369;79;LcLmFe
gson;com.google.gson.Gson;1;0;1;1;2;1;28;76;2;77;3;0.0;509;37;LcLmFe
gson;com.google.gson.internal.LinkedHashTreeMap;1;0;1;1;3;2;6;101;6;29;3;0.0;582;24;LcLmFe
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglApplication;1;0;1;1;1;1;34;87;1;75;4;0.0;309;40;LcLmFe
libgdx;com.badlogic.gdx.backends.lwjgl.LwjglCanvas;1;0;1;1;1;2;32;68;1;51;3;0.0;354;47;LcLmFe
libgdx;com.badlogic.gdx.physics.box2d.Box2DDebugRenderer;1;0;1;1;2;1;21;63;1;64;4;0.0;274;28;LcLmFe
libgdx;com.badlogic.gdx.graphics.Mesh;1;0;1;1;1;1;37;219;1;92;7;0.0;693;76;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.Actor;1;0;1;1;2;1;20;266;1;82;4;0.0;652;108;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.Group;1;0;1;1;1;1;14;116;2;59;4;0.0;344;37;LcLmFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Skin;1;0;1;1;1;1;49;120;1;83;4;0.0;431;37;LcLmFe
