sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.ext.postgresql.edit.PostgreViewManager;0;1;1;0;1;0;29;24;6;36;2;0.0;74;14;RbFe
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreSettings;0;1;1;0;1;0;14;19;4;15;6;0.0;80;10;RbFe
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler;0;1;1;0;2;0;18;120;3;53;5;0.0;391;12;RbFe
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl;0;1;1;0;2;0;25;120;2;103;3;0.0;469;71;RbFe
dbeaver;org.jkiss.dbeaver.ui.search.data.SearchDataPage;0;1;1;0;1;0;34;34;3;63;3;0.0;218;10;RbFe
fastjson;com.alibaba.fastjson.parser.deserializer.MapDeserializer;0;1;1;0;2;0;15;89;2;62;6;0.0;333;9;RbFe
libgdx;com.badlogic.gdx.physics.bullet.collision.btTriangleIndexVertexArray;0;1;1;0;2;0;12;54;3;42;3;0.0;159;36;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btDantzigSolver;0;1;1;0;1;0;7;14;3;13;2;0.0;41;9;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btLemkeSolver;0;1;1;0;1;0;7;22;3;21;2;0.0;65;17;RbFe
libgdx;com.badlogic.gdx.physics.bullet.dynamics.btSolveProjectedGaussSeidel;0;1;1;0;1;0;7;18;3;17;2;0.0;53;13;RbFe
libgdx;com.badlogic.gdx.graphics.Cubemap;0;1;1;0;1;0;19;40;2;41;3;0.0;158;21;RbFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.CameraInputController;0;1;1;0;1;0;8;52;4;18;4;0.0;164;12;RbFe
libgdx;com.badlogic.gdx.graphics.g3d.utils.shapebuilders.EllipseShapeBuilder;0;1;1;0;1;0;8;34;2;30;3;0.0;124;20;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.actions.ParallelAction;0;1;1;0;1;0;5;24;2;16;3;0.0;82;13;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageButton;0;1;1;0;1;0;12;33;7;26;3;0.0;104;14;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.ImageTextButton;0;1;1;0;2;0;17;55;8;39;3;0.0;145;17;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.TextButton;0;1;1;0;1;0;14;38;7;32;3;0.0;112;13;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Touchpad;0;1;1;0;1;0;13;38;3;34;3;0.0;158;19;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.Tree;0;1;1;0;1;0;22;132;4;79;3;0.0;666;55;RbFe
libgdx;com.badlogic.gdx.scenes.scene2d.ui.WidgetGroup;0;1;1;0;1;0;8;37;3;23;3;0.0;104;20;RbFe
