sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareObjectsExecutor;1;0;0;1;0;2;32;69;1;62;6;0.0;281;11;HetAgg
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsImportWizard;0;0;1;1;1;1;24;27;2;55;4;0.0;141;6;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionWizard;0;0;1;1;1;1;50;48;5;60;5;0.0;173;18;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseConsumerSettings;1;0;1;1;1;1;30;76;1;51;6;0.0;275;32;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferConsumer;0;0;1;1;1;2;64;175;2;121;6;0.0;621;37;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferSettings;1;0;1;1;1;1;33;159;1;104;5;0.0;538;41;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.importer.DataImporterCSV;0;0;1;1;1;2;28;48;2;56;7;0.0;201;7;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.StreamConsumerSettings;1;0;1;0;1;0;25;54;1;41;7;0.0;242;38;HetAgg
dbeaver;org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping;1;0;0;1;0;1;85;120;7;151;4;0.0;830;27;HetAgg
dbeaver;org.jkiss.dbeaver.erd.model.ERDContentProviderDefault;0;0;1;1;1;1;27;31;1;28;6;0.0;97;6;HetAgg
dbeaver;org.jkiss.dbeaver.erd.ui.editor.ERDEditorPart;1;0;0;1;0;2;122;114;19;152;4;0.0;702;53;HetAgg
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolDataSource;1;0;0;1;0;2;74;128;2;108;2;0.0;466;75;HetAgg
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericExecutionContext;0;0;1;1;4;2;22;88;3;58;7;0.0;300;14;HetAgg
dbeaver;org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel;1;0;0;1;0;2;56;171;1;106;8;0.0;479;55;HetAgg
dbeaver;org.jkiss.dbeaver.ext.import_config.wizards.ConfigImportWizard;1;0;1;0;3;0;27;49;2;102;7;0.0;208;8;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLDataSource;1;0;0;1;0;1;67;153;4;118;6;0.0;604;58;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTable;0;0;1;1;1;1;55;87;6;88;8;0.0;482;26;HetAgg
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTableColumn;1;0;0;1;0;1;35;66;4;65;4;0.0;256;32;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataSource;1;0;0;1;0;1;74;134;15;145;5;0.0;657;50;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleSchema;1;0;1;0;1;0;67;81;37;85;5;0.0;727;46;HetAgg
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleStructureAssistant;0;0;1;1;1;1;27;50;1;43;5;0.0;181;9;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.edit.PostgreViewManager;0;1;1;0;1;0;29;24;6;36;2;0.0;74;14;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDatabase;1;0;0;1;0;1;74;164;37;125;6;0.0;760;92;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource;1;0;1;0;2;0;77;128;7;136;5;0.0;502;49;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreDataType;1;0;0;1;0;1;52;219;4;96;4;0.0;770;65;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreRole;0;0;1;1;1;1;42;63;3;62;8;0.0;305;45;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupSettings;0;1;0;1;0;1;18;51;4;48;6;0.0;202;18;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreSettings;0;1;1;0;1;0;14;19;4;15;6;0.0;80;10;HetAgg
dbeaver;org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizardPageConfig;0;0;1;1;1;1;36;35;4;81;6;0.0;211;7;HetAgg
dbeaver;org.jkiss.dbeaver.ext.ui.svg.GraphicsToGraphics2DAdaptor;0;0;1;1;1;3;31;153;2;158;4;0.0;719;88;HetAgg
dbeaver;org.jkiss.dbeaver.ext.ui.tipoftheday.ShowTipOfTheDayDialog;0;0;1;1;1;1;28;28;4;63;4;0.0;163;13;HetAgg
dbeaver;org.jkiss.dbeaver.model.DBUtils;1;0;1;1;2;4;107;569;1;304;6;0.0;1636;129;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler;0;1;1;0;2;0;18;120;3;53;5;0.0;391;12;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCStatementImpl;0;1;1;0;2;0;25;120;2;103;3;0.0;469;71;HetAgg
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource;1;0;1;0;1;0;59;166;1;104;5;0.0;518;46;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.SQLUtils;1;0;1;0;1;0;52;339;1;174;8;0.0;1000;61;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer;0;0;1;1;1;6;59;327;1;233;7;0.0;939;27;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.completion.SQLCompletionProposalBase;1;0;0;1;0;1;23;48;1;44;6;0.0;203;19;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.IndentFormatter;1;0;0;1;0;2;13;160;1;62;4;0.0;437;14;HetAgg
