sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.utils.xml.XMLUtils;0;0;1;0;2;0;9;72;1;28;4;0.0;189;20;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageConnectionClient;0;0;1;0;2;0;18;11;5;24;1;0.0;80;9;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageErrorHandle;0;0;1;0;2;0;11;10;5;17;1;0.0;81;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageMetaData;0;0;1;0;3;0;10;10;5;12;1;0.0;60;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageTransactions;0;0;1;0;2;0;12;10;5;21;1;0.0;73;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.gis.panel.TilesManagementDialog;0;0;1;0;2;0;21;29;7;47;3;0.0;334;10;AggFE
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseProducerSettings;0;0;1;0;2;0;6;19;1;9;1;0.0;85;18;AggFE
dbeaver;org.jkiss.dbeaver.ext.exasol.manager.ExasolScriptManager;0;0;1;0;2;0;19;16;3;21;1;0.0;50;10;AggFE
dbeaver;org.jkiss.dbeaver.ext.firebird.model.plan.FireBirdPlanParser;0;0;1;0;6;0;6;36;1;32;4;0.0;203;13;AggFE
dbeaver;org.jkiss.dbeaver.ext.oracle.ui.views.PrefPageOracle;0;0;1;0;2;0;16;8;5;22;1;0.0;64;8;AggFE
dbeaver;org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugSession;0;0;1;0;3;0;37;100;2;102;4;0.0;603;41;AggFE
dbeaver;org.jkiss.dbeaver.model.data.DBDAttributeConstraint;0;0;1;0;2;0;10;28;2;23;1;0.0;76;18;AggFE
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCBasicDataTypeCache;0;0;1;0;2;0;16;15;3;19;2;0.0;46;7;AggFE
dbeaver;org.jkiss.dbeaver.model.task.DBTaskUtils;0;0;1;0;2;0;19;23;1;33;3;0.0;91;7;AggFE
dbeaver;org.jkiss.dbeaver.utils.PrefUtils;0;0;1;0;2;0;4;47;1;27;2;0.0;105;5;AggFE
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerLegacy;0;0;1;0;3;0;37;68;1;115;6;0.0;631;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardRegistry;0;0;1;0;2;0;22;46;1;50;3;0.0;159;16;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetFilterPanel;0;0;1;0;2;0;90;88;49;146;4;0.0;927;19;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetCellEditor;0;0;1;0;2;0;11;43;2;22;2;0.0;132;9;AggFE
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.valuefilter.FilterValueEditDialog;0;0;1;0;2;0;28;17;4;46;2;0.0;125;9;AggFE
dbeaver;org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageResultSetPresentationGrid;0;0;1;0;2;0;19;10;5;32;1;0.0;96;8;AggFE
dbeaver;org.jkiss.dbeaver.ui.editors.data.preferences.PrefPageResultSetPresentationPlainText;0;0;1;0;2;0;14;10;5;24;1;0.0;76;8;AggFE
fastjson;com.alibaba.fastjson.asm.MethodWriter;0;0;1;0;2;0;8;39;1;14;2;0.0;153;15;AggFE
fastjson;com.alibaba.fastjson.serializer.ASMSerializerFactory;0;0;1;0;4;0;27;227;1;88;6;NaN;1677;28;AggFE
fastjson;com.alibaba.fastjson.serializer.AwtCodec;0;0;1;0;7;0;11;67;1;41;3;0.0;303;10;AggFE
fastjson;com.alibaba.fastjson.util.AntiCollisionHashMap;0;0;1;0;5;0;4;121;10;44;3;0.0;463;39;AggFE
libgdx;com.badlogic.gdx.backends.lwjgl3.DefaultLwjgl3Input;0;0;1;0;2;0;19;205;2;34;2;0.0;554;51;AggFE
libgdx;com.badlogic.gdx.backends.gwt.preloader.Preloader;0;0;1;0;2;0;19;39;1;30;2;0.0;283;19;AggFE
libgdx;com.badlogic.gdx.physics.bullet.collision.btStridingMeshInterface;0;0;1;0;2;0;10;37;2;38;2;0.0;110;32;AggFE
libgdx;com.badlogic.gdx.physics.bullet.collision.btTriangleIndexVertexMaterialArray;0;0;1;0;2;0;8;28;4;29;2;0.0;87;23;AggFE
libgdx;com.badlogic.gdx.physics.bullet.collision.Collision;0;0;1;0;2;0;30;115;1;127;1;0.0;367;105;AggFE
