sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareReportRenderer;0;0;0;1;0;2;12;36;1;28;6;NaN;183;3;AggLM
dbeaver;org.jkiss.dbeaver.tools.project.ProjectImportWizard;0;0;0;1;0;2;36;79;2;117;8;0.0;349;10;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageNetwork;0;0;0;1;0;2;31;26;5;56;3;0.0;143;6;AggLM
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageProjectNetworkProfiles;0;0;0;1;0;2;47;37;4;76;4;0.0;280;12;AggLM
dbeaver;org.jkiss.dbeaver.data.console.ConsoleTextPresentation;0;0;0;1;0;4;57;135;2;118;4;0.0;521;23;AggLM
dbeaver;org.jkiss.dbeaver.data.office.export.DataExporterXLSX;0;0;0;1;0;2;35;78;2;90;4;0.0;406;11;AggLM
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseTransferUtils;0;0;0;1;0;2;51;70;2;94;6;0.0;292;9;AggLM
dbeaver;org.jkiss.dbeaver.erd.ui.model.DiagramLoader;0;0;0;1;0;2;66;114;2;126;8;0.0;486;6;AggLM
dbeaver;org.jkiss.dbeaver.ext.db2.editors.DB2StructureAssistant;0;0;0;1;0;2;24;54;2;40;5;0.0;281;11;AggLM
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolStructureAssistant;0;0;0;1;0;2;23;38;2;23;4;0.0;229;11;AggLM
dbeaver;org.jkiss.dbeaver.ext.hana.model.HANAStructureAssistant;0;0;0;1;0;5;23;85;2;28;4;0.0;264;12;AggLM
dbeaver;org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor;0;0;0;1;0;2;62;58;11;87;5;0.0;393;9;AggLM
dbeaver;org.jkiss.dbeaver.model.sql.parser.SQLScriptParser;0;0;0;1;0;4;31;207;1;105;10;0.0;610;12;AggLM
dbeaver;org.jkiss.dbeaver.registry.DataSourceRegistry;0;0;0;1;0;2;53;168;4;170;6;0.0;677;61;AggLM
dbeaver;org.jkiss.dbeaver.ui.ActionUtils;0;0;0;1;0;2;43;81;1;64;7;0.0;264;20;AggLM
dbeaver;org.jkiss.dbeaver.ui.controls.CSmartCombo;0;0;0;1;0;4;44;184;5;123;3;0.0;818;41;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.MultiPageWizardDialog;0;0;0;1;0;2;42;68;5;77;5;0.0;281;25;AggLM
dbeaver;org.jkiss.dbeaver.ui.dashboard.view.DashboardUpdater;0;0;0;1;0;3;39;81;1;105;7;0.0;342;11;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverDependenciesTree;0;0;0;1;0;2;28;38;1;67;3;0.0;200;10;AggLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverDownloadAutoPage;0;0;0;1;0;2;30;26;9;43;3;0.0;168;7;AggLM
dbeaver;org.jkiss.dbeaver.ui.editors.binary.dialogs.FindReplaceDialog;0;0;0;1;0;4;28;41;2;57;3;0.0;541;16;AggLM
dbeaver;org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy;0;0;0;1;0;2;13;120;2;57;5;0.0;439;21;AggLM
fastjson;com.alibaba.fastjson.asm.ClassReader;0;0;0;1;0;2;6;64;1;14;4;0.0;283;8;AggLM
gson;com.google.gson.internal.bind.util.ISO8601Utils;0;0;0;1;0;2;1;57;1;35;6;0.0;205;8;AggLM
gson;com.google.gson.stream.JsonReader;0;0;0;1;0;2;6;363;1;41;4;0.0;1128;38;AggLM
libgdx;com.badlogic.gdx.backends.lwjgl.DefaultLwjglInput;0;0;0;1;0;2;14;207;2;52;5;0.0;570;51;AggLM
libgdx;com.badlogic.gdx.graphics.g2d.freetype.FreeTypeFontGenerator;0;0;0;1;0;3;35;131;2;88;6;0.0;512;22;AggLM
retrofit;retrofit.RestMethodInfo;0;0;0;1;0;2;26;99;1;60;5;0.0;352;12;AggLM
