sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.utils.IntKeyMap;0;0;1;0;1;0;3;92;9;23;3;0.0;420;37;UniqueFE
dbeaver;org.jkiss.utils.LongKeyMap;0;0;1;0;1;0;3;92;9;23;3;0.0;420;37;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.compare.simple.CompareObjectsSettings;0;0;1;0;1;0;3;25;1;6;1;0.0;98;18;UniqueFE
dbeaver;org.jkiss.dbeaver.core.DBeaverUI;0;0;1;0;1;0;59;60;1;71;3;0.0;270;32;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.project.ProjectExportWizard;0;0;1;0;1;0;29;36;2;81;5;0.0;210;8;UniqueFE
dbeaver;org.jkiss.dbeaver.ui.controls.txn.TransactionInfoDialog;0;0;1;0;1;0;24;20;4;25;3;0.0;78;7;UniqueFE
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionNavigatorSettingsDialog;0;0;1;0;1;0;10;4;4;14;1;0.0;33;4;UniqueFE
dbeaver;org.jkiss.dbeaver.ui.views.process.ShellProcessView;0;0;1;0;1;0;13;13;7;16;2;0.0;92;8;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferJob;0;0;1;0;1;0;16;13;1;19;3;0.0;74;6;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.transfer.DataTransferPipe;0;0;1;0;1;0;9;12;1;9;1;0.0;33;6;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterXML;0;0;1;0;1;0;17;31;2;32;6;0.0;126;10;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.transfer.task.DTTaskHandlerTransfer;0;0;1;0;1;0;20;27;1;31;6;0.0;135;6;UniqueFE
dbeaver;org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard;0;0;1;0;1;0;56;125;5;120;5;0.0;399;27;UniqueFE
dbeaver;org.jkiss.dbeaver.erd.ui.command.EntityDeleteCommand;0;0;1;0;1;0;12;13;2;25;1;0.0;59;9;UniqueFE
dbeaver;org.jkiss.dbeaver.erd.ui.editor.ERDEditorEmbedded;0;0;1;0;1;0;42;40;7;53;5;0.0;163;17;UniqueFE
dbeaver;org.jkiss.dbeaver.erd.ui.editor.tools.ResetPartColorAction;0;0;1;0;1;0;9;8;6;8;2;0.0;55;5;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.bigquery.ui.views.BigQueryConnectionPage;0;0;1;0;1;0;24;30;3;49;2;0.0;142;7;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.datavirtuality.DataVirtualityDataSourceProvider;0;0;1;0;1;0;12;8;2;9;2;0.0;36;4;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.manager.DB2RoutineManager;0;0;1;0;1;0;6;8;4;7;1;0.0;30;2;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2Table;0;0;1;0;1;0;53;57;4;57;4;0.0;256;47;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2TableColumn;0;0;1;0;1;0;27;54;4;45;2;0.0;242;41;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.model.plan.DB2PlanOperator;0;0;1;0;1;0;13;23;3;29;3;0.0;122;20;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.db2.tasks.DB2RunstatsToolSettings;0;0;1;0;1;0;11;12;2;8;1;0.0;77;10;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.manager.ExasolFunctionManager;0;0;1;0;1;0;19;14;3;18;1;0.0;44;9;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.manager.ExasolTablePartitionColumnManager;0;0;1;0;1;0;19;15;3;16;2;0.0;55;8;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.manager.ExasolViewManager;0;0;1;0;1;0;21;15;3;23;2;0.0;56;10;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolSchema;0;0;1;0;1;0;41;54;1;52;4;0.0;224;41;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.model.ExasolTableColumn;0;0;1;0;1;0;28;56;4;41;4;0.0;179;36;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.exasol.tools.ExasolUtils;0;0;1;0;1;0;21;41;1;68;4;0.0;145;12;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.ForeignKeyInfo;0;0;1;0;1;0;4;1;1;2;0;NaN;26;1;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericDataTypeCache;0;0;1;0;1;0;6;3;4;4;0;0.0;10;2;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericStructureAssistant;0;0;1;0;1;0;25;41;7;36;3;0.0;133;9;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.GenericTableBase;0;0;1;0;1;0;54;88;3;93;6;0.0;294;34;UniqueFE
dbeaver;org.jkiss.dbeaver.ext.generic.model.IndexCache;0;0;1;0;1;0;27;19;3;29;3;0.0;68;5;UniqueFE
