sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.utils.xml.SAXReader;1;0;0;0;0;0;17;46;1;38;4;0.0;218;29;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.gis.panel.GISLeafletViewer;1;0;0;0;0;0;60;85;1;110;5;0.0;472;16;UniqueLC
dbeaver;org.jkiss.dbeaver.debug.ui.DatabaseLaunchShortcut;1;0;0;0;0;0;42;55;1;70;4;0.0;207;25;UniqueLC
dbeaver;org.jkiss.dbeaver.erd.model.ERDDiagram;1;0;0;0;0;0;22;66;2;64;2;0.0;260;35;UniqueLC
dbeaver;org.jkiss.dbeaver.erd.ui.part.AssociationPart;1;0;0;0;0;0;50;54;14;83;3;0.0;253;20;UniqueLC
dbeaver;org.jkiss.dbeaver.erd.ui.part.DiagramPart;1;0;0;0;0;0;41;55;4;47;5;0.0;196;27;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2DataSource;1;0;0;0;0;0;66;112;2;102;5;0.0;415;70;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.db2.model.DB2Schema;1;0;0;0;0;0;56;99;1;81;5;0.0;387;74;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.exasol.model.security.ExasolSecurityPolicy;1;0;0;0;0;0;12;57;1;15;2;0.0;212;31;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.generic.views.GenericConnectionPage;1;0;0;0;0;0;34;86;4;94;3;0.0;431;15;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.greenplum.model.GreenplumExternalTable;1;0;0;0;0;0;26;51;6;68;1;0.0;213;25;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.mssql.model.SQLServerDatabase;1;0;0;0;0;0;31;47;8;29;2;0.0;250;34;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.mssql.model.SQLServerDataType;1;0;0;0;0;0;31;133;1;31;3;0.0;329;44;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema;1;0;0;0;0;0;54;71;22;66;5;0.0;586;44;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleDataType;1;0;0;0;0;0;43;102;6;54;4;0.0;416;48;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.plan.PostgrePlanNodeText;1;0;0;0;0;0;3;52;3;31;3;0.0;184;13;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreExecutionContext;1;0;0;0;0;0;22;49;3;50;5;0.0;179;19;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema;1;0;0;0;0;0;66;112;16;109;5;0.0;691;64;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreTable;1;0;0;0;0;0;42;84;5;72;6;0.0;275;32;UniqueLC
dbeaver;org.jkiss.dbeaver.ext.postgresql.model.PostgreTrigger;1;0;0;0;0;0;37;47;1;34;4;0.0;213;28;UniqueLC
dbeaver;org.jkiss.dbeaver.model.connection.DBPConnectionConfiguration;1;0;0;0;0;0;21;80;1;44;3;0.0;302;58;UniqueLC
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCCallableStatementImpl;1;0;0;0;0;0;33;176;4;166;6;0.0;589;123;UniqueLC
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCDatabaseMetaDataImpl;1;0;0;0;0;0;7;183;1;179;1;0.0;549;179;UniqueLC
dbeaver;org.jkiss.dbeaver.model.impl.sql.AbstractSQLDialect;1;0;0;0;0;0;30;191;1;77;5;0.0;517;90;UniqueLC
dbeaver;org.jkiss.dbeaver.model.navigator.DBNModel;1;0;0;0;0;0;47;160;3;105;7;0.0;586;33;UniqueLC
dbeaver;org.jkiss.dbeaver.model.navigator.meta.DBXTreeNode;1;0;0;0;0;0;21;82;1;35;4;0.0;259;30;UniqueLC
dbeaver;org.jkiss.dbeaver.model.sql.SQLQuery;1;0;0;0;0;0;35;86;1;45;6;0.0;290;36;UniqueLC
dbeaver;org.jkiss.dbeaver.model.virtual.DBVEntity;1;0;0;0;0;0;36;166;1;115;5;0.0;513;57;UniqueLC
dbeaver;org.jkiss.dbeaver.model.virtual.DBVEntityAttribute;1;0;0;0;0;0;23;69;1;28;3;0.0;226;47;UniqueLC
dbeaver;org.jkiss.dbeaver.runtime.properties.ObjectAttributeDescriptor;1;0;0;0;0;0;16;50;1;38;3;0.0;145;18;UniqueLC
dbeaver;org.jkiss.dbeaver.runtime.qm.QMMCollectorImpl;1;0;0;0;0;0;22;51;5;41;3;0.0;238;22;UniqueLC
dbeaver;org.jkiss.dbeaver.model.sql.parser.SQLWordPartDetector;1;0;0;0;0;0;7;44;3;25;5;0.0;152;14;UniqueLC
dbeaver;org.jkiss.dbeaver.model.sql.registry.SQLDialectDescriptor;1;0;0;0;0;0;16;47;3;32;3;0.0;183;24;UniqueLC
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifact;1;0;0;0;0;0;19;80;1;71;6;0.0;321;23;UniqueLC
dbeaver;org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree;1;0;0;0;0;0;54;57;7;78;3;0.0;608;26;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.ProgressPageControl;1;0;0;0;0;0;37;76;5;69;3;0.0;462;28;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.notifications.AbstractNotificationPopup;1;0;0;0;0;0;34;57;2;83;5;0.0;378;25;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.dialogs.driver.DriverSelectViewer;1;0;0;0;0;0;48;53;4;78;4;0.0;344;28;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.colors.ColorSettingsDialog;1;0;0;0;0;0;49;68;5;120;6;0.0;487;17;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation;1;0;0;0;0;0;56;139;2;117;4;0.0;529;23;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation;1;0;0;0;0;0;111;321;3;263;6;0.0;1712;59;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.valuefilter.GenericFilterValueEdit;1;0;0;0;0;0;48;80;4;88;4;0.0;411;23;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.data.VirtualStructureEditor;1;0;0;0;0;0;49;47;5;89;5;0.0;330;18;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.entity.EntityEditor;1;0;0;0;0;0;105;199;10;215;4;0.0;897;41;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.editors.entity.properties.TabbedFolderPageForm;1;0;0;0;0;0;33;51;2;50;5;0.0;270;12;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.navigator.actions.NavigatorObjectsDeleter;1;0;0;0;0;0;51;77;1;73;4;0.0;290;19;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorTree;1;0;0;0;0;0;59;87;12;87;5;0.0;643;37;UniqueLC
dbeaver;org.jkiss.dbeaver.ui.navigator.database.StatisticsNavigatorNodeRenderer;1;0;0;0;0;0;51;99;5;99;7;0.0;415;18;UniqueLC
