sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.utils.ArgumentTokenizer;0;0;0;1;0;1;1;34;1;14;5;0.0;127;3;UniqueLM
dbeaver;org.jkiss.utils.SecurityUtils;0;0;0;1;0;1;4;20;1;26;2;0.0;119;9;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.compare.simple.ui.CompareObjectsHandler;0;0;0;1;0;1;17;10;3;15;3;NaN;46;1;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.compare.simple.ui.CompareObjectsPageSettings;0;0;0;1;0;1;18;6;4;29;2;0.0;88;5;UniqueLM
dbeaver;org.jkiss.dbeaver.registry.DataSourceDescriptorManager;0;0;0;1;0;1;17;15;2;20;3;0.0;65;6;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.project.ProjectExportWizardPage;0;0;0;1;0;1;30;28;3;58;3;0.0;151;7;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.project.ProjectImportWizardPageFile;0;0;0;1;0;1;32;22;3;50;4;0.0;193;8;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsExportWizardPage;0;0;0;1;0;1;31;21;3;42;2;0.0;129;6;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.scripts.ScriptsImportWizardPage;0;0;0;1;0;1;37;9;6;39;2;0.0;129;5;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.common.NavigateBookmarkHandler;0;0;0;1;0;1;22;10;4;19;5;NaN;48;1;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.datasource.DataSourceAutoCommitHandler;0;0;0;1;0;1;22;18;4;26;4;0.0;77;2;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.datasource.DataSourceTransactionModeContributor;0;0;0;1;0;1;23;8;13;18;3;NaN;170;1;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.DataSourcePropertyTester;0;0;0;1;0;1;23;25;3;22;3;0.0;127;3;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.actions.ModelPropertyTester;0;0;0;1;0;1;10;15;2;9;5;0.0;65;2;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageGeneral;0;0;0;1;0;1;52;65;5;115;4;0.0;415;20;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.ConnectionPageShellCommands;0;0;0;1;0;1;28;34;5;80;4;0.0;209;9;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.dialogs.connection.EditBootstrapQueriesDialog;0;0;0;1;0;1;22;13;5;33;2;0.0;127;8;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.e4.DBeaverStackRenderer;0;0;0;1;0;1;20;11;5;17;3;NaN;83;3;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.preferences.PrefPageConnectionTypes;0;0;0;1;0;1;35;35;4;97;4;0.0;287;10;UniqueLM
dbeaver;org.jkiss.dbeaver.ui.views.BaseBrowserView;0;0;0;1;0;1;25;12;4;27;2;0.0;133;8;UniqueLM
dbeaver;org.jkiss.dbeaver.data.gis.handlers.GISGeometryValueHandler;0;0;0;1;0;1;18;38;3;24;3;0.0;130;16;UniqueLM
dbeaver;org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingAttribute;0;0;0;1;0;1;26;57;1;45;5;0.0;195;19;UniqueLM
