sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.debug.core.model.DatabaseDebugTarget;0;1;0;0;0;0;34;94;3;79;4;0.0;360;45;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.mysql.model.MySQLTableConstraint;0;1;0;0;0;0;24;15;4;13;4;0.0;55;10;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.mysql.ui.editors.MySQLUserEditorPrivileges;0;1;0;0;0;0;32;45;13;59;5;0.0;308;11;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.oracle.model.OracleUser;0;1;0;0;0;0;22;22;2;10;1;0.0;99;19;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseBackupHandler;0;1;0;0;0;0;28;37;3;51;3;0.0;123;12;UniqueRB
dbeaver;org.jkiss.dbeaver.ext.postgresql.tasks.PostgreDatabaseRestoreHandler;0;1;0;0;0;0;20;22;3;29;3;0.0;75;12;UniqueRB
dbeaver;org.jkiss.dbeaver.model.data.DBDAttributeBindingType;0;1;0;0;0;0;24;39;3;31;3;0.0;121;28;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.AsyncServerOutputReader;0;1;0;0;0;0;8;5;2;5;2;0.0;17;2;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.data.formatters.BinaryFormatterHexNative;0;1;0;0;0;0;3;6;2;4;1;0.0;20;4;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.data.TemporalAccessorValueHandler;0;1;0;0;0;0;12;19;2;13;3;0.0;65;8;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCStructCache;0;1;0;0;0;0;23;45;3;45;8;0.0;161;12;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCArrayValueHandler;0;1;0;0;0;0;15;21;4;23;2;0.0;78;5;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCBooleanValueHandler;0;1;0;0;0;0;10;14;3;12;1;0.0;49;6;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCDateTimeValueHandler;0;1;0;0;0;0;15;61;4;37;3;0.0;205;11;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCObjectValueHandler;0;1;0;0;0;0;17;20;3;15;3;0.0;56;5;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCReferenceValueHandler;0;1;0;0;0;0;16;11;4;14;2;0.0;50;4;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCStructValueHandler;0;1;0;0;0;0;22;20;4;20;2;0.0;81;4;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCUUIDValueHandler;0;1;0;0;0;0;9;12;4;7;2;0.0;42;3;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.JDBCCollection;0;1;0;0;0;0;43;97;4;70;6;0.0;380;25;UniqueRB
dbeaver;org.jkiss.dbeaver.model.impl.jdbc.data.JDBCContentBytes;0;1;0;0;0;0;17;38;3;19;4;0.0;130;22;UniqueRB
