sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck;0;0;1;1;1;1;8;27;4;10;4;106;6;FeLm
hadoop;org.apache.hadoop.mapred.MemoryMatcher;0;0;1;1;1;1;8;27;1;24;3;76;5;FeLm
htmlunit;com.gargoylesoftware.htmlunit.DefaultCredentialsProvider;0;0;1;1;2;1;10;19;1;19;3;145;11;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.DefaultElementFactory;0;0;1;1;1;1;126;133;1;32;4;413;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.DomCharacterData;0;0;1;1;1;1;4;26;2;15;3;83;14;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.HTMLParser;0;0;1;1;1;1;29;43;2;47;3;452;9;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlSelect;0;0;1;1;3;1;20;86;5;54;4;268;38;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlSerializer;0;0;1;1;3;1;30;77;1;60;4;282;23;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.impl.SimpleRange;0;0;1;1;2;2;13;96;1;43;5;341;37;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.XmlSerializer;0;0;1;1;2;1;23;34;1;64;4;166;12;FeLm
htmlunit;com.gargoylesoftware.htmlunit.HttpWebConnection;0;0;1;1;2;1;54;69;1;120;5;364;22;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.background.JavaScriptJobManagerImpl;0;0;1;1;1;1;6;54;1;32;3;183;15;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.configuration.JavaScriptConfiguration;0;0;1;1;12;1;68;101;1;80;6;440;31;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.EventListenersContainer;0;0;1;1;3;1;14;44;1;40;5;178;16;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Node;0;0;1;1;3;3;29;111;2;92;4;438;46;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLDocument;0;0;1;1;2;2;29;40;5;49;2;172;21;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLHttpRequest;0;0;1;1;1;1;30;92;3;77;3;403;29;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLSerializer;0;0;1;1;1;1;15;29;2;30;5;88;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.ProxyAutoConfig;0;0;1;1;3;4;6;65;1;55;2;297;20;FeLm
htmlunit;com.gargoylesoftware.htmlunit.ScriptException;0;0;1;1;1;1;6;31;4;34;2;136;12;FeLm
htmlunit;com.gargoylesoftware.htmlunit.WebRequest;0;0;1;1;1;1;9;53;1;47;3;198;31;FeLm
htmlunit;com.gargoylesoftware.htmlunit.xml.XmlUtil;0;0;1;1;3;1;28;31;1;49;3;140;8;FeLm
jasperreports;net.sf.jasperreports.ant.JRAntCompileTask;0;0;1;1;1;1;12;42;2;46;3;152;14;FeLm
jasperreports;net.sf.jasperreports.charts.design.JRDesignChartAxis;0;0;1;1;1;1;8;8;2;36;2;52;7;FeLm
jasperreports;net.sf.jasperreports.charts.util.ChartUtil;0;0;1;1;2;1;19;22;1;32;4;85;6;FeLm
jasperreports;net.sf.jasperreports.compilers.JRBshGenerator;0;0;1;1;3;1;8;45;1;39;3;305;9;FeLm
jasperreports;net.sf.jasperreports.components.barcode4j.AbstractBarcodeEvaluator;0;0;1;1;12;1;40;75;1;91;2;262;35;FeLm
jasperreports;net.sf.jasperreports.components.spiderchart.SpiderChartDesignEvaluator;0;0;1;1;1;1;25;40;1;75;3;173;6;FeLm
jasperreports;net.sf.jasperreports.components.table.TableCompiler;0;0;1;1;4;1;25;65;1;62;6;376;12;FeLm
jasperreports;net.sf.jasperreports.engine.export.JRXmlExporter;0;0;1;1;7;7;53;118;3;244;6;644;31;FeLm
jasperreports;net.sf.jasperreports.engine.export.oasis.JROdsExporter;0;0;1;1;1;1;29;32;4;53;4;152;8;FeLm
jasperreports;net.sf.jasperreports.engine.export.oasis.JROdtExporter;0;0;1;1;1;1;28;30;4;51;4;156;8;FeLm
jasperreports;net.sf.jasperreports.engine.export.oasis.StyleBuilder;0;0;1;1;1;1;3;10;1;14;1;91;7;FeLm
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxStyleHelper;0;0;1;1;1;3;10;13;2;17;3;68;4;FeLm
jasperreports;net.sf.jasperreports.engine.export.ooxml.XlsxBorderInfo;0;0;1;1;1;1;5;14;1;17;3;76;4;FeLm
jasperreports;net.sf.jasperreports.engine.export.ooxml.XlsxStyleHelper;0;0;1;1;1;1;8;11;2;12;3;70;4;FeLm
jasperreports;net.sf.jasperreports.engine.export.xmlss.XmlssContentBuilder;0;0;1;1;1;1;0;2;1;4;0;39;2;FeLm
jasperreports;net.sf.jasperreports.engine.export.xmlss.XmlssStyleBuilder;0;0;1;1;1;1;3;10;1;14;1;91;7;FeLm
jasperreports;net.sf.jasperreports.engine.fill.JRCalculator;0;0;1;1;8;1;14;90;1;41;5;313;17;FeLm
jasperreports;net.sf.jasperreports.engine.JRResultSetDataSource;0;0;1;1;2;1;7;80;1;60;5;295;10;FeLm
jhotdraw;net.n3.nanoxml.NonValidator;0;0;1;1;1;1;7;65;1;46;4;314;15;FeLm
jhotdraw;org.jhotdraw.app.action.app.ExitAction;0;0;1;1;1;1;11;35;3;46;4;260;10;FeLm
jhotdraw;org.jhotdraw.app.MDIApplication;0;0;1;1;2;2;21;61;4;108;4;435;19;FeLm
jhotdraw;org.jhotdraw.app.OSXApplication;0;0;1;1;4;1;22;75;4;99;4;470;26;FeLm
jhotdraw;org.jhotdraw.app.SDIApplication;0;0;1;1;3;1;13;66;3;89;4;313;21;FeLm
jhotdraw;org.jhotdraw.color.ColorSliderUI;0;0;1;1;5;1;7;60;8;53;3;362;25;FeLm
jhotdraw;org.jhotdraw.color.ColorTrackImageProducer;0;0;1;1;3;1;6;25;2;15;2;103;13;FeLm
jhotdraw;org.jhotdraw.color.JHarmonicColorWheel;0;0;1;1;2;1;11;31;6;54;5;236;13;FeLm
jhotdraw;org.jhotdraw.draw.AttributeKeys;0;0;1;1;4;3;19;47;1;26;3;241;9;FeLm
jhotdraw;org.jhotdraw.draw.BezierFigure;0;0;1;1;7;1;22;117;4;103;5;446;55;FeLm
jhotdraw;org.jhotdraw.draw.DefaultDrawingViewTransferHandler;0;0;1;1;1;1;14;85;3;68;9;508;13;FeLm
jhotdraw;org.jhotdraw.draw.handle.BezierControlPointHandle;0;0;1;1;1;1;15;54;2;53;2;243;17;FeLm
jhotdraw;org.jhotdraw.draw.handle.BezierNodeHandle;0;0;1;1;1;1;16;86;2;51;2;276;18;FeLm
jhotdraw;org.jhotdraw.draw.handle.BoundsOutlineHandle;0;0;1;1;1;1;6;19;2;15;2;115;9;FeLm
jhotdraw;org.jhotdraw.draw.handle.RoundRectangleRadiusHandle;0;0;1;1;1;1;12;17;2;27;2;101;9;FeLm
jhotdraw;org.jhotdraw.draw.io.ImageInputFormat;0;0;1;1;1;1;8;27;1;25;3;112;14;FeLm
jhotdraw;org.jhotdraw.draw.io.ImageOutputFormat;0;0;1;1;1;1;7;27;1;36;2;134;15;FeLm
jhotdraw;org.jhotdraw.draw.layouter.HorizontalLayouter;0;0;1;1;2;1;7;10;2;9;3;47;2;FeLm
jhotdraw;org.jhotdraw.draw.layouter.VerticalLayouter;0;0;1;1;2;1;7;12;2;9;3;54;2;FeLm
jhotdraw;org.jhotdraw.draw.locator.BezierLabelLocator;0;0;1;1;1;1;8;22;1;11;3;82;8;FeLm
jhotdraw;org.jhotdraw.draw.print.DrawingPageable;0;0;1;1;1;1;5;16;1;18;3;73;6;FeLm
jhotdraw;org.jhotdraw.draw.TextAreaFigure;0;0;1;1;5;1;18;77;5;85;5;297;36;FeLm
jhotdraw;org.jhotdraw.draw.tool.DelegationSelectionTool;0;0;1;1;1;1;8;71;4;62;4;250;13;FeLm
jhotdraw;org.jhotdraw.geom.Bezier;0;0;1;1;20;1;6;98;1;55;4;452;37;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteFontChooserUI;0;0;1;1;3;1;11;89;3;55;4;382;16;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteListCellRenderer;0;0;1;1;2;1;2;19;6;26;2;68;3;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteSliderUI;0;0;1;1;5;1;3;22;4;30;2;175;10;FeLm
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteTabbedPaneUI;0;0;1;1;2;5;5;108;5;55;3;344;16;FeLm
jhotdraw;org.jhotdraw.util.prefs.PreferencesUtil;0;0;1;1;3;1;3;68;2;44;2;268;46;FeLm
