sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hibernate;org.hibernate.cfg.Configuration;1;0;1;0;3;0;115;304;2;342;6;2142;120;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomNode;1;0;1;0;2;0;34;210;1;84;5;771;89;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlElement;1;0;1;0;7;0;47;184;4;118;3;633;82;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlPage;1;0;1;0;5;0;91;367;3;243;4;1249;125;LcFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLElement;1;0;1;0;8;0;59;336;11;215;5;1259;146;LcFe
jasperreports;net.sf.jasperreports.charts.design.JRDesignPieDataset;1;0;1;0;1;0;13;44;4;24;2;168;28;LcFe
jasperreports;net.sf.jasperreports.components.spiderchart.StandardChartSettings;1;0;1;0;1;0;18;78;1;52;3;359;59;LcFe
jasperreports;net.sf.jasperreports.crosstabs.fill.calculation.BucketingService;1;0;1;0;4;0;20;141;5;61;5;853;33;LcFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseStyle;1;0;1;0;2;0;25;227;1;153;3;801;184;LcFe
jasperreports;net.sf.jasperreports.engine.convert.ReportConverter;1;0;1;0;2;0;36;51;3;112;3;288;18;LcFe
jasperreports;net.sf.jasperreports.engine.design.JasperDesign;1;0;1;0;3;0;33;127;2;98;2;533;104;LcFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignDataset;1;0;1;0;7;0;32;110;2;89;3;560;61;LcFe
jasperreports;net.sf.jasperreports.engine.design.JRJdtCompiler;1;0;1;0;2;0;24;37;3;43;3;358;13;LcFe
jasperreports;net.sf.jasperreports.engine.export.JRGridLayout;1;0;1;0;5;0;19;144;1;88;4;459;27;LcFe
jasperreports;net.sf.jasperreports.engine.fill.DefaultChartTheme;1;0;1;0;2;0;99;240;1;367;4;936;40;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRBaseFiller;1;0;1;0;4;0;65;256;1;241;4;1059;99;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillBand;1;0;1;0;2;0;23;77;3;68;4;223;39;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillChart;1;0;1;0;2;0;108;264;2;225;2;841;147;LcFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillCrosstab;1;0;1;0;6;0;68;111;3;168;5;1277;52;LcFe
