sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
jasperreports;net.sf.jasperreports.engine.data.JRCsvDataSource;1;0;0;1;0;1;6;86;1;44;5;309;22;LcLm
jfreechart;org.jfree.chart.axis.Axis;1;0;0;1;0;1;12;136;1;59;2;528;65;LcLm
jfreechart;org.jfree.chart.axis.CyclicNumberAxis;1;0;0;1;0;2;19;139;7;71;4;531;34;LcLm
jfreechart;org.jfree.chart.axis.NumberAxis;1;0;0;1;0;3;20;111;3;86;5;709;38;LcLm
jfreechart;org.jfree.chart.axis.PeriodAxis;1;0;0;1;0;2;19;129;3;105;4;565;47;LcLm
jfreechart;org.jfree.chart.axis.SymbolAxis;1;0;0;1;0;2;16;74;4;64;4;380;21;LcLm
jfreechart;org.jfree.chart.axis.ValueAxis;1;0;0;1;0;2;15;171;2;103;3;671;72;LcLm
jfreechart;org.jfree.chart.editor.DefaultPlotEditor;1;0;0;1;0;1;20;68;5;73;3;313;15;LcLm
jfreechart;org.jfree.chart.plot.ContourPlot;1;0;0;1;0;7;33;182;2;127;3;764;79;LcLm
jfreechart;org.jfree.chart.plot.PiePlot;1;0;0;1;0;3;35;312;2;190;5;1391;140;LcLm
jfreechart;org.jfree.chart.plot.XYPlot;1;0;0;1;0;20;45;682;2;298;6;2514;222;LcLm
jfreechart;org.jfree.chart.renderer.category.LineAndShapeRenderer;1;0;0;1;0;1;17;100;3;73;4;389;44;LcLm
jfreechart;org.jfree.chart.renderer.category.MinMaxCategoryRenderer;1;0;0;1;0;1;13;43;3;30;5;229;19;LcLm
jfreechart;org.jfree.chart.renderer.category.ScatterRenderer;1;0;0;1;0;1;16;54;3;59;3;217;23;LcLm
jfreechart;org.jfree.chart.renderer.xy.CandlestickRenderer;1;0;0;1;0;1;21;79;3;49;4;373;31;LcLm
jfreechart;org.jfree.chart.renderer.xy.HighLowRenderer;1;0;0;1;0;1;18;51;3;36;4;195;17;LcLm
jfreechart;org.jfree.chart.renderer.xy.XYShapeRenderer;1;0;0;1;0;1;20;60;3;47;4;217;24;LcLm
jfreechart;org.jfree.chart.renderer.xy.XYStepAreaRenderer;1;0;0;1;0;1;17;63;3;41;3;230;18;LcLm
jfreechart;org.jfree.data.time.TimeSeries;1;0;0;1;0;3;5;118;2;57;3;462;45;LcLm
jmeter;org.apache.jmeter.protocol.http.proxy.HttpRequestHdr;1;0;0;1;0;1;16;94;1;94;4;369;20;LcLm
jmeter;org.apache.jmeter.protocol.http.sampler.HTTPHC4Impl;1;0;0;1;0;3;68;146;4;166;7;702;17;LcLm
lucene;org.tartarus.snowball.ext.RomanianStemmer;1;0;0;1;0;1;3;142;2;23;8;589;15;LcLm
lucene;org.apache.lucene.benchmark.byTask.tasks.TaskSequence;1;0;0;1;0;2;12;113;4;51;6;405;26;LcLm
lucene;org.apache.lucene.document.Field;1;0;0;1;0;2;14;106;4;46;2;576;38;LcLm
lucene;org.apache.lucene.index.IndexFileDeleter;1;0;0;1;0;1;11;101;2;61;6;413;21;LcLm
lucene;org.apache.lucene.index.SegmentInfos;1;0;0;1;0;1;23;107;1;100;5;644;48;LcLm
lucene;org.apache.lucene.util.automaton.Automaton;1;0;0;1;0;1;7;114;1;62;5;380;52;LcLm
lucene;org.apache.lucene.util.automaton.RegExp;1;0;0;1;0;1;7;183;1;72;7;525;46;LcLm
lucene;org.apache.lucene.util.packed.PackedInts;1;0;0;1;0;1;30;82;2;28;4;538;19;LcLm
lucene;org.apache.lucene.search.grouping.GroupingSearch;1;0;0;1;0;1;30;45;1;22;2;220;23;LcLm
lucene;org.apache.lucene.search.postingshighlight.PostingsHighlighter;1;0;0;1;0;1;25;45;2;61;5;322;10;LcLm
lucene;org.apache.lucene.search.vectorhighlight.BaseFragmentsBuilder;1;0;0;1;0;1;15;64;1;64;5;211;23;LcLm
lucene;org.apache.lucene.queries.mlt.MoreLikeThis;1;0;0;1;0;1;25;81;2;47;4;331;41;LcLm
lucene;org.apache.lucene.search.suggest.jaspell.JaspellTernarySearchTrie;1;0;0;1;0;1;3;116;1;39;5;383;31;LcLm
struts;org.apache.struts2.views.velocity.VelocityManager;1;0;0;1;0;1;22;66;1;71;5;302;18;LcLm
struts;org.apache.struts2.jasper.compiler.JspRuntimeContext;1;0;0;1;0;1;10;52;1;58;5;203;16;LcLm
struts;org.apache.struts2.jasper.compiler.ParserController;1;0;0;1;0;1;19;81;1;59;4;297;16;LcLm
struts;org.apache.struts2.json.JSONResult;1;0;0;1;0;1;18;73;1;54;6;254;39;LcLm
struts;org.apache.struts2.json.JSONWriter;1;0;0;1;0;1;6;110;1;80;6;373;23;LcLm
tapestry;org.apache.tapestry5.ContentType;1;0;0;1;0;1;4;25;1;21;1;83;16;LcLm
tapestry;org.apache.tapestry5.corelib.base.AbstractLink;1;0;0;1;0;1;12;10;1;9;2;42;7;LcLm
