sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLDocument;1;0;1;1;6;1;55;238;5;157;5;860;73;LcLmFe
htmlunit;com.gargoylesoftware.htmlunit.WebClient;1;0;1;1;4;1;71;272;1;205;6;1059;117;LcLmFe
jasperreports;net.sf.jasperreports.compilers.JRGroovyGenerator;1;0;1;1;2;1;8;75;1;52;4;415;15;LcLmFe
jasperreports;net.sf.jasperreports.components.table.fill.TableReport;1;0;1;1;1;1;64;109;12;91;5;669;78;LcLmFe
jasperreports;net.sf.jasperreports.engine.design.JRClassGenerator;1;0;1;1;3;1;10;79;1;67;3;463;19;LcLmFe
jasperreports;net.sf.jasperreports.engine.design.JRVerifier;1;0;1;1;59;3;100;634;1;357;8;1849;92;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRHtmlExporter;1;0;1;1;7;5;64;284;3;208;7;1313;43;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRPdfExporter;1;0;1;1;7;4;72;275;4;292;6;1403;35;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.JRXhtmlExporter;1;0;1;1;5;4;58;258;3;189;7;1241;42;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRPptxExporter;1;0;1;1;1;3;54;174;3;155;5;972;24;LcLmFe
jasperreports;net.sf.jasperreports.engine.export.xmlss.JRXmlssExporter;1;0;1;1;1;6;36;140;2;118;6;596;25;LcLmFe
jasperreports;net.sf.jasperreports.engine.fill.JRHorizontalFiller;1;0;1;1;15;1;23;305;2;128;8;1214;43;LcLmFe
jhotdraw;org.jhotdraw.draw.DefaultDrawingView;1;0;1;1;12;2;22;238;4;189;5;1067;81;LcLmFe
jhotdraw;org.jhotdraw.gui.JSheet;1;0;1;1;6;1;5;119;6;120;4;595;47;LcLmFe
jhotdraw;org.jhotdraw.gui.plaf.palette.PaletteToolBarUI;1;0;1;1;7;3;8;183;14;138;4;982;51;LcLmFe
jhotdraw;org.jhotdraw.text.JavaNumberFormatter;1;0;1;1;8;1;1;80;3;44;3;288;35;LcLmFe
jfreechart;org.jfree.chart.axis.CategoryAxis;1;0;1;1;3;2;24;151;2;125;4;628;51;LcLmFe
jfreechart;org.jfree.chart.axis.DateAxis;1;0;1;1;3;2;26;169;3;121;4;917;51;LcLmFe
jfreechart;org.jfree.chart.axis.LogarithmicAxis;1;0;1;1;1;3;12;154;4;48;9;493;28;LcLmFe
jfreechart;org.jfree.chart.ChartPanel;1;0;1;1;6;3;25;298;5;200;4;1311;114;LcLmFe
jfreechart;org.jfree.chart.JFreeChart;1;0;1;1;2;2;34;164;1;115;3;640;70;LcLmFe
jfreechart;org.jfree.chart.plot.CategoryPlot;1;0;1;1;1;12;47;576;2;281;6;2144;213;LcLmFe
jfreechart;org.jfree.chart.plot.dial.DialPlot;1;0;1;1;1;1;17;89;2;55;3;365;41;LcLmFe
jfreechart;org.jfree.chart.plot.MeterPlot;1;0;1;1;1;6;15;137;2;81;4;564;55;LcLmFe
jfreechart;org.jfree.chart.plot.RingPlot;1;0;1;1;1;1;14;48;3;63;5;224;21;LcLmFe
jfreechart;org.jfree.chart.plot.SpiderWebPlot;1;0;1;1;1;3;25;152;2;104;5;679;68;LcLmFe
jfreechart;org.jfree.chart.plot.ThermometerPlot;1;0;1;1;2;1;20;181;2;90;3;696;77;LcLmFe
jfreechart;org.jfree.chart.renderer.category.AbstractCategoryItemRenderer;1;0;1;1;2;1;39;174;2;134;4;751;57;LcLmFe
jfreechart;org.jfree.chart.renderer.category.BarRenderer;1;0;1;1;2;1;28;158;3;116;4;564;49;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.AbstractXYItemRenderer;1;0;1;1;4;2;36;191;2;131;4;803;56;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.XYDifferenceRenderer;1;0;1;1;2;1;22;125;3;84;4;575;25;LcLmFe
jfreechart;org.jfree.chart.renderer.xy.XYLineAndShapeRenderer;1;0;1;1;1;2;20;125;5;89;4;489;52;LcLmFe
jfreechart;org.jfree.data.general.DatasetUtilities;1;0;1;1;7;1;30;315;1;80;6;1172;52;LcLmFe
jfreechart;org.jfree.data.statistics.HistogramDataset;1;0;1;1;4;1;9;47;5;22;3;183;21;LcLmFe
jfreechart;org.jfree.experimental.chart.swt.ChartComposite;1;0;1;1;2;1;49;203;2;127;4;849;65;LcLmFe
jmeter;org.apache.jmeter.gui.action.ActionRouter;1;0;1;1;4;1;8;54;1;46;6;208;15;LcLmFe
jmeter;org.apache.jmeter.gui.GuiPackage;1;0;1;1;4;1;20;65;1;72;3;300;38;LcLmFe
jmeter;org.apache.jmeter.gui.util.JMeterMenuBar;1;0;1;1;4;1;11;83;5;72;3;447;31;LcLmFe
jmeter;org.apache.jmeter.JMeter;1;0;1;1;1;7;42;139;1;174;6;813;22;LcLmFe
jmeter;org.apache.jmeter.save.CSVSaveService;1;0;1;1;2;2;20;146;1;143;4;677;18;LcLmFe
jmeter;org.apache.jmeter.util.JMeterUtils;1;0;1;1;4;1;15;150;1;125;4;646;64;LcLmFe
jmeter;org.apache.jmeter.functions.RegexFunction;1;0;1;1;1;1;14;45;2;46;3;200;9;LcLmFe
jmeter;org.apache.commons.cli.avalon.CLArgsParser;1;0;1;1;2;1;7;101;1;47;4;421;27;LcLmFe
jmeter;org.apache.jmeter.protocol.http.proxy.ProxyControl;1;0;1;1;7;1;39;168;3;138;6;615;65;LcLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.AjpSampler;1;0;1;1;1;1;21;82;4;99;4;414;24;LcLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.HTTPHC3Impl;1;0;1;1;1;4;57;148;4;188;6;638;17;LcLmFe
jmeter;org.apache.jmeter.gui.ReportGuiPackage;1;0;1;1;4;1;19;56;1;56;3;260;31;LcLmFe
jmeter;org.apache.jmeter.gui.util.ReportMenuBar;1;0;1;1;2;1;10;48;5;47;2;335;20;LcLmFe
jmeter;org.apache.jmeter.report.gui.action.ReportActionRouter;1;0;1;1;4;1;7;52;1;46;6;198;15;LcLmFe
struts;org.apache.struts2.dispatcher.Dispatcher;1;0;1;1;1;1;48;99;1;109;4;443;32;LcLmFe
struts;org.apache.struts2.dispatcher.mapper.DefaultActionMapper;1;0;1;1;2;1;13;74;1;54;4;292;18;LcLmFe
struts;org.apache.struts2.views.freemarker.FreemarkerManager;1;0;1;1;2;1;30;66;1;61;4;285;23;LcLmFe
struts;org.apache.struts2.convention.PackageBasedActionConfigBuilder;1;0;1;1;8;2;44;198;1;162;6;557;40;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspConfig;1;0;1;1;3;2;10;87;1;47;12;350;7;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspDocumentParser;1;0;1;1;4;5;61;207;6;114;6;677;30;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspReader;1;0;1;1;2;1;7;104;1;44;5;333;29;LcLmFe
struts;org.apache.struts2.jasper.compiler.JspUtil;1;0;1;1;2;1;16;217;1;91;9;729;47;LcLmFe
struts;org.apache.struts2.jasper.compiler.Parser;1;0;1;1;7;2;48;367;1;152;5;1221;57;LcLmFe
struts;org.apache.struts2.jasper.compiler.TldLocationsCache;1;0;1;1;1;1;8;73;1;64;5;317;13;LcLmFe
struts;org.apache.struts2.jasper.JspC;1;0;1;1;2;1;14;203;1;104;5;793;77;LcLmFe
struts;org.apache.struts2.jasper.JspCompilationContext;1;0;1;1;2;1;16;117;1;63;6;421;55;LcLmFe
struts;org.apache.struts2.jasper.runtime.JspWriterImpl;1;0;1;1;2;1;6;83;2;41;3;242;41;LcLmFe
struts;org.apache.struts2.jasper.xmlparser.XMLEncodingDetector;1;0;1;1;3;1;15;264;2;63;6;954;24;LcLmFe
struts;org.apache.struts2.json.JSONInterceptor;1;0;1;1;1;1;18;68;1;50;4;258;30;LcLmFe
tapestry;org.apache.tapestry.mojo.ComponentReport;1;0;1;1;5;1;25;106;2;175;4;510;37;LcLmFe
tapestry;org.apache.tapestry5.upload.internal.services.MultipartDecoderImpl;1;0;1;1;1;1;14;17;1;20;3;76;9;LcLmFe
tomcat;org.apache.catalina.ant.jmx.JMXAccessorTask;1;0;1;1;1;1;4;126;3;64;4;380;42;LcLmFe
tomcat;org.apache.catalina.connector.Request;1;0;1;1;6;1;44;420;1;253;5;1324;152;LcLmFe
tomcat;org.apache.catalina.core.StandardWrapper;1;0;1;1;5;1;28;211;4;141;6;804;88;LcLmFe
tomcat;org.apache.catalina.mbeans.ServerLifecycleListener;1;0;1;1;4;1;30;195;1;96;3;567;32;LcLmFe
tomcat;org.apache.catalina.session.JDBCStore;1;0;1;1;1;1;12;117;3;61;5;526;38;LcLmFe
tomcat;org.apache.catalina.session.StandardSession;1;0;1;1;2;1;18;189;1;98;6;652;62;LcLmFe
tomcat;org.apache.catalina.tribes.tipis.AbstractReplicatedMap;1;0;1;1;6;1;17;247;3;144;5;1051;65;LcLmFe
tomcat;org.apache.naming.resources.ResourceCache;1;0;1;1;5;1;3;55;1;13;5;223;19;LcLmFe
tomcat;org.apache.tomcat.util.digester.Digester;1;0;1;1;8;1;34;245;2;123;4;906;124;LcLmFe
tomcat;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsIntrospectionSource;1;0;1;1;1;1;10;68;2;56;5;210;11;LcLmFe
weka;weka.associations.FPGrowth;1;0;1;1;3;1;25;151;3;114;6;1198;57;LcLmFe
weka;weka.attributeSelection.ReliefFAttributeEval;1;0;1;1;1;3;15;152;2;61;6;702;35;LcLmFe
weka;weka.classifiers.Evaluation;1;0;1;1;6;3;34;474;1;200;6;1857;94;LcLmFe
weka;weka.classifiers.functions.SMO;1;0;1;1;3;1;27;119;2;101;5;1154;47;LcLmFe
weka;weka.classifiers.mi.MISMO;1;0;1;1;4;1;31;138;2;101;5;1082;51;LcLmFe
weka;weka.classifiers.pmml.consumer.GeneralRegression;1;0;1;1;4;1;25;225;3;81;8;931;17;LcLmFe
weka;weka.classifiers.trees.LADTree;1;0;1;1;12;1;22;159;5;99;5;885;47;LcLmFe
weka;weka.core.Capabilities;1;0;1;1;19;2;18;265;1;86;6;780;50;LcLmFe
weka;weka.core.xml.XMLSerialization;1;0;1;1;4;1;13;186;1;148;8;683;58;LcLmFe
weka;weka.experiment.DatabaseUtils;1;0;1;1;9;1;5;198;1;82;4;722;47;LcLmFe
weka;weka.filters.supervised.attribute.PLSFilter;1;0;1;1;6;1;23;84;4;84;3;489;38;LcLmFe
weka;weka.gui.experiment.ResultsPanel;1;0;1;1;2;5;26;90;5;190;3;945;20;LcLmFe
weka;weka.gui.explorer.ClustererPanel;1;0;1;1;3;1;40;127;5;150;6;1268;26;LcLmFe
