sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hadoop;org.apache.hadoop.streaming.StreamXmlRecordReader;1;1;0;0;0;0;12;55;2;44;3;218;12;LcRb
hadoop;org.apache.hadoop.fs.FileSystem;1;1;0;0;0;0;29;165;3;127;4;718;100;LcRb
hadoop;org.apache.hadoop.util.LinuxResourceCalculatorPlugin;1;1;0;0;0;0;5;48;3;34;4;273;17;LcRb
hibernate;org.hibernate.hql.internal.classic.QueryTranslatorImpl;1;1;0;0;0;0;51;218;3;157;6;798;97;LcRb
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintImage;1;1;0;0;0;0;23;132;3;86;1;446;122;LcRb
jasperreports;net.sf.jasperreports.engine.design.JRDesignImage;1;1;0;0;0;0;29;155;4;112;2;568;132;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRFillCellContents;1;1;0;0;0;0;38;102;3;91;3;411;48;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRFillImage;1;1;0;0;0;0;45;207;3;207;5;617;127;LcRb
jasperreports;net.sf.jasperreports.engine.fill.JRTemplateImage;1;1;0;0;0;0;27;117;3;103;1;411;108;LcRb
jfreechart;org.jfree.chart.plot.dial.DialValueIndicator;1;1;0;0;0;0;11;63;2;35;1;265;37;LcRb
jfreechart;org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset;1;1;0;0;0;0;7;48;4;20;2;192;27;LcRb
lucene;org.apache.lucene.analysis.ja.JapaneseIterationMarkCharFilter;1;1;0;0;0;0;4;53;3;22;2;223;21;LcRb
lucene;org.apache.lucene.codecs.BlockTreeTermsReader;1;1;0;0;0;0;20;30;4;30;3;1719;9;LcRb
lucene;org.apache.lucene.index.ConcurrentMergeScheduler;1;1;0;0;0;0;10;64;3;44;5;321;21;LcRb
lucene;org.apache.lucene.index.TieredMergePolicy;1;1;0;0;0;0;14;123;2;48;5;440;33;LcRb
lucene;org.apache.lucene.search.spans.NearSpansUnordered;1;1;0;0;0;0;13;51;4;33;3;224;17;LcRb
lucene;org.apache.lucene.search.suggest.analyzing.AnalyzingSuggester;1;1;0;0;0;0;44;62;3;86;4;394;17;LcRb
struts;com.opensymphony.xwork2.interceptor.ParametersInterceptor;1;1;0;0;0;0;17;52;3;56;4;207;17;LcRb
tomcat;org.apache.catalina.filters.ExpiresFilter;1;1;0;0;0;0;11;108;8;69;3;722;24;LcRb
tomcat;org.apache.jasper.runtime.JspWriterImpl;1;1;0;0;0;0;4;83;3;41;3;242;41;LcRb
