sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hadoop;org.apache.hadoop.mapred.FairScheduler;1;1;1;0;2;0;50;165;4;164;5;715;37;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseObjectFactory;1;1;1;0;3;0;163;248;2;14;3;840;86;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintText;1;1;1;0;4;0;29;231;2;142;3;757;201;LcRbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseTextElement;1;1;1;0;1;0;23;160;2;120;1;553;140;LcRbFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignTextElement;1;1;1;0;1;0;21;162;3;118;1;553;142;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillElementContainer;1;1;1;0;6;0;27;127;2;81;6;405;29;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillObjectFactory;1;1;1;0;3;0;134;231;2;44;4;840;79;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillSubreport;1;1;1;0;5;0;55;153;2;161;4;532;47;LcRbFe
jasperreports;net.sf.jasperreports.engine.fill.JRTemplatePrintText;1;1;1;0;1;0;22;209;2;144;3;608;192;LcRbFe
jhotdraw;org.jhotdraw.draw.AbstractAttributedFigure;1;1;1;0;1;0;11;58;3;59;4;174;25;LcRbFe
jfreechart;org.jfree.chart.panel.CrosshairOverlay;1;1;1;0;4;0;13;97;2;70;3;347;20;LcRbFe
jfreechart;org.jfree.chart.renderer.xy.XYBarRenderer;1;1;1;0;2;0;29;150;5;96;4;545;44;LcRbFe
tapestry;org.apache.tapestry5.dom.Element;1;1;1;0;4;0;20;123;2;83;3;425;47;LcRbFe
tomcat;org.apache.catalina.authenticator.SingleSignOn;1;1;1;0;1;0;12;63;4;49;3;172;16;LcRbFe
tomcat;org.apache.catalina.core.ApplicationHttpRequest;1;1;1;0;3;0;9;110;3;65;4;389;37;LcRbFe
tomcat;org.apache.catalina.core.ContainerBase;1;1;1;0;1;0;25;176;3;89;4;540;48;LcRbFe
tomcat;org.apache.catalina.core.StandardHost;1;1;1;0;3;0;18;74;4;46;4;271;41;LcRbFe
tomcat;org.apache.catalina.ha.tcp.ReplicationValve;1;1;1;0;1;0;21;95;4;71;5;297;35;LcRbFe
tomcat;org.apache.catalina.loader.WebappLoader;1;1;1;0;1;0;21;154;3;126;5;556;39;LcRbFe
tomcat;org.apache.catalina.realm.RealmBase;1;1;1;0;3;0;28;206;3;100;6;647;41;LcRbFe
tomcat;org.apache.catalina.servlets.DefaultServlet;1;1;1;0;4;0;13;269;3;149;5;1045;37;LcRbFe
tomcat;org.apache.catalina.session.ManagerBase;1;1;1;0;2;0;16;157;3;105;4;593;73;LcRbFe
tomcat;org.apache.catalina.valves.AccessLogValve;1;1;1;0;2;0;37;114;4;57;5;730;40;LcRbFe
tomcat;org.apache.tomcat.util.net.jsse.JSSESocketFactory;1;1;1;0;4;0;7;116;2;86;7;459;21;LcRbFe
weka;weka.classifiers.functions.LibSVM;1;1;1;0;4;0;19;130;3;111;4;571;66;LcRbFe
weka;weka.classifiers.meta.GridSearch;1;1;1;0;4;0;35;186;8;171;6;1238;87;LcRbFe
weka;weka.classifiers.meta.RacedIncrementalLogitBoost;1;1;1;0;4;0;22;84;4;71;6;621;35;LcRbFe
weka;weka.classifiers.meta.RotationForest;1;1;1;0;4;0;26;110;5;108;5;485;38;LcRbFe
weka;weka.classifiers.trees.BFTree;1;1;1;0;4;0;21;312;3;121;5;1288;55;LcRbFe
weka;weka.clusterers.sIB;1;1;1;0;5;0;19;144;3;98;4;637;48;LcRbFe
weka;weka.clusterers.XMeans;1;1;1;0;2;0;22;239;3;133;4;977;89;LcRbFe
