sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hadoop;org.apache.hadoop.mapred.CapacityTaskScheduler;1;1;1;1;1;1;28;77;4;101;4;615;34;LcRbLmFe
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstab;1;1;1;1;8;1;47;226;3;146;5;868;97;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JExcelApiExporter;1;1;1;1;10;2;76;244;4;184;5;1147;47;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRRtfExporter;1;1;1;1;9;6;43;193;3;165;6;976;35;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRXlsExporter;1;1;1;1;6;4;70;225;4;220;5;994;38;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.oasis.JROpenDocumentExporter;1;1;1;1;1;3;47;119;2;153;5;511;34;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRDocxExporter;1;1;1;1;4;4;62;140;3;176;5;661;29;LcRbLmFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.JRXlsxExporter;1;1;1;1;3;1;61;97;4;147;5;537;32;LcRbLmFe
jmeter;org.apache.jmeter.protocol.http.proxy.gui.ProxyControlGui;1;1;1;1;3;1;26;65;8;144;3;507;32;LcRbLmFe
jmeter;org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase;1;1;1;1;8;1;41;256;3;205;6;1004;112;LcRbLmFe
struts;org.apache.struts2.interceptor.FileUploadInterceptor;1;1;1;1;1;1;14;60;2;56;6;185;13;LcRbLmFe
struts;org.apache.struts2.interceptor.ScopeInterceptor;1;1;1;1;1;2;13;61;2;39;5;222;19;LcRbLmFe
tomcat;org.apache.catalina.core.StandardServer;1;1;1;1;2;1;18;76;3;55;3;305;32;LcRbLmFe
weka;weka.attributeSelection.ScatterSearchV1;1;1;1;1;7;1;15;131;2;79;8;580;45;LcRbLmFe
weka;weka.core.neighboursearch.CoverTree;1;1;1;1;8;1;25;186;2;121;7;866;54;LcRbLmFe
