sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck;0;1;1;0;3;0;7;27;5;31;2;93;15;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck;0;1;1;0;2;0;6;30;4;13;3;101;12;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck;0;1;1;0;1;0;6;16;5;20;1;52;9;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck;0;1;1;0;1;0;3;12;6;2;1;46;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.RegexpCheck;0;1;1;0;1;0;6;32;5;23;3;106;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter;0;1;1;0;2;0;10;36;2;33;2;216;15;RbFe
hadoop;org.apache.hadoop.mapred.JobQueuesManager;0;1;1;0;1;0;12;28;2;29;2;88;11;RbFe
hibernate;org.hibernate.hql.internal.ast.tree.SelectClause;0;1;1;0;1;0;19;80;6;63;6;275;21;RbFe
hibernate;org.hibernate.mapping.Table;0;1;1;0;2;0;17;178;1;123;4;579;77;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomElement;0;1;1;0;2;0;14;58;3;39;3;202;34;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomText;0;1;1;0;2;0;7;18;3;19;2;53;11;RbFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Document;0;1;1;0;3;0;33;61;4;53;3;231;24;RbFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.NamedNodeMap;0;1;1;0;1;0;14;32;2;28;3;103;13;RbFe
htmlunit;com.gargoylesoftware.htmlunit.util.FalsifyingWebConnection;0;1;1;0;3;0;9;6;2;13;0;31;6;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseAreaPlot;0;1;1;0;1;0;15;40;2;34;1;174;32;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseBubblePlot;0;1;1;0;2;0;16;49;2;41;1;201;37;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseCandlestickPlot;0;1;1;0;1;0;15;45;2;37;1;190;35;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseHighLowPlot;0;1;1;0;1;0;15;50;2;39;1;209;39;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseLinePlot;0;1;1;0;1;0;15;52;2;41;1;218;41;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseMeterPlot;0;1;1;0;2;0;16;34;2;33;2;131;20;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBasePie3DPlot;0;1;1;0;1;0;9;22;2;13;1;94;18;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBasePieDataset;0;1;1;0;1;0;15;38;3;24;2;126;20;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBasePiePlot;0;1;1;0;1;0;10;19;2;15;1;90;15;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseScatterPlot;0;1;1;0;1;0;15;50;2;40;1;209;39;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseThermometerPlot;0;1;1;0;2;0;13;29;2;16;1;102;15;RbFe
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeriesPlot;0;1;1;0;1;0;15;50;2;39;1;209;39;RbFe
jasperreports;net.sf.jasperreports.charts.fill.JRFillPieDataset;0;1;1;0;1;0;19;55;3;48;3;162;23;RbFe
jasperreports;net.sf.jasperreports.components.barcode4j.BarcodeEvaluator;0;1;1;0;1;0;20;19;2;8;1;66;17;RbFe
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstabGroup;0;1;1;0;1;0;11;17;2;11;2;83;13;RbFe
jasperreports;net.sf.jasperreports.engine.base.JRBaseBand;0;1;1;0;1;0;10;19;2;16;2;69;12;RbFe
jasperreports;net.sf.jasperreports.engine.data.JRXmlDataSource;0;1;1;0;1;0;14;41;2;35;4;160;18;RbFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignQuery;0;1;1;0;4;0;9;21;2;19;2;104;16;RbFe
jasperreports;net.sf.jasperreports.engine.export.oasis.BorderStyle;0;1;1;0;2;0;6;17;2;18;2;87;6;RbFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxCellHelper;0;1;1;0;4;0;12;31;2;18;2;100;12;RbFe
jasperreports;net.sf.jasperreports.engine.export.ooxml.DocxTableHelper;0;1;1;0;1;0;6;15;2;10;1;76;9;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillBreak;0;1;1;0;1;0;13;27;2;18;2;86;16;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillComponentElement;0;1;1;0;1;0;24;40;2;40;1;116;24;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillGraphicElement;0;1;1;0;1;0;13;40;2;27;2;77;18;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillLine;0;1;1;0;1;0;17;14;3;22;0;52;14;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRFillStaticText;0;1;1;0;1;0;17;37;3;49;2;92;13;RbFe
jasperreports;net.sf.jasperreports.engine.fill.JRThreadSubreportRunner;0;1;1;0;4;0;10;28;2;14;3;101;9;RbFe
jasperreports;net.sf.jasperreports.engine.JRImageRenderer;0;1;1;0;1;0;11;57;2;38;2;204;36;RbFe
jasperreports;net.sf.jasperreports.engine.util.JEditorPaneHtmlMarkupProcessor;0;1;1;0;1;0;7;47;2;42;5;160;4;RbFe
jasperreports;net.sf.jasperreports.engine.xml.JRXmlTemplateWriter;0;1;1;0;6;0;8;25;2;24;3;106;13;RbFe
jasperreports;net.sf.jasperreports.view.JRDesignViewer;0;1;1;0;1;0;11;15;6;17;3;80;10;RbFe
jhotdraw;org.jhotdraw.color.HSVHarmonicColorWheelImageProducer;0;1;1;0;1;0;7;21;4;16;3;130;8;RbFe
jhotdraw;org.jhotdraw.draw.AbstractAttributedDecoratedFigure;0;1;1;0;2;0;9;24;4;30;2;92;15;RbFe
jhotdraw;org.jhotdraw.draw.AbstractDrawing;0;1;1;0;1;0;9;27;5;22;3;86;17;RbFe
jhotdraw;org.jhotdraw.draw.DiamondFigure;0;1;1;0;3;0;9;22;4;21;1;168;14;RbFe
jhotdraw;org.jhotdraw.draw.GridConstrainer;0;1;1;0;3;0;6;101;3;19;3;314;24;RbFe
jhotdraw;org.jhotdraw.draw.TextFigure;0;1;1;0;5;0;19;50;5;52;2;178;36;RbFe
jhotdraw;org.jhotdraw.draw.tool.AbstractTool;0;1;1;0;2;0;12;75;2;60;3;246;44;RbFe
jhotdraw;org.jhotdraw.draw.tool.CreationTool;0;1;1;0;1;0;9;39;3;45;3;169;19;RbFe
jhotdraw;org.jhotdraw.xml.DefaultDOMFactory;0;1;1;0;3;0;2;23;2;21;2;96;10;RbFe
jfreechart;org.jfree.chart.labels.StandardXYZToolTipGenerator;0;1;1;0;1;0;7;19;3;17;1;85;9;RbFe
jfreechart;org.jfree.chart.plot.dial.StandardDialFrame;0;1;1;0;1;0;7;27;2;25;1;120;17;RbFe
jfreechart;org.jfree.chart.plot.PieLabelDistributor;0;1;1;0;4;0;3;26;2;18;3;96;9;RbFe
jfreechart;org.jfree.data.statistics.SimpleHistogramDataset;0;1;1;0;3;0;9;43;5;24;2;151;27;RbFe
jfreechart;org.jfree.data.xy.DefaultWindDataset;0;1;1;0;3;0;5;29;4;14;5;110;13;RbFe
jmeter;org.apache.jmeter.control.gui.ModuleControllerGui;0;1;1;0;1;0;15;39;7;46;3;151;12;RbFe
jmeter;org.apache.jmeter.visualizers.PropertyControlGui;0;1;1;0;2;0;11;21;7;37;1;121;13;RbFe
jmeter;org.apache.jmeter.visualizers.SplineVisualizer;0;1;1;0;1;0;11;19;11;34;2;192;15;RbFe
jmeter;org.apache.jmeter.config.gui.ArgumentsPanel;0;1;1;0;2;0;12;45;7;62;3;210;27;RbFe
jmeter;org.apache.jmeter.control.gui.LoopControlPanel;0;1;1;0;2;0;7;19;7;32;2;112;12;RbFe
jmeter;org.apache.jmeter.control.gui.RunTimeGui;0;1;1;0;1;0;6;16;7;25;2;82;12;RbFe
jmeter;org.apache.jmeter.gui.action.Copy;0;1;1;0;2;0;6;17;2;17;2;65;9;RbFe
jmeter;org.apache.jmeter.gui.action.LoadRecentProject;0;1;1;0;1;0;4;33;2;39;3;143;11;RbFe
jmeter;org.apache.jmeter.threads.gui.AbstractThreadGroupGui;0;1;1;0;3;0;7;20;6;31;1;102;12;RbFe
jmeter;org.apache.jmeter.threads.ThreadGroup;0;1;1;0;1;0;7;19;3;19;3;75;15;RbFe
