sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.html.BaseFrame;0;1;0;1;0;1;16;35;5;35;2;140;19;RbLm
jasperreports;net.sf.jasperreports.charts.fill.JRFillHighLowDataset;0;1;0;1;0;1;18;26;3;34;2;164;20;RbLm
jhotdraw;org.jhotdraw.draw.tool.SelectionTool;0;1;0;1;0;1;17;61;4;46;6;197;24;RbLm
jfreechart;org.jfree.chart.annotations.CategoryPointerAnnotation;0;1;0;1;0;1;14;37;3;40;1;189;23;RbLm
jfreechart;org.jfree.chart.annotations.XYDataImageAnnotation;0;1;0;1;0;1;12;30;2;18;1;122;16;RbLm
jfreechart;org.jfree.chart.annotations.XYPolygonAnnotation;0;1;0;1;0;1;11;31;2;29;2;126;13;RbLm
jfreechart;org.jfree.chart.annotations.XYTitleAnnotation;0;1;0;1;0;1;23;39;2;32;2;170;15;RbLm
jfreechart;org.jfree.chart.renderer.category.GanttRenderer;0;1;0;1;0;2;19;61;5;55;3;262;16;RbLm
jfreechart;org.jfree.chart.renderer.category.StackedBarRenderer;0;1;0;1;0;1;21;46;4;44;3;169;9;RbLm
jfreechart;org.jfree.chart.renderer.xy.XYAreaRenderer;0;1;0;1;0;1;20;62;5;68;4;281;17;RbLm
jfreechart;org.jfree.chart.renderer.xy.XYAreaRenderer2;0;1;0;1;0;1;20;34;3;61;3;178;13;RbLm
jfreechart;org.jfree.data.jdbc.JDBCXYDataset;0;1;0;1;0;1;8;73;4;27;6;234;20;RbLm
jfreechart;org.jfree.data.statistics.DefaultMultiValueCategoryDataset;0;1;0;1;0;1;7;46;2;27;3;167;19;RbLm
jmeter;org.apache.jmeter.config.CSVDataSet;0;1;0;1;0;1;16;35;3;30;3;141;18;RbLm
jmeter;org.apache.jmeter.protocol.java.control.gui.JUnitTestSamplerGui;0;1;0;1;0;1;17;46;7;85;3;267;15;RbLm
jmeter;org.apache.jmeter.protocol.java.sampler.JUnitSampler;0;1;0;1;0;2;18;85;4;75;4;417;39;RbLm
jmeter;org.apache.jmeter.protocol.ftp.sampler.FTPSampler;0;1;0;1;0;1;12;43;3;60;7;219;17;RbLm
jmeter;org.apache.jmeter.protocol.http.control.AuthManager;0;1;0;1;0;1;12;46;3;45;4;170;21;RbLm
