sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.css.CSSStyleDeclaration;0;1;1;1;3;2;30;634;2;129;5;2045;487;RbLmFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSelectElement;0;1;1;1;3;1;15;55;8;50;2;196;26;RbLmFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Window;0;1;1;1;5;3;65;214;2;147;4;844;115;RbLmFe
jasperreports;net.sf.jasperreports.engine.design.JRDesignExpression;0;1;1;1;6;1;7;38;2;28;7;163;16;RbLmFe
jasperreports;net.sf.jasperreports.engine.export.JRTextExporter;0;1;1;1;1;3;12;87;2;62;6;371;11;RbLmFe
jmeter;org.apache.jmeter.assertions.gui.HTMLAssertionGui;0;1;1;1;4;1;11;34;8;59;3;217;14;RbLmFe
jmeter;org.apache.jmeter.gui.action.DragNDrop;0;1;1;1;1;1;10;19;2;21;3;58;4;RbLmFe
jmeter;org.apache.jmeter.gui.action.RemoteStart;0;1;1;1;2;1;12;29;2;37;2;132;9;RbLmFe
jmeter;org.apache.jmeter.protocol.http.control.CookieManager;0;1;1;1;2;1;20;76;3;102;4;307;30;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.AuthPanel;0;1;1;1;3;1;14;31;14;59;5;250;11;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.CookiePanel;0;1;1;1;3;1;18;37;7;81;5;198;14;RbLmFe
jmeter;org.apache.jmeter.protocol.http.gui.HeaderPanel;0;1;1;1;3;1;13;31;8;54;5;208;11;RbLmFe
jmeter;org.apache.jmeter.protocol.java.config.gui.JavaConfigGui;0;1;1;1;1;1;18;21;7;57;6;110;11;RbLmFe
jmeter;org.apache.jmeter.protocol.jms.control.gui.JMSPublisherGui;0;1;1;1;1;1;12;20;7;64;2;193;11;RbLmFe
jmeter;org.apache.jmeter.protocol.ldap.config.gui.LdapConfigGui;0;1;1;1;2;1;12;33;7;43;2;292;18;RbLmFe
struts;org.apache.struts2.components.Date;0;1;1;1;2;1;10;35;3;38;5;186;13;RbLmFe
struts;org.apache.struts2.views.jsp.ui.AbstractDoubleListTag;0;1;1;1;1;1;2;65;7;36;0;268;65;RbLmFe
struts;org.apache.struts2.views.jsp.ui.AnchorTag;0;1;1;1;1;1;6;21;6;18;1;92;17;RbLmFe
