sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.bcel.AbstractCheckVisitor;0;0;0;0;0;0;11;15;3;9;1;44;14;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.AbstractReferenceCheck;0;0;0;0;0;0;11;14;4;16;1;55;9;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.HiddenInheritedFieldCheck;0;0;0;0;0;0;7;10;5;14;4;30;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.HiddenStaticMethodCheck;0;0;0;0;0;0;8;15;5;17;8;44;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadFieldCheck;0;0;0;0;0;0;8;7;5;15;4;23;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadVariableCheck;0;0;0;0;0;0;14;7;9;7;4;53;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadVariableCheck$DeepVisitor;0;0;0;0;0;0;5;4;2;1;0;14;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadVariableCheck$GenericVisitor;0;0;0;0;0;0;2;1;3;2;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnreadVariableCheck$ClassFileVisitor;0;0;0;0;0;0;4;2;3;3;0;10;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.checks.UnusedMethodCheck;0;0;0;0;0;0;9;7;5;18;4;27;3;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.FieldDefinition;0;0;0;0;0;0;6;8;2;5;1;27;6;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.FieldOrMethodDefinition;0;0;0;0;0;0;1;4;1;2;0;15;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.JavaClassDefinition;0;0;0;0;0;0;10;21;1;24;4;72;8;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.MethodDefinition;0;0;0;0;0;0;8;17;2;19;2;56;11;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.ReferenceDAO;0;0;0;0;0;0;8;17;1;15;3;62;5;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.classfile.Utils;0;0;0;0;0;0;1;4;1;4;1;16;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.ClassFileSetCheck;0;0;0;0;0;0;21;32;4;52;3;156;17;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.EmptyClassFileVisitor;0;0;0;0;0;0;1;1;2;0;0;4;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.EmptyDeepVisitor;0;0;0;0;0;0;5;8;1;0;0;24;8;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.EmptyGenericVisitor;0;0;0;0;0;0;1;1;2;0;0;4;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.FieldOrMethodReference;0;0;0;0;0;0;3;7;1;6;0;26;7;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.FieldReference;0;0;0;0;0;0;3;1;2;0;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.GETFIELDReference;0;0;0;0;0;0;3;1;3;0;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.GETSTATICReference;0;0;0;0;0;0;3;1;3;0;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.InvokeReference;0;0;0;0;0;0;4;2;2;1;0;8;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.PUTFIELDReference;0;0;0;0;0;0;3;1;3;0;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.PUTSTATICReference;0;0;0;0;0;0;3;1;3;0;0;5;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.generic.Utils;0;0;0;0;0;0;2;9;1;2;1;28;1;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.IDeepVisitor;0;0;0;0;0;0;3;2;1;0;0;4;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.IObjectSetVisitor;0;0;0;0;0;0;0;4;1;0;0;6;4;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.JavaClassWalker;0;0;0;0;0;0;4;2;1;1;0;10;2;WBS
checkstyle;com.puppycrawl.tools.checkstyle.bcel.ReferenceVisitor;0;0;0;0;0;0;12;10;3;8;0;63;10;WBS
