sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck;0;0;1;1;1;1;8;27;4;10;4;106;6;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck;0;1;1;0;3;0;7;27;5;31;2;93;15;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck;0;1;1;0;2;0;6;30;4;13;3;101;12;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck;0;1;1;0;1;0;6;16;5;20;1;52;9;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck;0;1;1;0;1;0;3;12;6;2;1;46;11;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.checks.RegexpCheck;0;1;1;0;1;0;6;32;5;23;3;106;11;HetAgg
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter;0;1;1;0;2;0;10;36;2;33;2;216;15;HetAgg
hadoop;org.apache.hadoop.mapred.CapacityTaskScheduler;1;1;1;1;1;1;28;77;4;101;4;615;34;HetAgg
hadoop;org.apache.hadoop.mapred.JobQueuesManager;0;1;1;0;1;0;12;28;2;29;2;88;11;HetAgg
hadoop;org.apache.hadoop.mapred.MemoryMatcher;0;0;1;1;1;1;8;27;1;24;3;76;5;HetAgg
hadoop;org.apache.hadoop.mapred.FairScheduler;1;1;1;0;2;0;50;165;4;164;5;715;37;HetAgg
hadoop;org.apache.hadoop.streaming.StreamXmlRecordReader;1;1;0;0;0;0;12;55;2;44;3;218;12;HetAgg
hadoop;org.apache.hadoop.fs.FileSystem;1;1;0;0;0;0;29;165;3;127;4;718;100;HetAgg
hadoop;org.apache.hadoop.util.LinuxResourceCalculatorPlugin;1;1;0;0;0;0;5;48;3;34;4;273;17;HetAgg
hibernate;org.hibernate.cfg.Configuration;1;0;1;0;3;0;115;304;2;342;6;2142;120;HetAgg
hibernate;org.hibernate.hql.internal.ast.tree.SelectClause;0;1;1;0;1;0;19;80;6;63;6;275;21;HetAgg
hibernate;org.hibernate.hql.internal.classic.QueryTranslatorImpl;1;1;0;0;0;0;51;218;3;157;6;798;97;HetAgg
hibernate;org.hibernate.mapping.Table;0;1;1;0;2;0;17;178;1;123;4;579;77;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.DefaultCredentialsProvider;0;0;1;1;2;1;10;19;1;19;3;145;11;HetAgg
htmlunit;com.gargoylesoftware.htmlunit.html.BaseFrame;0;1;0;1;0;1;16;35;5;35;2;140;19;HetAgg
