sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.api.FileText;0;0;1;0;2;0;6;29;3;30;3;141;12;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.AbstractTypeAwareCheck;0;0;1;0;3;0;13;50;6;48;3;240;22;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck;0;0;1;0;2;0;6;25;5;24;3;88;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck;0;0;1;0;2;0;7;51;5;17;3;118;7;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck;0;0;1;0;2;0;10;25;5;16;2;91;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.CheckUtils;0;0;1;0;2;0;3;47;1;30;3;144;14;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck;0;0;1;0;2;0;5;26;4;15;2;53;8;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.EqualsHashCodeCheck;0;0;1;0;2;0;5;24;4;23;1;51;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck;0;0;1;0;2;0;7;35;4;14;1;57;6;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck;0;0;1;0;3;0;7;50;4;30;3;147;15;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck;0;0;1;0;3;0;6;52;4;23;3;88;8;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck;0;0;1;0;3;0;9;58;4;33;4;172;17;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck;0;0;1;0;4;0;7;43;4;39;4;134;13;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenCheck;0;0;1;0;2;0;5;5;4;10;2;23;3;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.JUnitTestCaseCheck;0;0;1;0;3;0;7;31;4;19;1;89;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck;0;0;1;0;3;0;7;42;4;23;3;117;10;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck;0;0;1;0;3;0;5;61;4;26;3;124;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck;0;0;1;0;3;0;5;15;4;5;1;53;6;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck;0;0;1;0;3;0;5;54;4;24;2;102;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.RedundantThrowsCheck;0;0;1;0;2;0;8;18;5;26;3;60;6;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.ReturnCountCheck;0;0;1;0;3;0;6;16;5;16;1;76;10;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.DeclarationCollector;0;0;1;0;2;0;7;24;8;12;3;145;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.HeaderCheck;0;0;1;0;2;0;4;10;5;12;3;32;4;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck;0;0;1;0;2;0;6;20;5;19;4;66;5;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.UnusedImportsCheck;0;0;1;0;4;0;11;30;4;35;4;86;11;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.ClassDefHandler;0;0;1;0;4;0;7;14;3;15;1;40;7;AggFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.ExpressionHandler;0;0;1;0;4;0;9;75;1;49;2;202;31;AggFE
