sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hadoop;org.apache.hadoop.mapred.gridmix.Gridmix;0;0;0;1;0;2;36;52;3;98;4;378;23;AggLM
htmlunit;com.gargoylesoftware.htmlunit.CookieManager;0;0;0;1;0;2;8;24;1;29;2;87;11;AggLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlAnchor;0;0;0;1;0;2;14;31;5;33;4;95;18;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.XSLTProcessor;0;0;0;1;0;3;19;30;2;45;3;146;15;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.JavaScriptEngine;0;0;0;1;0;3;32;70;1;89;5;395;29;AggLM
htmlunit;com.gargoylesoftware.htmlunit.javascript.regexp.HtmlUnitRegExpProxy;0;0;0;1;0;2;10;54;2;47;4;240;13;AggLM
jasperreports;net.sf.jasperreports.engine.export.JRCsvExporter;0;0;0;1;0;2;15;45;2;40;6;202;6;AggLM
jasperreports;net.sf.jasperreports.engine.JasperCompileManager;0;0;0;1;0;2;20;39;1;43;3;160;23;AggLM
jhotdraw;net.n3.nanoxml.XMLWriter;0;0;0;1;0;2;2;42;1;27;5;155;8;AggLM
jhotdraw;org.jhotdraw.gui.JDisclosureToolBar;0;0;0;1;0;2;5;13;5;25;1;103;7;AggLM
jhotdraw;org.jhotdraw.xml.JavaPrimitivesDOMFactory;0;0;0;1;0;2;14;87;1;49;2;314;9;AggLM
jfreechart;org.jfree.chart.axis.ColorBar;0;0;0;1;0;2;13;40;1;50;2;194;17;AggLM
jfreechart;org.jfree.chart.ChartFactory;0;0;0;1;0;2;92;162;1;74;3;820;40;AggLM
jfreechart;org.jfree.chart.plot.PiePlot3D;0;0;0;1;0;2;16;87;3;105;5;532;12;AggLM
jfreechart;org.jfree.chart.renderer.category.StatisticalBarRenderer;0;0;0;1;0;2;18;65;4;46;3;277;11;AggLM
jmeter;org.apache.jmeter.assertions.SMIMEAssertion;0;0;0;1;0;2;16;49;1;73;6;215;7;AggLM
lucene;org.apache.lucene.codecs.bloom.MurmurHash2;0;0;0;1;0;2;4;9;2;2;2;50;4;AggLM
lucene;org.apache.lucene.util.automaton.SpecialOperations;0;0;0;1;0;2;8;53;1;41;4;156;12;AggLM
lucene;org.apache.lucene.util.BytesRefHash;0;0;0;1;0;2;11;64;5;20;4;315;18;AggLM
lucene;org.apache.lucene.search.highlight.TokenSources;0;0;0;1;0;2;17;32;3;26;4;144;8;AggLM
struts;org.apache.struts2.jasper.compiler.TagFileProcessor;0;0;0;1;0;2;15;18;3;44;4;382;5;AggLM
tapestry;org.apache.tapestry5.internal.services.BindingSourceImpl;0;0;0;1;0;2;11;8;1;12;2;33;3;AggLM
tapestry;org.apache.tapestry5.internal.services.MarkupWriterImpl;0;0;0;1;0;2;12;43;1;39;2;140;24;AggLM
tomcat;org.apache.catalina.core.ApplicationFilterChain;0;0;0;1;0;2;11;60;1;32;5;256;12;AggLM
tomcat;org.apache.naming.resources.ResourceAttributes;0;0;0;1;0;14;2;165;1;29;6;553;35;AggLM
