sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck;0;0;1;0;1;0;6;24;3;18;2;79;14;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.api.AnnotationUtility;0;0;1;0;1;0;3;21;1;14;3;60;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.api.Comment;0;0;1;0;1;0;1;10;1;2;0;41;8;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.api.FullIdent;0;0;1;0;1;0;2;16;1;17;1;58;10;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.annotation.MissingDeprecatedCheck;0;0;1;0;1;0;9;16;4;15;6;66;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck;0;0;1;0;1;0;6;16;5;13;5;54;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck;0;0;1;0;1;0;3;6;4;5;1;15;2;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalCatchCheck;0;0;1;0;1;0;7;5;5;6;1;19;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.InnerAssignmentCheck;0;0;1;0;1;0;5;20;4;12;3;59;6;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheck;0;0;1;0;1;0;5;6;5;9;1;21;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MissingSwitchDefaultCheck;0;0;1;0;1;0;4;3;5;6;0;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck;0;0;1;0;1;0;6;18;4;9;3;43;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck;0;0;1;0;1;0;6;30;5;10;2;61;9;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.SimplifyBooleanReturnCheck;0;0;1;0;1;0;5;15;4;12;1;40;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck;0;0;1;0;1;0;6;33;4;16;3;96;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck;0;0;1;0;1;0;6;12;4;17;2;64;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.InterfaceIsTypeCheck;0;0;1;0;1;0;4;7;4;4;1;21;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck;0;0;1;0;1;0;5;15;4;15;2;53;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.AvoidStarImportCheck;0;0;1;0;1;0;5;16;4;14;1;39;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck;0;0;1;0;1;0;5;11;4;15;4;33;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.Guard;0;0;1;0;1;0;2;16;1;6;2;55;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheck;0;0;1;0;1;0;9;18;4;17;3;69;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader;0;0;1;0;1;0;9;21;3;16;2;91;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck;0;0;1;0;1;0;5;14;4;18;3;56;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.AssignHandler;0;0;1;0;1;0;5;12;3;13;1;35;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.BlockParentHandler;0;0;1;0;1;0;6;46;2;35;2;116;21;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.CaseHandler;0;0;1;0;1;0;6;5;2;7;0;18;5;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.DoWhileHandler;0;0;1;0;1;0;5;3;3;7;0;13;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.ForHandler;0;0;1;0;1;0;7;6;3;8;1;30;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.HandlerFactory;0;0;1;0;1;0;29;21;1;19;2;119;7;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.LabelHandler;0;0;1;0;1;0;6;4;2;9;0;18;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.MethodCallHandler;0;0;1;0;1;0;6;21;2;18;4;72;6;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.NewHandler;0;0;1;0;1;0;4;8;2;12;1;26;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.SlistHandler;0;0;1;0;1;0;7;25;3;9;1;36;9;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.indentation.WhileHandler;0;0;1;0;1;0;6;3;3;7;0;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTag;0;0;1;0;1;0;2;14;1;7;0;51;14;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.ClassDataAbstractionCouplingCheck;0;0;1;0;1;0;3;3;5;1;0;13;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.ClassFanOutComplexityCheck;0;0;1;0;1;0;2;3;5;0;0;12;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.metrics.CyclomaticComplexityCheck;0;0;1;0;1;0;3;4;5;1;0;15;4;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck;0;0;1;0;1;0;4;18;4;11;4;55;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck;0;0;1;0;1;0;4;12;7;6;2;21;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.StaticVariableNameCheck;0;0;1;0;1;0;4;5;7;4;0;14;3;UniqueFE
checkstyle;com.puppycrawl.tools.checkstyle.checks.OuterTypeFilenameCheck;0;0;1;0;1;0;4;5;4;10;1;22;3;UniqueFE
