sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
commons-codec;org.apache.commons.codec.digest.DigestUtils;1;0;0;0;0;0;4;107;1;65;1;335;103;UniqueLC
commons-codec;org.apache.commons.codec.digest.HmacUtils;1;0;0;0;0;0;5;65;1;22;1;223;58;UniqueLC
commons-io;org.apache.commons.io.FilenameUtils;1;0;0;0;0;0;4;232;1;76;5;644;45;UniqueLC
commons-io;org.apache.commons.io.FileUtils;1;0;0;0;0;0;11;326;1;158;5;1041;121;UniqueLC
commons-io;org.apache.commons.io.IOUtils;1;0;0;0;0;0;7;251;1;99;2;788;132;UniqueLC
commons-io;org.apache.commons.io.monitor.FileAlterationObserver;1;0;0;0;0;0;4;58;1;41;3;193;23;UniqueLC
commons-lang;org.apache.commons.lang3.ArrayUtils;1;0;0;0;0;0;18;1089;1;202;3;3302;320;UniqueLC
commons-lang;org.apache.commons.lang3.BooleanUtils;1;0;0;0;0;0;3;170;1;16;2;369;41;UniqueLC
commons-lang;org.apache.commons.lang3.builder.EqualsBuilder;1;0;0;0;0;0;16;168;1;67;4;474;42;UniqueLC
commons-lang;org.apache.commons.lang3.builder.ReflectionToStringBuilder;1;0;0;0;0;0;7;55;2;47;4;171;31;UniqueLC
commons-lang;org.apache.commons.lang3.builder.ToStringStyle;1;0;0;0;0;0;18;220;8;85;3;994;112;UniqueLC
commons-lang;org.apache.commons.lang3.ClassUtils;1;0;0;0;0;0;6;169;1;88;3;613;53;UniqueLC
commons-lang;org.apache.commons.lang3.Conversion;1;0;0;0;0;0;5;314;1;19;3;763;42;UniqueLC
commons-lang;org.apache.commons.lang3.math.NumberUtils;1;0;0;0;0;0;10;278;1;76;4;754;67;UniqueLC
commons-lang;org.apache.commons.lang3.ObjectUtils;1;0;0;0;0;0;8;89;1;60;4;291;38;UniqueLC
commons-lang;org.apache.commons.lang3.reflect.TypeUtils;1;0;0;0;0;0;13;252;1;119;4;881;57;UniqueLC
commons-lang;org.apache.commons.lang3.StringUtils;1;0;0;0;0;0;14;987;1;182;5;2809;235;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrBuilder;1;0;0;0;0;0;9;414;4;86;4;1385;149;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrSubstitutor;1;0;0;0;0;0;7;108;1;66;9;419;55;UniqueLC
commons-lang;org.apache.commons.lang3.text.StrTokenizer;1;0;0;0;0;0;6;111;1;56;4;411;64;UniqueLC
commons-lang;org.apache.commons.lang3.time.DateUtils;1;0;0;0;0;0;6;169;1;46;6;549;60;UniqueLC
commons-lang;org.apache.commons.lang3.time.FastDateParser;1;0;0;0;0;0;10;84;10;43;2;549;22;UniqueLC
commons-lang;org.apache.commons.lang3.time.FastDatePrinter;1;0;0;0;0;0;21;113;1;56;4;770;31;UniqueLC
commons-lang;org.apache.commons.lang3.Validate;1;0;0;0;0;0;4;113;1;34;2;287;51;UniqueLC
commons-logging;org.apache.commons.logging.impl.LogFactoryImpl;1;0;0;0;0;0;4;136;2;67;5;574;34;UniqueLC
commons-logging;org.apache.commons.logging.impl.SimpleLog;1;0;0;0;0;0;3;79;1;31;3;289;29;UniqueLC
commons-logging;org.apache.commons.logging.LogFactory;1;0;0;0;0;0;3;163;1;67;6;721;38;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.dfsnodelist_jsp;1;0;0;0;0;0;23;54;2;75;4;217;9;UniqueLC
hadoop;org.apache.hadoop.mapred.CapacitySchedulerQueue;1;0;0;0;0;0;13;116;1;104;3;625;47;UniqueLC
hadoop;org.apache.hadoop.mapred.PoolManager;1;0;0;0;0;0;16;83;1;64;4;348;23;UniqueLC
hadoop;org.apache.hadoop.streaming.PipeMapRed;1;0;0;0;0;0;22;89;3;85;4;525;32;UniqueLC
hadoop;org.apache.hadoop.streaming.StreamJob;1;0;0;0;0;0;38;142;1;148;4;693;29;UniqueLC
hadoop;org.apache.hadoop.vaidya.statistics.job.JobStatistics;1;0;0;0;0;0;18;134;1;76;4;554;20;UniqueLC
hadoop;org.apache.hadoop.conf.Configuration;1;0;0;0;0;0;21;185;1;157;5;732;64;UniqueLC
hadoop;org.apache.hadoop.fs.FsShell;1;0;0;0;0;0;27;362;3;153;4;1339;50;UniqueLC
hadoop;org.apache.hadoop.fs.HarFileSystem;1;0;0;0;0;0;16;90;8;77;3;579;39;UniqueLC
hadoop;org.apache.hadoop.fs.s3.INode;1;0;0;0;0;0;3;19;1;14;2;67;8;UniqueLC
hadoop;org.apache.hadoop.http.HttpServer;1;0;0;0;0;0;37;78;2;94;8;449;34;UniqueLC
hadoop;org.apache.hadoop.io.compress.bzip2.CBZip2InputStream;1;0;0;0;0;0;10;178;2;37;6;822;35;UniqueLC
hadoop;org.apache.hadoop.io.compress.bzip2.CBZip2OutputStream;1;0;0;0;0;0;9;320;2;40;20;1366;41;UniqueLC
hadoop;org.apache.hadoop.io.SequenceFile;1;0;0;0;0;0;21;49;3;19;1;1810;15;UniqueLC
hadoop;org.apache.hadoop.ipc.Client;1;0;0;0;0;0;12;43;3;33;3;823;21;UniqueLC
hadoop;org.apache.hadoop.ipc.Server;1;0;0;0;0;0;20;57;4;62;3;1198;28;UniqueLC
hadoop;org.apache.hadoop.security.UserGroupInformation;1;0;0;0;0;0;17;134;3;110;4;703;47;UniqueLC
hadoop;org.apache.hadoop.hdfs.DFSClient;1;0;0;0;0;0;65;183;13;174;6;2478;86;UniqueLC
hadoop;org.apache.hadoop.hdfs.protocol.DatanodeInfo;1;0;0;0;0;0;10;59;2;39;1;252;39;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.balancer.Balancer;1;0;0;0;0;0;38;125;2;128;4;961;34;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.datanode.DataNode;1;0;0;0;0;0;81;287;2;286;6;1254;79;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.datanode.FSDataset;1;0;0;0;0;0;30;213;1;163;4;1468;63;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.DatanodeDescriptor;1;0;0;0;0;0;19;69;3;45;4;308;32;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSDirectory;1;0;0;0;0;0;32;204;1;148;4;804;62;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSEditLog;1;0;0;0;0;0;37;190;7;152;5;996;50;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSImage;1;0;0;0;0;0;40;290;3;228;5;1097;76;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.FSNamesystem;1;0;0;0;0;0;112;887;1;597;8;3451;248;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.ReplicationTargetChooser;1;0;0;0;0;0;10;77;3;46;4;265;15;UniqueLC
hadoop;org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods;1;0;0;0;0;0;62;35;1;45;3;324;16;UniqueLC
hadoop;org.apache.hadoop.filecache.TrackerDistributedCacheManager;1;0;0;0;0;0;27;98;2;111;5;613;35;UniqueLC
hadoop;org.apache.hadoop.mapred.FileInputFormat;1;0;0;0;0;0;25;68;1;75;5;347;19;UniqueLC
hadoop;org.apache.hadoop.mapred.JobClient;1;0;0;0;0;0;70;262;3;234;6;1302;70;UniqueLC
hadoop;org.apache.hadoop.mapred.JobConf;1;0;0;0;0;0;33;160;2;80;4;539;126;UniqueLC
hadoop;org.apache.hadoop.mapred.JobHistory;1;0;0;0;0;0;29;95;11;120;3;1292;39;UniqueLC
hadoop;org.apache.hadoop.mapred.JobInProgress;1;0;0;0;0;0;67;522;4;390;6;2117;131;UniqueLC
hadoop;org.apache.hadoop.mapred.JobLocalizer;1;0;0;0;0;0;29;51;1;85;2;276;18;UniqueLC
hadoop;org.apache.hadoop.mapred.JobTracker;1;0;0;0;0;0;120;579;4;526;5;3274;197;UniqueLC
hadoop;org.apache.hadoop.mapred.Task;1;0;0;0;0;0;63;126;5;136;4;921;67;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskInProgress;1;0;0;0;0;0;25;214;1;127;5;687;77;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskRunner;1;0;0;0;0;0;30;82;2;131;6;423;30;UniqueLC
hadoop;org.apache.hadoop.mapred.TaskTracker;1;0;0;0;0;0;99;407;4;392;9;2848;156;UniqueLC
hadoop;org.apache.hadoop.mapreduce.Job;1;0;0;0;0;0;18;54;2;45;2;228;42;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.HadoopLogsAnalyzer;1;0;0;0;0;0;38;281;2;190;6;1190;35;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.JobBuilder;1;0;0;0;0;0;40;119;1;199;7;456;33;UniqueLC
hadoop;org.apache.hadoop.tools.rumen.ZombieJob;1;0;0;0;0;0;34;146;5;126;5;596;44;UniqueLC
hibernate;org.hibernate.cfg.AnnotationBinder;1;0;0;0;0;0;172;471;1;487;8;1841;55;UniqueLC
hibernate;org.hibernate.cfg.annotations.CollectionBinder;1;0;0;0;0;0;92;247;1;268;4;897;60;UniqueLC
hibernate;org.hibernate.cfg.annotations.reflection.JPAOverriddenAnnotationReader;1;0;0;0;0;0;94;486;1;193;4;2029;95;UniqueLC
hibernate;org.hibernate.cfg.HbmBinder;1;0;0;0;0;0;80;526;8;460;4;2053;89;UniqueLC
hibernate;org.hibernate.collection.internal.AbstractPersistentCollection;1;0;0;0;0;0;33;124;1;74;4;701;60;UniqueLC
hibernate;org.hibernate.dialect.Dialect;1;0;0;0;0;0;62;201;1;90;1;811;161;UniqueLC
hibernate;org.hibernate.engine.internal.StatefulPersistenceContext;1;0;0;0;0;0;37;267;1;229;5;1104;102;UniqueLC
hibernate;org.hibernate.hql.internal.ast.HqlSqlWalker;1;0;0;0;0;0;83;165;2;222;4;737;77;UniqueLC
hibernate;org.hibernate.internal.SessionFactoryImpl;1;0;0;0;0;0;122;232;1;338;5;1090;92;UniqueLC
hibernate;org.hibernate.internal.SessionImpl;1;0;0;0;0;0;134;318;5;295;4;1805;193;UniqueLC
hibernate;org.hibernate.internal.util.collections.BoundedConcurrentHashMap;1;0;0;0;0;0;10;86;16;26;4;1260;28;UniqueLC
hibernate;org.hibernate.internal.util.collections.ConcurrentReferenceHashMap;1;0;0;0;0;0;10;100;20;33;5;933;32;UniqueLC
hibernate;org.hibernate.loader.JoinWalker;1;0;0;0;0;0;36;144;1;125;6;501;58;UniqueLC
hibernate;org.hibernate.loader.Loader;1;0;0;0;0;0;75;283;1;318;5;1037;98;UniqueLC
hibernate;org.hibernate.metamodel.source.binder.Binder;1;0;0;0;0;0;96;135;1;362;3;658;48;UniqueLC
hibernate;org.hibernate.persister.collection.AbstractCollectionPersister;1;0;0;0;0;0;77;282;1;247;7;1271;131;UniqueLC
hibernate;org.hibernate.persister.entity.AbstractEntityPersister;1;0;0;0;0;0;135;805;1;644;5;3160;340;UniqueLC
hibernate;org.hibernate.ejb.AbstractEntityManagerImpl;1;0;0;0;0;0;86;226;3;161;5;1068;74;UniqueLC
hibernate;org.hibernate.ejb.criteria.CriteriaBuilderImpl;1;0;0;0;0;0;77;206;1;56;3;593;157;UniqueLC
jasperreports;net.sf.jasperreports.crosstabs.base.JRBaseCrosstab;1;0;0;0;0;0;23;68;2;52;5;236;36;UniqueLC
jasperreports;net.sf.jasperreports.engine.base.JRBaseChart;1;0;0;0;0;0;57;165;2;128;2;644;120;UniqueLC
jasperreports;net.sf.jasperreports.engine.base.JRBaseImage;1;0;0;0;0;0;35;129;3;111;2;479;111;UniqueLC
jasperreports;net.sf.jasperreports.engine.design.JRDesignChart;1;0;0;0;0;0;53;195;3;96;2;753;148;UniqueLC
jasperreports;net.sf.jasperreports.engine.JRPropertiesMap;1;0;0;0;0;0;4;50;1;39;4;162;22;UniqueLC
jfreechart;org.jfree.chart.axis.SegmentedTimeline;1;0;0;0;0;0;5;91;4;57;4;567;45;UniqueLC
jfreechart;org.jfree.chart.plot.CompassPlot;1;0;0;0;0;0;21;95;2;56;2;392;34;UniqueLC
