sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
hadoop;org.apache.hadoop.hdfs.server.datanode.tail_jsp;0;0;0;1;0;1;27;20;2;41;3;114;3;UniqueLM
hadoop;org.apache.hadoop.hdfs.server.namenode.corrupt_005ffiles_jsp;0;0;0;1;0;1;16;10;2;24;3;75;2;UniqueLM
hadoop;org.apache.hadoop.hdfs.server.namenode.dfshealth_jsp;0;0;0;1;0;1;25;37;2;86;3;180;9;UniqueLM
hadoop;org.apache.hadoop.mapred.gethistory_jsp;0;0;0;1;0;1;20;13;2;29;3;66;2;UniqueLM
hadoop;org.apache.hadoop.mapred.jobblacklistedtrackers_jsp;0;0;0;1;0;1;21;14;2;32;3;89;3;UniqueLM
hadoop;org.apache.hadoop.mapred.jobconf_005fhistory_jsp;0;0;0;1;0;1;21;13;2;25;4;85;2;UniqueLM
hadoop;org.apache.hadoop.mapred.jobconf_jsp;0;0;0;1;0;1;20;14;2;25;4;86;2;UniqueLM
hadoop;org.apache.hadoop.mapred.jobfailures_jsp;0;0;0;1;0;1;27;36;2;42;5;183;4;UniqueLM
hadoop;org.apache.hadoop.mapred.jobqueue_005fdetails_jsp;0;0;0;1;0;1;19;13;2;29;3;77;2;UniqueLM
hadoop;org.apache.hadoop.mapred.jobtaskshistory_jsp;0;0;0;1;0;1;23;15;2;29;5;88;3;UniqueLM
hadoop;org.apache.hadoop.mapred.loadhistory_jsp;0;0;0;1;0;1;16;13;2;20;3;67;2;UniqueLM
hadoop;org.apache.hadoop.mapred.taskdetailshistory_jsp;0;0;0;1;0;1;29;19;2;38;3;126;3;UniqueLM
hadoop;org.apache.hadoop.mapred.taskstatshistory_jsp;0;0;0;1;0;1;29;13;2;40;4;99;2;UniqueLM
hadoop;org.apache.hadoop.mapred.taskstats_jsp;0;0;0;1;0;1;28;15;2;38;4;100;2;UniqueLM
hadoop;org.apache.hadoop.mapred.tasktracker_jsp;0;0;0;1;0;1;17;11;2;33;3;83;2;UniqueLM
hadoop;org.apache.hadoop.mapred.CapacitySchedulerServlet;0;0;0;1;0;1;9;7;2;24;2;60;4;UniqueLM
hadoop;org.apache.hadoop.contrib.utils.join.DataJoinJob;0;0;0;1;0;1;15;17;1;37;3;111;4;UniqueLM
hadoop;org.apache.hadoop.eclipse.MapReduceNature;0;0;0;1;0;1;8;8;1;23;2;59;4;UniqueLM
hadoop;org.apache.hadoop.eclipse.servers.RunOnHadoopWizard;0;0;0;1;0;1;17;15;3;32;2;178;6;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.CompressionEmulationUtil;0;0;0;1;0;1;31;36;2;44;3;253;18;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.InputStriper;0;0;0;1;0;1;11;16;1;28;4;73;3;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.LoadJob;0;0;0;1;0;1;22;11;11;22;3;402;4;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.LoadSplit;0;0;0;1;0;1;5;26;3;11;1;136;13;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.SleepJob;0;0;0;1;0;1;20;17;6;27;3;255;5;UniqueLM
hadoop;org.apache.hadoop.mapred.gridmix.StressJobFactory;0;0;0;1;0;1;15;19;3;30;2;178;7;UniqueLM
hadoop;org.apache.hadoop.contrib.index.mapred.IndexUpdateMapper;0;0;0;1;0;1;19;16;2;25;7;102;5;UniqueLM
hadoop;org.apache.hadoop.contrib.index.mapred.IndexUpdater;0;0;0;1;0;1;19;9;1;47;4;66;4;UniqueLM
hadoop;org.apache.hadoop.thriftfs.api.BlockLocation;0;0;0;1;0;1;7;51;1;26;5;193;8;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.DoTypeProcessor;0;0;0;1;0;1;1;10;1;6;2;29;3;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlApplet;0;0;0;1;0;1;12;18;5;14;1;77;14;UniqueLM
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlFileInput;0;0;0;1;0;1;11;19;6;19;2;72;10;UniqueLM
