sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.header.AbstractHeaderCheck;0;1;0;0;0;0;8;21;4;18;2;79;9;UniqueRB
checkstyle;com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck;0;1;0;0;0;0;7;43;5;29;3;157;12;UniqueRB
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractTypeParameterNameCheck;0;1;0;0;0;0;4;9;6;3;1;21;5;UniqueRB
commons-codec;org.apache.commons.codec.net.BCodec;0;1;0;0;0;0;8;26;2;14;1;89;14;UniqueRB
commons-codec;org.apache.commons.codec.net.QCodec;0;1;0;0;0;0;8;40;2;15;3;169;16;UniqueRB
commons-io;org.apache.commons.io.filefilter.AndFileFilter;0;1;0;0;0;0;4;23;2;15;3;74;10;UniqueRB
commons-io;org.apache.commons.io.filefilter.OrFileFilter;0;1;0;0;0;0;4;21;2;14;3;68;10;UniqueRB
commons-io;org.apache.commons.io.input.BOMInputStream;0;1;0;0;0;0;5;44;4;18;4;143;17;UniqueRB
commons-lang;org.apache.commons.lang3.text.translate.UnicodeEscaper;0;1;0;0;0;0;3;14;3;5;2;51;8;UniqueRB
hadoop;org.apache.hadoop.contrib.utils.join.DataJoinReducerBase;0;1;0;0;0;0;10;23;2;26;2;99;10;UniqueRB
hadoop;org.apache.hadoop.eclipse.dfs.DFSFile;0;1;0;0;0;0;15;33;2;34;3;162;14;UniqueRB
hadoop;org.apache.hadoop.mapred.JobSchedulable;0;1;0;0;0;0;19;37;2;40;5;108;16;UniqueRB
hadoop;org.apache.hadoop.mapred.PoolSchedulable;0;1;0;0;0;0;19;37;2;33;2;139;22;UniqueRB
hadoop;org.apache.hadoop.mapred.gridmix.CombineFileSplit;0;1;0;0;0;0;6;31;2;16;2;118;17;UniqueRB
hadoop;org.apache.hadoop.mapred.gridmix.IntermediateRecordFactory;0;1;0;0;0;0;6;9;2;10;2;56;5;UniqueRB
hadoop;org.apache.hadoop.mapred.gridmix.ReadRecordFactory;0;1;0;0;0;0;7;8;2;9;1;30;5;UniqueRB
hadoop;org.apache.hadoop.contrib.index.mapred.IndexUpdateCombiner;0;1;0;0;0;0;10;4;2;8;1;21;3;UniqueRB
hadoop;org.apache.hadoop.streaming.io.RawBytesOutputReader;0;1;0;0;0;0;5;9;2;8;1;44;7;UniqueRB
hadoop;org.apache.hadoop.streaming.io.TextInputWriter;0;1;0;0;0;0;6;6;2;13;1;37;4;UniqueRB
hadoop;org.apache.hadoop.vaidya.postexdiagnosis.PostExPerformanceDiagnoser;0;1;0;0;0;0;14;24;2;37;3;145;9;UniqueRB
hadoop;org.apache.hadoop.fs.DF;0;1;0;0;0;0;3;17;2;18;2;72;13;UniqueRB
hadoop;org.apache.hadoop.fs.FSInputChecker;0;1;0;0;0;0;7;58;3;25;4;188;23;UniqueRB
hadoop;org.apache.hadoop.fs.ftp.FTPInputStream;0;1;0;0;0;0;5;24;3;9;1;79;10;UniqueRB
hadoop;org.apache.hadoop.fs.MD5MD5CRC32FileChecksum;0;1;0;0;0;0;8;15;2;14;1;59;10;UniqueRB
hadoop;org.apache.hadoop.io.BytesWritable;0;1;0;0;0;0;7;25;3;20;2;96;16;UniqueRB
hadoop;org.apache.hadoop.io.compress.DecompressorStream;0;1;0;0;0;0;4;37;3;14;4;124;15;UniqueRB
hadoop;org.apache.hadoop.io.compress.GzipCodec;0;1;0;0;0;0;16;16;7;6;1;120;9;UniqueRB
hadoop;org.apache.hadoop.io.MapWritable;0;1;0;0;0;0;4;19;2;32;1;73;16;UniqueRB
hadoop;org.apache.hadoop.io.SortedMapWritable;0;1;0;0;0;0;5;25;2;36;1;90;22;UniqueRB
hadoop;org.apache.hadoop.io.Text;0;1;0;0;0;0;9;95;3;52;5;326;34;UniqueRB
