sistema;classe;lc;rb;fe;lm;nfe;nlm;wmc;maxNest;cbo;lcom*;noc;dit;loc;nom;classification
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck;0;0;1;1;1;1;27;4;8;0.74999994;0;4;106;6;FeLm
checkstyle;com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck;0;1;1;0;3;0;27;2;7;0.87619054;0;5;93;15;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheck;0;1;1;0;2;0;30;3;6;0.8240741;2;4;101;12;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.RegexpCheck;0;1;1;0;1;0;32;3;6;0.81818193;0;5;106;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.naming.AbstractAccessControlNameCheck;0;1;1;0;1;0;12;1;3;0.72727275;5;6;46;11;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter;0;1;1;0;2;0;36;2;10;0.89444447;0;2;216;15;RbFe
checkstyle;com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck;0;1;1;0;1;0;16;1;6;0.77777785;0;5;52;9;RbFe
hadoop;org.apache.hadoop.fs.FileSystem;1;1;0;0;0;0;165;4;26;0.9722222;11;3;718;100;LcRb
hadoop;org.apache.hadoop.util.LinuxResourceCalculatorPlugin;1;1;0;0;0;0;48;4;5;0.8966135;0;3;273;17;LcRb
hadoop;org.apache.hadoop.mapred.CapacityTaskScheduler;1;1;1;1;1;1;77;4;26;0.89446366;0;4;615;34;LcRbLmFe
hadoop;org.apache.hadoop.streaming.StreamXmlRecordReader;1;1;0;0;0;0;55;3;11;0.88492066;0;2;218;12;LcRb
hadoop;org.apache.hadoop.mapred.JobQueuesManager;0;1;1;0;1;0;28;2;9;0.75;0;2;88;11;RbFe
hadoop;org.apache.hadoop.mapred.MemoryMatcher;0;0;1;1;1;1;27;3;6;0.5;0;1;76;5;FeLm
hadoop;org.apache.hadoop.mapred.FairScheduler;1;1;1;0;2;0;165;5;43;0.9174172;0;4;715;37;LcRbFe
hibernate;org.hibernate.hql.internal.ast.tree.SelectClause;0;1;1;0;1;0;80;6;19;0.88095236;0;6;275;21;RbFe
hibernate;org.hibernate.mapping.Table;0;1;1;0;2;0;178;4;16;0.94285697;1;1;579;77;RbFe
hibernate;org.hibernate.cfg.Configuration;1;0;1;0;3;0;304;6;104;0.975956;1;2;2142;120;LcFe
hibernate;org.hibernate.hql.internal.classic.QueryTranslatorImpl;1;1;0;0;0;0;218;6;40;0.9684535;0;3;798;97;LcRb
htmlunit;com.gargoylesoftware.htmlunit.WebRequest;0;0;1;1;1;1;53;3;9;0.9131514;1;1;198;31;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLSerializer;0;0;1;1;1;1;29;5;14;1.0;0;2;88;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.BaseFrame;0;1;0;1;0;1;35;2;15;0.9210526;2;5;140;19;RbLm
htmlunit;com.gargoylesoftware.htmlunit.DefaultCredentialsProvider;0;0;1;1;1;1;19;3;10;0.8181818;0;1;145;11;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.NamedNodeMap;0;1;1;0;1;0;32;3;14;0.7692308;0;2;103;13;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DefaultElementFactory;0;0;1;1;1;1;133;4;125;1.0;0;1;413;3;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.EventListenersContainer;0;0;1;1;3;1;44;5;11;0.796875;0;1;178;16;FeLm
htmlunit;com.gargoylesoftware.htmlunit.xml.XmlUtil;0;0;1;1;3;1;31;3;26;0.875;0;1;140;8;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.xml.XMLDocument;0;0;1;1;2;2;40;2;27;0.9142858;0;5;172;21;FeLm
htmlunit;com.gargoylesoftware.htmlunit.html.DomText;0;1;1;0;2;0;18;2;6;0.9545455;1;3;53;11;RbFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.html.HTMLSelectElement;0;1;1;1;3;1;55;2;15;0.8846154;0;8;196;26;RbLmFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomCharacterData;0;0;1;1;1;1;26;3;4;0.60714287;2;2;83;14;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.background.JavaScriptJobManagerImpl;0;0;1;1;1;1;54;3;6;0.7333333;0;1;183;15;FeLm
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Document;0;1;1;0;3;0;61;3;30;0.9333333;2;4;231;24;RbFe
htmlunit;com.gargoylesoftware.htmlunit.html.DomNode;1;0;1;0;2;0;210;5;31;0.97191006;6;1;771;89;LcFe
htmlunit;com.gargoylesoftware.htmlunit.html.HtmlPage;1;0;1;0;5;0;367;4;88;0.97694105;1;3;1249;125;LcFe
htmlunit;com.gargoylesoftware.htmlunit.javascript.host.Node;0;0;1;1;3;2;111;4;27;0.9927536;6;2;438;46;FeLm
